B L U L' U' B
U' L F U F' B2
U' L F U B2 F'
B L B U L' U'
B L2 D L' F2 B
B L2 D L' F2 B
B L2 D L' B F2
B L2 D B L' F2
B L2 B D L' F2
B R U' L R' B
B R U' R' L B
B R2 U' L R2 B
B R2 U' R2 L B
D' R2 B U' L R2
D' R2 B U' R2 L
L B L D F2 B
L B L D B F2
L B L B D F2
D' B R2 U' L R2
D' B R2 U' R2 L
R' B U' L B R
R2 B U' L B R2
L2 B D L F2 B
L2 B D L B F2
L2 B D F2 L B
U' L R F U F' B2
U' L R F U B2 F'
U' L R' F U F' B2
U' L R' F U B2 F'
U' L R2 F U F' B2
U' L R2 F U B2 F'
B2 L U L' B' U' L
B L U L' U' D B
B L U L' U' D' B
B L U L' U' D2 B
B L U L' U' B D
B L U L' U' B D'
B L U L' U' B D2
B L U L' D U' B
B L U L' D' U' B
B L U L' D2 U' B
B L U D L' U' B
B L U D' L' U' B
B L U D2 L' U' B
B2 L U B' L' U' L2
B L D U L' U' B
U' L D F L2 U F'
B L D B U L' U'
B L D' U L' U' B
B L D' B U L' U'
B L D2 U L' U' B
B L D2 B U L' U'
U' L F L U F' B2
U' L F L U B2 F'
U' L F L' U F' B2
U' L F L' U B2 F'
U' L F L2 U F' B2
U' L F L2 U B2 F'
U' L F U F' B2 D
U' L F U F' B2 D'
U' L F U F' B2 D2
U' L F U B2 D F'
U' L F U B2 D' F'
U' L F U B2 D2 F'
U' L F U B2 F' D
U' L F U B2 F' D'
U' L F U B2 F' D2
U' L F D L2 U F'
D' L B L D F2 B2
D' L B L D B2 F2
F' L B L D F2 B
F' L B L D B F2
F' L B L B D F2
B L F2 B U' R U
F2 L B L D F2 B
F2 L B L D B F2
F2 L B L B D F2
F L B L D F2 B
F L B L D B F2
F L B L B D F2
B L B L D L' F2
B L B U L' U' D
B L B U L' U' D'
B L B U L' U' D2
B L B U L' D U'
B L B U L' D' U'
B L B U L' D2 U'
B L B U D L' U'
B L B U D' L' U'
B L B U D2 L' U'
B L B D U L' U'
B L B D' U L' U'
B L B D2 U L' U'
B2 L B' L D F2 B
B2 L B' L D B F2
B2 L B' L B D F2
B L B F2 U' R U
B L B' U L' U' B2
U' L B2 U' F B2 U
U' L B2 U' B2 F U
B2 L' U L B' U' L
B L' U L U' L B
B2 L' U D L B' U'
B2 L' U B' U' L F
U' L' D L2 F U F'
B2 L' D U L B' U'
B2 L' D2 F L' D F2
U2 L' F' U B2 L' R'
U2 L' F' U B2 R' L'
B L' B L' D L' F
B2 L2 U L2 B' U' L
B L2 U L2 U' L B
B2 L2 U B' L2 U' L'
B L2 D L F2 L2 B
B L2 D L F2 B L2
B L2 D L B L2 F2
B L2 D L B F2 L2
B L2 D L' F2 D B
B L2 D L' F2 D' B
B L2 D L' F2 D2 B
B L2 D L' F2 B D
B L2 D L' F2 B D'
B L2 D L' F2 B D2
B L2 D L' B F2 D
B L2 D L' B F2 D'
B L2 D L' B F2 D2
B L2 D L2 F2 L B
D' L2 D F2 B L B
D' L2 D B L F2 B
D' L2 D B L B F2
D' L2 D B F2 L B
B2 L2 D F D F L'
B L2 D B L F2 L2
B L2 D B L' F2 D
B L2 D B L' F2 D'
B L2 D B L' F2 D2
B L2 D B L2 F2 L
B L2 D B' L' F2 B2
B L2 D B' L' B2 F2
L' U L R B U' B
B L2 D' L' D2 F2 B
B L2 D' L' D2 B F2
L' U L U' B L B
L' U L B U' B L
B L2 D2 L' D' F2 B
B L2 D2 L' D' B F2
B L2 D2 L' B D' F2
B2 L2 D2 F L' D' F2
B2 L2 D2 F D' L' F2
B2 L2 D2 F' D' F2 L'
L U L' R B U' B
B L2 D2 B L' D' F2
L U L' U' B L B
B L2 D2 B D' L' F2
L U L' B U' B L
L2 U L2 R B U' B
L2 U L2 U' B L B
L' U R L B U' B
L2 U L2 B U' B L
L2 U R L2 B U' B
L U R L' B U' B
L2 U R B L2 U' B
L U R B L' U' B
B L2 F2 D F2 L' B
B L2 F2 D F2 B L'
B L2 F2 D B F2 L'
B L2 F2 B D F2 L'
B L2 B L' U L' U'
D' L2 B D L F2 B2
D' L2 B D L B2 F2
F' L2 B D L F2 B
F' L2 B D L B F2
D' L2 B D F2 L B2
F' L2 B D F2 L B
B L2 B U L2 U' L
F2 L2 B D L F2 B
F2 L2 B D L B F2
F2 L2 B D F2 L B
B L2 B D L F2 L2
B L2 B D L' F2 D
B L2 B D L' F2 D'
B L2 B D L' F2 D2
B L2 B D L2 F2 L
B L2 B D' L' D2 F2
F L2 B D L F2 B
F L2 B D L B F2
B L2 B D2 L' D' F2
F L2 B D F2 L B
B L2 B F2 D F2 L'
D' L2 B' D F2 B2 L
D' L2 B' D B2 L F2
D' L2 B' D B2 F2 L
B2 L2 B' D L F2 B
B2 L2 B' D L B F2
B2 L2 B' D F2 L B
B L2 B2 D B' L' F2
U' R L F U F' B2
U' R L F U B2 F'
B' R U R2 U2 R B'
B' R U R2 U2 B' R
B' R U' R' B2 L B
B R U' L R' D B
B R U' L R' D' B
B R U' L R' D2 B
B R U' L R' B D
B R U' L R' B D'
B R U' L R' B D2
B R U' L' R' B L2
B' R U' D2 R' B' L2
B R U' L2 R' B L'
