U' L2 R' D' B' L
U' L2 D' R' B' L
U' R' L2 D' B' L
R' L B L D F2 B'
R' L B L D B' F2
R' L B L B' D F2
L2 R B' R2 D F2 L'
U' L' R' U B' R' U'
L2 R' D F2 B L B2
L2 R' D B L F2 B2
L2 R' D B L B2 F2
L2 R' D B F2 L B2
L R' B L D F2 B'
L R' B L D B' F2
L R' B L B' D F2
R' L2 D F2 B L B2
R' L2 D B L F2 B2
R' L2 D B L B2 F2
R' L2 D B F2 L B2
U' L2 R' D' B' L D
U' L2 R' D' B' L D'
U' L2 R' D' B' L D2
U' L2 R' D' B' D L
U' L2 R' D' B' D' L
U' L2 R' D' B' D2 L
U' L2 R2 D' R B' L
U' L2 R2 D' B' L R
U' L2 R2 D' B' R L
U' L2 D R' D2 B' L
R L2 B' R2 D F2 L'
B L2 D B' L' R' F2
B L2 D B' L' F2 R'
B L2 D B' R' L' F2
U' L2 D' R B' L R2
U' L2 D' R B' R2 L
U' L2 D' R' B' L D
U' L2 D' R' B' L D'
U' L2 D' R' B' L D2
U' L2 D' R' B' D L
U' L2 D' R' B' D' L
U' L2 D' R' B' D2 L
U' L2 D' R2 B' L R
U' L2 D' R2 B' R L
U' L2 D2 R' B' D L2
U2 L2 F' U R' B' L'
B L2 B' R' D L' F2
B2 L2 B' D F2 L R
B2 L2 B' D F2 R L
B L2 B' D L' R' F2
B L2 B' D L' F2 R'
B L2 B' D R' L' F2
R2 U' L2 R D' B' L
U R F U' B U' R2
R U' L2 R2 D' B' L
R2 U' L2 D' R B' L
R2 U' L2 D' B' L R
R2 U' L2 D' B' R L
R2 U' R L2 D' B' L
R U' R2 L2 D' B' L
U' R' L' U B' R' U'
U' R' L2 D' B' L D
U' R' L2 D' B' L D'
U' R' L2 D' B' L D2
U' R' L2 D' B' D L
U' R' L2 D' B' D' L
U' R' L2 D' B' D2 L
U' R' D L2 D' B' L
U' R' D' L2 D' B' L
U' R' D2 L2 D' B' L
U R' F D R2 U2 R2
U' R' B L2 D' B' L
U' R' B' L2 D' B' L
U' R' B2 L2 D' B' L
R' U2 F R U R' U
U' R2 L2 D' R B' L
U' R2 L2 D' B' L R
U' R2 L2 D' B' R L
L2 D R B' R2 F2 L'
L2 D R' F2 B L B2
L2 D R' B L F2 B2
L2 D R' B L B2 F2
L2 D R' B F2 L B2
F2 R2 B' U' B2 L R
F2 R2 B' U' B2 R L
F2 R2 B2 U' R B' L
F2 R2 B2 U' B' L R
F2 R2 B2 U' B' R L
B2 U L U2 L B' L
B2 U L U2 B' L B'
U' D L2 R' D' B' L
U' D L2 D' R' B' L
L2 D F2 R' B L B2
U' D R' L2 D' B' L
B' U R' D2 F L' U2
B' U D2 R' F L' U2
B' U D2 F L' R' U2
B' U D2 F R' L' U2
B2 U D2 F L U2 L2
U' D' L2 R' D' B' L
D' U' L2 R' D' B' L
D2 U' L2 R' D' B' L
U' D' L2 D' R' B' L
D' U' L2 D' R' B' L
D2 U' L2 D' R' B' L
D U' L2 R' D' B' L
B' U' L B2 L B' R'
D U' L2 D' R' B' L
U' D' R' L2 D' B' L
D' U' R' L2 D' B' L
D2 U' R' L2 D' B' L
D U' R' L2 D' B' L
B2 U' L2 B' L D2 R2
F U' F U' F' L' R'
F U' F U' F' R' L'
U' D2 L2 R' D' B' L
U' D2 L2 D' R' B' L
B2 U' B' L2 B' L' R'
B2 U' B' L2 B' R' L'
U' D2 R' L2 D' B' L
L D2 R' B L D F2
B' U' B2 L2 B' L' R'
B' U' B2 L2 B' R' L'
U2 F R U R' U R'
U F R U' B U' R2
U F U F' U L' R'
U F U F' U R' L'
F' D R2 B U' L R
F' D R2 B U' R L
U2 F' U L' R' D2 B2
U2 F' U L' D2 R' B2
U2 F' U R' L' D2 B2
U2 F' U R' D2 L' B2
U2 F' U R' D2 B2 L'
U2 F' U D2 L' R' B2
U2 F' U D2 R' L' B2
U2 F' U D2 R' B2 L'
U2 F' U' F2 R U2 R2
U2 F' D' L2 U L R'
U2 F' D' L2 U R' L
U2 F' D2 U L' R' B2
U2 F' D2 U R' L' B2
U2 F' D2 U R' B2 L'
U2 F2 U' F' R U2 R2
B' D2 U R' F L' U2
B' D2 U F L' R' U2
B' D2 U F R' L' U2
B2 D2 U F L U2 L2
R F2 B U' L R2 B
R F2 B U' R2 L B
U' B L2 D' B' L R'
U' B L2 D' B' R' L
R' B L2 D B' L' F2
L B L D F2 B' R'
L B L D B' R' F2
L B L D B' F2 R'
R' B L2 B' D L' F2
L B L B' R' D F2
L B L B' D R' F2
L B L B' D F2 R'
R2 B U' L2 R B' L'
R2 B U' L2 B' L' R
R2 B U' L2 B' R L'
R2 B U' R L2 B' L'
R B U F U2 L R2
R B U F U2 R2 L
R B U' L2 R2 B' L'
R B U' L2 B' L' R2
R B U' L2 B' R2 L'
R B U' R2 L2 B' L'
R B F2 U' L R2 B
R B F2 U' R2 L B
R2 B' U R' F U2 R2
R2 B' U' R D2 L2 B'
R B' U R' F U2 R'
R B' U F R' U2 R'
R' B2 L2 B' D L F2
R' B2 L2 B' D F2 L
R2 B2 U' L2 R B' L
R2 B2 U' L2 B' L R
R2 B2 U' L2 B' R L
R2 B2 U' R L2 B' L
R B2 U' L2 R2 B' L
R B2 U' L2 B' L R2
R B2 U' L2 B' R2 L
R B2 U' R2 L2 B' L
