U L U2 L' B' U'
U' L F U2 F' U'
F U L U F' L'
L' D' B L B R'
F U2 F' L' D' B2
L2 B L D' B2 R'
U L R U2 L' B U'
U L R U2 B L' U'
U L R' F2 R F U
U' L R2 F R2 B U
U L R2 F2 R F' U
U L U F' D' L' F
L' R D' B L B R'
U L U2 L' D B' U'
U L U2 L' D' B' U'
U L U2 L' D2 B' U'
U L U2 L' B' U' D
U L U2 L' B' U' D'
U L U2 L' B' U' D2
U L U2 L' B' D U'
U L U2 L' B' D' U'
U L U2 L' B' D2 U'
B L U2 D L' F U2
U L U2 D L' B' U'
U L U2 D' L' B' U'
U L U2 D2 L' B' U'
U L U2 B L' B' U'
U L U2 B' L' B' U'
U L U2 B2 L' B' U'
U' L D F U2 F' U'
B L D U2 L' F U2
U L D U2 L' B' U'
U' L D' F U2 F' U'
U L D' U2 L' B' U'
U' L D2 F U2 F' U'
U L D2 U2 L' B' U'
U' L F R2 B R2 U
L2 R B L D' B2 R'
U' L F U2 D F' U'
U' L F U2 D' F' U'
U' L F U2 D2 F' U'
U' L F U2 F' U' D
U' L F U2 F' U' D'
U' L F U2 F' U' D2
U' L F U2 F' D U'
U' L F U2 F' D' U'
U' L F U2 F' D2 U'
U' L F D U2 F' U'
U' L F D' U2 F' U'
U' L F D2 U2 F' U'
U' L F B U2 F' U'
U' L F B' U2 F' U'
U' L F B2 U2 F' U'
U L F' R' F' R U
U L F2 R U2 B U'
U L F2 R' F' R2 U
U' L F2 D F' U R2
U' L F2 D2 F' B2 U
U' L F2 D2 B2 F' U
F2 L B U F2 L R
F2 L B U F2 R L
U' L B F U2 F' U'
U' L B' F U2 F' U'
U' L B2 F U2 F' U'
R' L' D' B L B R'
L' R' D' B L B R'
R2 L' D' B L B R'
R L' D' B L B R'
L2 R' B L D' B2 R'
D2 L' D' B L B R'
D' L' D' B L B R'
D L' D' B L B R'
U' L' F' L2 F B' U
U' L' F' L2 B' F U
B2 L' B' D L B' R'
B' L' B2 L D' R' B
B' L' B2 R' D L B'
B' L' B2 D L R' B'
B' L' B2 D R' L B'
L' R2 D' B L B R'
B' L' B2 D' L R' B
B' L' B2 D' R' L B
R' L2 B L D' B2 R'
L2 R2 B L D' B2 R'
R2 L2 B L D' B2 R'
R L2 B L D' B2 R'
R' U L U2 L' B' U'
R2 U L U2 L' B' U'
R U L U2 L' B' U'
D2 L2 B L D' B2 R'
D' L2 B L D' B2 R'
D L2 B L D' B2 R'
L2 U D F2 R B U'
U R L U2 L' B U'
U R L U2 B L' U'
U2 R U L F U R'
U' R U2 L R' F' U
U' R U2 R' L F' U
U' R U2 R' F' L U
R' U' L F U2 F' U'
R2 U' L F U2 F' U'
R U' L F U2 F' U'
U R B U2 B' L U
U R' L F2 R F U
L' U2 L U L F U
U R' F L F2 R U
L2 U2 L2 U L F U
U R' F' L U2 L' U'
U' R2 L F R2 B U
U R2 L F2 R F' U
U2 R2 U L F U R2
F R2 B U2 D L B'
F R2 B D U2 L B'
L2 D U F2 R B U'
D' U L U2 L' B' U'
F' U L U F' L' F
D2 U L U2 L' B' U'
F2 U L R' F' U F'
F2 U L U F' L' F'
U' D L F U2 F' U'
F2 U L F' U F' L'
D U L U2 L' B' U'
F U L U L F' L'
F U L U L' F' L'
F U L U L2 F' L'
F U L U D F' L'
F U L U D' F' L'
F U L U D2 F' L'
F U L U F' L' D
F U L U F' L' D'
F U L U F' L' D2
F U L U F' D L'
F U L U F' D' L'
F U L U F' D2 L'
F U L D U F' L'
U D L U2 L' B' U'
F U L D' U F' L'
F U L D2 U F' L'
F2 U R' L F' U F'
F' U R' F' L U F2
F2 U R' F' L U F'
F U D L U F' L'
F U D' L U F' L'
F U D2 L U F' L'
F2 U F' L U F' L'
F' U F2 L U F' L'
L' D' R B L B R'
L' D' R' B L B R'
D' U' L F U2 F' U'
U' D' L F U2 F' U'
D2 U' L F U2 F' U'
L' D' R2 B L B R'
D U' L F U2 F' U'
U D' L U2 L' B' U'
L' D' B L B R' D
L' D' B L B R' D'
L' D' B L B R' D2
L' D' B L B D R'
L' D' B L B D' R'
L' D' B L B D2 R'
L' D' B L' B L2 R'
L' D' B L' B R' L2
