D L' F B' R' U2
D' L' B' R' U2 B
D L' B' R' F U2
D L' B' F R' U2
L' D' B' R' U2 B
L' B' R' U L U
B' L U' L2 R' B' U2
B' L U' R' L2 B' U2
L' R D' B' R' U2 B
B' L D' B2 U F L
D L F B L B2 R'
L' R B' R' U L U
D L B F L B2 R'
D' L' R F' B' R' U2
D L' R F B' R' U2
D' L' R B' F' R' U2
D L' R B' R' F U2
D L' R B' F R' U2
B' L' R' U L2 U F
B' L' R' D F2 B' U2
B' L' R' D B' F2 U2
B' L' R' D' B' U2 B'
D L' R' F B' R' U2
D' L' R' B' R' U2 B2
D' L' R' B' U2 B2 L
B' L' R' B' U L2 U
B' L' R' B' U2 D' B2
B' L' R' B' D F2 U2
B' L' R' B' D' U2 B2
D L' R' B' R' F U2
D L' R' B' F R' U2
R' L' D' B' R' U2 B
L' R' D' B' R' U2 B
D L' R2 F B' R' U2
D' L' R2 B' R' F' U2
R2 L' D' B' R' U2 B
D L' R2 B' R' F U2
R L' D' B' R' U2 B
D L' R2 B' F R' U2
B L' U' R' U' L2 F
B' L' D R' F2 B' U2
B' L' D R' B' F2 U2
B' L' D F2 R' B' U2
D2 L' D B' R' U2 B
D L' D F B' R' U2
D L' D B' R' F U2
D L' D B' F R' U2
B' L' D' R' B' U2 B'
D L' D' F B' R' U2
B' L' D' B' U2 B' L
R' L' B' R' U L U
D L' D' B' R' F U2
L' R' B' R' U L U
D L' D' B' F R' U2
R2 L' B' R' U L U
R L' B' R' U L U
D L' D2 F B' R' U2
D L' D2 B' R' F U2
D L' D2 B' F R' U2
D L' F R B' R' U2
D L' F R' B' R' U2
D L' F R2 B' R' U2
D' L' F B' R' U2 B
D L' F D B' R' U2
D L' F D' B' R' U2
D L' F D2 B' R' U2
D L' F B' R' U2 D
D L' F B' R' U2 D'
D L' F B' R' U2 D2
D L' F B' R' D U2
D L' F B' R' D' U2
D L' F B' R' D2 U2
D L' F B' D R' U2
D L' F B' D' R' U2
D L' F B' D2 R' U2
D' L' F' B' R' U2 B
D L' F' B' R' F2 U2
D' L' F2 B' R' U2 B
D' L' B' R F' R2 U2
D' L' B' R' U2 D B
D' L' B' R' U2 D' B
D' L' B' R' U2 D2 B
D' L' B' R' U2 B D
D' L' B' R' U2 B D'
D' L' B' R' U2 B D2
D' L' B' R' D U2 B
D' L' B' R' D' U2 B
D' L' B' R' D2 U2 B
D' L' B' R' F U2 B
D' L' B' R' F' U2 B
D' L' B' R' F2 U2 B
D L' B' R F R2 U2
D2 L' B' D R' U2 B
D L' B' R' D F U2
D L' B' R' D' F U2
D L' B' R' D2 F U2
D L' B' R' F U2 D
D L' B' R' F U2 D'
D L' B' R' F U2 D2
D L' B' R' F D U2
D L' B' R' F D' U2
D L' B' R' F D2 U2
B2 L' B' U' R' U' L
D' L' B' F R' U2 B
D' L' B' F' R' U2 B
D' L' B' F2 R' U2 B
D L' B' D R' F U2
D L' B' D F R' U2
D L' B' D' R' F U2
D L' B' D' F R' U2
D L' B' D2 R' F U2
D L' B' D2 F R' U2
D L' B' F R' U2 D
D L' B' F R' U2 D'
D L' B' F R' U2 D2
D L' B' F R' D U2
D L' B' F R' D' U2
D L' B' F R' D2 U2
D L' B' F D R' U2
D L' B' F D' R' U2
D L' B' F D2 R' U2
D L' B' F' R' F2 U2
L' R2 D' B' R' U2 B
L' R2 B' R' U L U
D' R L' F' B' R' U2
D' R L' B' F' R' U2
D R L' F B' R' U2
D R L' B' R' F U2
D R L' B' F R' U2
F2 R D B L F B'
F2 R D B L B' F
B' R' L' U L2 U F
B' R' L' D F2 B' U2
B' R' L' D B' F2 U2
B' R' L' D' B' U2 B'
D' R' L' B' R' U2 B2
D' R' L' B' U2 B2 L
B' R' L' B' U L2 U
B' R' L' B' U2 D' B2
B' R' L' B' D F2 U2
B' R' L' B' D' U2 B2
D R' L' F B' R' U2
D R' L' B' R' F U2
D R' L' B' F R' U2
D' R' F B L F R
D' R' F2 B L R F
D' R' F2 B R L F
D' R' B L D2 R2 F
D' R' B L D2 F R2
D' R' B L F D2 R2
D' R' B F L F R
D' R' B F2 L R F
D' R' B F2 R L F
D' R2 L' B' R' F' U2
D R2 L' F B' R' U2
D R2 L' B' R' F U2
D R2 L' B' F R' U2
F2 R2 D' R' B L F
R' D L' F B' R' U2
R' D L' B' R' F U2
R' D L' B' F R' U2
R2 D L' F B' R' U2
R2 D L' B' R' F U2
R2 D L' B' F R' U2
R D L' F B' R' U2
R D L' B' R' F U2
R D L' B' F R' U2
D' R2 F2 R B L F
U2 D L' F R B U2
L' D B' U2 B2 L B'
L' D B' D2 R' U2 B
R' D' L' B' R' U2 B
R2 D' L' B' R' U2 B
R D' L' B' R' U2 B
L' D' R F' B' R' U2
L' D' R B' F' R' U2
L' D' R' B' R' U2 B2
L' D' R' B' U2 B2 L
L' D' R2 B' R' F' U2
L' D' F B' R' U2 B
L' D' F' B' R' U2 B
L' D' F2 B' R' U2 B
L' D' B' R F' R2 U2
L' D' B' R' U2 D B
L' D' B' R' U2 D' B
L' D' B' R' U2 D2 B
L' D' B' R' U2 B D
L' D' B' R' U2 B D'
L' D' B' R' U2 B D2
L' D' B' R' D U2 B
L' D' B' R' D' U2 B
L' D' B' R' D2 U2 B
L' D' B' R' F U2 B
L' D' B' R' F' U2 B
L' D' B' R' F2 U2 B
L' D' B' F R' U2 B
L' D' B' F' R' U2 B
L' D' B' F2 R' U2 B
D U2 L' F R B U2
L' D2 B' D R' U2 B
D' F R' B L F R
L' F D' B' R' U2 B
F2 D R B L F B'
F2 D R B L B' F
L' F B' R' U L U
D F B L F R B'
