B L F' U F2 R U'
F' L2 U' L F B' U
F' L2 U' L B' F U
L U2 F U' F2 L' B'
B2 U L' F' B' L R'
B2 U L' F' B' R' L
B2 U L' B' L F' R'
B2 U L' B' F' L R'
B2 U L' B' F' R' L
B U L' F' B' L2 R'
B U L' F' B' R' L2
B U L' B' L2 F' R'
B U L' B' F' L2 R'
B U L' B' F' R' L2
B2 U F' L' B' L R'
B2 U F' L' B' R' L
B U F' L' B' L2 R'
B U F' L' B' R' L2
F' U' L F L2 U R
F' U' L' U2 B' U' R'
B U' L F R F2 B
B U' L F R B F2
B U' F L R F2 B
B U' F L R B F2
B U' F R L F2 B
B U' F R L B F2
B U' F R F2 L B
L F R B U' L F2
L F R B U' F2 L
U2 F U' F2 L' B' R'
L F B R U' L F2
L F B R U' F2 L
L F' U F2 R B U'
L' F' B L D' R2 B2
L' F' B L D' B2 R2
U2 F2 U F L' R B
U2 F2 U F R L' B
U2 F2 U F R B L'
U2 F2 U' F L' B' R'
F' B L U' L2 B' U
L' B F' L D' R2 B2
L' B F' L D' B2 R2
L B F R U' L F2
L B F R U' F2 L
B F' L U' L2 B' U
