B' L2 U' R' B2 U2
B' L2 U' B2 U2 L
B U L2 B2 U L'
B U2 D' L R2 B2
B U2 D' L B2 R2
B U2 D' R2 L B2
B D L2 F2 R U2
B D F2 L2 U2 L'
B D' U2 L R2 B2
B D' U2 L B2 R2
B D' U2 R2 L B2
B L' U L' B2 U L'
B L' U B2 L' U L'
L2 R2 U2 F U' F2 L'
R2 L2 U2 F U' F2 L'
B' L2 R U D2 L2 F2
B' L2 R U D2 F2 L2
B' L2 R U' R2 B2 U2
B' L2 R U' B2 R2 U2
B' L2 R D' R2 F2 U
B' L2 R D' F2 R2 U
B' L2 R D2 U L2 F2
B' L2 R D2 U F2 L2
B' L2 R2 U D2 F2 L'
B' L2 R2 U' R B2 U2
B' L2 R2 U' B2 R U2
B' L2 R2 D2 U F2 L'
B' L2 U' R B2 R2 U2
B' L2 U' R' U2 D2 F2
B' L2 U' R' D2 U2 F2
B' L2 U' R' B2 U2 D
B' L2 U' R' B2 U2 D'
B' L2 U' R' B2 U2 D2
B' L2 U' R' B2 D U2
B' L2 U' R' B2 D' U2
B' L2 U' R' B2 D2 U2
B L2 U B2 U L' B2
B L2 U B2 U B2 L'
B' L2 U' R2 B2 R U2
B' L2 U' D2 R' U2 F2
B' L2 U' B2 R U2 L
B' L2 U' B2 R' U2 L
B' L2 U' B2 R2 U2 L
B' L2 U' B2 U2 L D
B' L2 U' B2 U2 L D'
B' L2 U' B2 U2 L D2
B' L2 U' B2 U2 D L
B' L2 U' B2 U2 D' L
B' L2 U' B2 U2 D2 L
B' L2 U' B2 D U2 L
B' L2 U' B2 D' U2 L
B' L2 U' B2 D2 U2 L
B' L2 D' R2 U' R U2
B' L2 D' R2 F2 U L'
B' L2 D2 R2 U F2 L'
B' L2 D2 U' R' U2 F2
B2 L2 D2 B U F L'
B' L2 F U' R' B2 U2
B' L2 F U' B2 U2 L
B' L2 F' U' R' B2 U2
B' L2 F' U' B2 U2 L
B' L2 F2 U' R' B2 U2
B' L2 F2 U' B2 U2 L
B2 L2 B U' R' U2 F
B L2 B2 U L' D2 F2
B L2 B2 U D2 L' F2
B L2 B2 U' B2 U2 L'
B L2 B2 D' R2 U L'
B L2 B2 D2 U L' F2
B' R L2 U D2 L2 F2
B' R L2 U D2 F2 L2
B' R L2 U' R2 B2 U2
B' R L2 U' B2 R2 U2
B' R L2 D' R2 F2 U
B' R L2 D' F2 R2 U
B' R L2 D2 U L2 F2
B' R L2 D2 U F2 L2
B R U L2 B2 U L'
B R U2 D' L R2 B2
B R U2 D' L B2 R2
B R U2 D' R2 L B2
R2 U B' L2 U F' L'
B R D L2 F2 R U2
B R D F2 L2 U2 L'
B' R D' R2 F2 U B2
B' R D' F2 R2 U B2
B R D' U2 L R2 B2
B R D' U2 L B2 R2
B R D' U2 R2 L B2
B R' U L2 B2 U L'
B R' U2 D' L R2 B2
B R' U2 D' L B2 R2
B R' U2 D' R2 L B2
B R' D L2 F2 R U2
B R' D F2 L2 U2 L'
B R' D' U2 L R2 B2
B R' D' U2 L B2 R2
B R' D' U2 R2 L B2
B' R' B2 U L2 B2 U
B' R' B2 U B2 L2 U
B' R' B2 U2 D' R2 B2
B' R' B2 U2 D' B2 R2
B' R' B2 D L2 F2 U2
B' R' B2 D F2 L2 U2
B' R' B2 D' U2 R2 B2
B' R' B2 D' U2 B2 R2
B' R2 L2 U D2 F2 L'
B' R2 L2 U' R B2 U2
B' R2 L2 U' B2 R U2
L2 U2 F U B R U2
B' R2 L2 D2 U F2 L'
B R2 U L2 B2 U L'
B R2 U2 D' L R2 B2
B R2 U2 D' L B2 R2
B R2 U2 D' R2 L B2
B R2 D L2 F2 R U2
B' R2 D' R2 U B2 L
B R2 D F2 L2 U2 L'
B R2 D' U2 L R2 B2
B R2 D' U2 L B2 R2
B R2 D' U2 R2 L B2
B U L' B2 L' U L'
B U L2 U L' D' R2
B U L2 U D' L' R2
B U L2 U D' R2 L'
B U L2 D' U L' R2
