B2 L2 B' U F L
B U L2 B' U L'
L2 B' U' R' B2 U2
L2 B' U' B2 U2 L
L2 R B' U' R' B U2
B2 L2 R B' U F L
B2 L2 R' B' U F L
F2 L2 R2 B U L F'
F2 L2 R2 B U F' L
B2 L2 R2 B' U F L
B L2 U B' U L' B
B L2 U B' U B L'
R L2 B' U' R' B U2
B2 L2 D2 B' U F L'
R2 U L2 B' U F' L'
B2 L2 F' B' U L F2
B2 L2 F' B' U F2 L
B2 L2 F2 B' U L F'
B2 L2 F2 B' U F' L
B2 L2 B' R U F L
B2 L2 B' R' U F L
B' L2 B' U' B' U2 L
B2 L2 B' R2 U F L
B2 L2 B' U D F L
B2 L2 B' U D' F L
B2 L2 B' U D2 F L
B2 L2 B' U F L D
B2 L2 B' U F L D'
B2 L2 B' U F L D2
B2 L2 B' U F D L
B2 L2 B' U F D' L
B2 L2 B' U F D2 L
B2 L2 B' U F' L F2
B2 L2 B' U F2 L F'
B L2 B' R2 U L' F'
B2 L2 B' D U F L
B2 L2 B' D' U F L
B L2 B' U' B U2 L'
B2 L2 B' D2 U F L
B2 L2 B' F' U L F2
B2 L2 B' F' U F2 L
B2 L2 B' F2 U L F'
B2 L2 B' F2 U F' L
B2 R L2 B' U F L
B R U L2 B' U L'
B2 R' L2 B' U F L
B R' U L2 B' U L'
B' R' B2 U L2 B' U
F2 R2 L2 B U L F'
F2 R2 L2 B U F' L
B2 R2 L2 B' U F L
B R2 U L2 B' U L'
F' R2 D F' R2 B L
D2 R2 F B U' L F2
D2 R2 F B U' F2 L
D R2 F' D R2 B L
F2 R2 B L2 U L' F'
D2 R2 B F U' L F2
D2 R2 B F U' F2 L
B2 U L2 B' U F L
B U L2 D B' U L'
B U L2 D' B' U L'
R2 D F' D R2 B L
B U L2 D2 B' U L'
B U L2 B' U L' D
B U L2 B' U L' D'
B U L2 B' U L' D2
B U L2 B' U D L'
B U L2 B' U D' L'
B U L2 B' U D2 L'
B U L2 B' D U L'
B U L2 B' D' U L'
B U L2 B' D2 U L'
L2 D B' U' R' B2 U2
L2 D B' U' B2 U2 L
B U B L2 B' U L
B2 U' L2 B' U F L
D2 U' F R2 U' F' L'
L2 D' B' U' R' B2 U2
L2 D' B' U' B2 U2 L
B U' D' F U' L B2
B U' D2 R2 F U' L
B U' D2 F R2 U' L
B U' F U' D' L B2
B U' F U2 L2 U L'
B U' F D' U' L B2
B U' F D2 R2 U' L
D2 U2 R2 F U' F2 L'
U' D2 F R2 U' F' L'
U2 D2 R2 F U' F2 L'
B U2 L U' L B' U
B2 U2 L2 B' U F L
L2 D2 B' U' R' B2 U2
L2 D2 B' U' B2 U2 L
D2 F R2 B U' L F'
D2 F R2 B U' F' L
U' F D2 R2 U' F' L'
L2 F B' U' R' B2 U2
L2 F B' U' B2 U2 L
F' D F' R2 F' B L
F' D F' R2 B L F'
F' D F' R2 B F' L
F' D F2 U2 R2 F' L'
F' D F2 B U2 L R2
F' D F2 B U2 R2 L
B D F2 U' F' U' L
F' D B F2 U2 L R2
F' D B F2 U2 R2 L
F' D' L2 B U2 L B
D F' D R2 F' B L
D F' D R2 B L F'
D F' D R2 B F' L
R2 F' B D' L B2 R'
L2 F' B' U' R' B2 U2
L2 F' B' U' B2 U2 L
B D' U' F U' L B2
F' D' B L2 U2 L' B
F' D' B L2 U2 B L'
B' D2 R2 F U' F L'
D F2 B U' F' U' L
L2 F2 B' U' R' B2 U2
L2 F2 B' U' B2 U2 L
F D2 R2 B U' L F'
F D2 R2 B U' F' L
B D2 U' R2 F U' L
B D2 U' F R2 U' L
R2 B L2 B' U L' F'
D2 B U' R2 F U' L
D2 B U' F R2 U' L
D' B U' F U' L B
L2 B U B2 U B2 L
D' B U2 L D' B R'
R2 B F' D' L B2 R'
D B F2 U' F' U' L
F' B U2 D' L B2 R'
F' B D F2 U2 L R2
F' B D F2 U2 R2 L
F' B D' L2 U2 L' B2
F' B D' L2 U2 B2 L'
