L2 U L' R' F' U
L2 U R' L' F' U
R' L U' L U F U
U' L R' F U' L U2
U' L R' F B2 U R'
U L R' F' U' L U2
U L R' F' B2 U R'
U' L R' B2 F U R'
U L R' B2 F' U R'
U' L F R' U' L U2
U' L F R' B2 U R'
L R' U' L U F U
F' L2 U L' R' F' U
U' L2 U L' R' F U
U' L2 U L' F R' U
F2 L2 U L' R' F' U
F' L2 U R' L' F' U
U' L2 U R' L' F U
F2 L2 U R' L' F' U
F L2 U L' R' F' U
F L2 U R' L' F' U
L2 U L R' F' L2 U
L2 U L' R' D F' U
L2 U L' R' D' F' U
L2 U L' R' D2 F' U
L2 U L' R' F' U D
L2 U L' R' F' U D'
L2 U L' R' F' U D2
L2 U L' R' F' D U
L2 U L' R' F' D' U
L2 U L' R' F' D2 U
L2 U L' D R' F' U
L2 U L' D' R' F' U
L2 U L' D2 R' F' U
L2 U L' F R' F' U
L2 U L' F' R' F' U
L2 U L' F2 R' F' U
L2 U L2 R' F' L U
L2 U R' L F' L2 U
L2 U R' L' D F' U
L2 U R' L' D' F' U
L2 U R' L' D2 F' U
L2 U R' L' F' U D
L2 U R' L' F' U D'
L2 U R' L' F' U D2
L2 U R' L' F' D U
L2 U R' L' F' D' U
L2 U R' L' F' D2 U
L2 U R' L2 F' L U
L2 U R' D L' F' U
L2 U R' D' L' F' U
L2 U R' D2 L' F' U
L2 U D L' R' F' U
L2 U D R' L' F' U
L2 U D' L' R' F' U
L2 U D' R' L' F' U
L2 U D2 L' R' F' U
L2 U D2 R' L' F' U
L2 U F R' F' L' U
L U' L U R' F U
L U' L U F R' U
R' U' L2 U L' F U
U' R' L F U' L U2
U' R' L F B2 U R'
U' R' L B2 F U R'
U R' L F' U' L U2
U R' L F' B2 U R'
U R' L B2 F' U R'
B2 R' D L F2 B' U'
B2 R' D L B' F2 U'
B2 R' D F2 L B' U'
U' R' D' L F B2 U
U' R' D' L B2 F U
U R' D' L F' B2 U
U R' D' L B2 F' U
U' R' D2 L F U R2
U R' D' F' L B2 U
U R' D2 L F' U R2
U R' D2 F' L U R2
U R' F' L U' L U2
U R' F' L B2 U R'
U R' F' D' L B2 U
U R' F' D2 L U R2
D2 R2 U' L R F U
D2 R2 U' R L F U
L2 D U L' R' F' U
L2 D U R' L' F' U
D' U L R' F' B2 U
D' U L R' B2 F' U
D2 U L R' F' U R'
D' U R' L F' B2 U
D' U R' L B2 F' U
D2 U R' L F' U R'
D' U R' F' L B2 U
D2 U R' F' L U R'
D' U' L R' F B2 U
D' U' L R' B2 F U
U' D' L R' F B2 U
U' D' L R' B2 F U
D2 U' L R' F U R'
D' U' L F R' B2 U
U' D' L F R' B2 U
D2 U' L F R' U R'
U D' L R' F' B2 U
U D' L R' B2 F' U
L2 D' U L' R' F' U
L2 D' U R' L' F' U
D' U' R' L F B2 U
U' D' R' L F B2 U
U' D' R' L B2 F U
D' U' R' L B2 F U
D2 U' R' L F U R'
U D' R' L F' B2 U
U D' R' L B2 F' U
U D' R' F' L B2 U
R' D2 L B U L R2
R' D2 L B U R2 L
U' D2 L R' F U R'
U' D2 L F R' U R'
U D2 L R' F' U R'
U' D2 R' L F U R'
L2 D2 U L' R' F' U
L2 D2 U R' L' F' U
U D2 R' L F' U R'
U D2 R' F' L U R'
B2 D L R' F2 B' U'
B2 D L R' B' F2 U'
B2 D L F2 R' B' U'
B2 D R' L F2 B' U'
B2 D R' L B' F2 U'
B2 D R' F2 L B' U'
B2 D F2 L R' B' U'
B2 D F2 R' L B' U'
B D F2 U' L F B'
B D F2 U' L B' F
