B' L F U R' U2
B' L F B2 U' L
B' L B2 F U' L
B' L U R' U' F U'
B' L D F U R' U2
B' L D F B2 U' L
B' L D B2 F U' L
B' L D' F U R' U2
B' L D' F B2 U' L
B' L D' B2 F U' L
B' L D2 F U R' U2
B' L D2 F B2 U' L
B' L D2 B2 F U' L
D2 L F L' B U' L
B' L F U R' U2 D
B' L F U R' U2 D'
B' L F U R' U2 D2
B' L F U R' D U2
B' L F U R' D' U2
B' L F U R' D2 U2
B' L F U D R' U2
B' L F U D' R' U2
B' L F U D2 R' U2
B' L F U' B2 L B2
B' L F D U R' U2
B' L F D B2 U' L
B' L F D' U R' U2
D2 L F B L' U' L2
B' L F D' B2 U' L
B' L F D2 U R' U2
B' L F D2 B2 U' L
B' L F B2 U' L D
B' L F B2 U' L D'
B' L F B2 U' L D2
B' L F B2 U' D L
B' L F B2 U' D' L
B' L F B2 U' D2 L
B' L F B2 D U' L
B' L F B2 D' U' L
B' L F B2 D2 U' L
B L F B2 L U' L'
D2 L B F L' U' L2
B' L B' D2 F U' L'
B' L B2 D F U' L
B' L B2 D' F U' L
B' L B2 D2 F U' L
B' L B2 F U' L D
B' L B2 F U' L D'
B' L B2 F U' L D2
B' L B2 F U' D L
B' L B2 F U' D' L
B' L B2 F U' D2 L
B' L B2 F D U' L
B' L B2 F D' U' L
B' L B2 F D2 U' L
B L B2 F L U' L'
U' L' U B' L F U'
B L' U2 R' B' U L2
B2 L' U2 B' U L F
U' L2 D L' F L' R
U' L2 D L' F R L'
U' L2 D F L' R F
U' L2 D F R L' F
B' L2 B2 L' F U' L2
U2 R F' B R' U L'
U2 R B R' F' U L'
U2 R B F' R' U L'
B R' F2 L' B' U L2
B2 U R B L R' U2
B2 U R B R' L U2
B' U R' U' L F U'
U2 D F' U L' F R
B2 U B L R' U2 F'
B2 U B R' L U2 F'
B2 U B' U2 L R' F
B2 U B' U2 L F R'
B2 U B' U2 R' L F
B2 U' L D2 F L' R
B2 U' L D2 F R L'
B U' L F R D' F2
B2 U' D2 L F L' R
B2 U' D2 L F R L'
B U' F L R D' F2
B U' F R L D' F2
B U' F R D' L F2
B U' F R D' F2 L
B2 U' B' L F B R
B2 U' B' L B F R
D2 U2 F' R B U L'
L D2 F L' B U' L
U2 D2 F' R B U L'
L D2 F B L' U' L2
D U2 F' U L' F R
B U2 R' U2 F' U' L
L D2 B F L' U' L2
B2 U2 B' U L F R
B' D L F U R' U2
B' D L F B2 U' L
B' D L B2 F U' L
L F B U2 R' U L
L F B' L U R' U2
L F B' L B2 U' L
U2 F' R B R' U L'
B2 D B L F B' U'
B2 D B L B' F U'
U2 F' U D L' F R
B' D' L F U R' U2
B' D' L F B2 U' L
B' D' L B2 F U' L
U2 F' D U L' F R
B' D2 L F U R' U2
B' D2 L F B2 U' L
B' D2 L B2 F U' L
B2 D2 U' L F L' R
B2 D2 U' L F R L'
D2 B L F L' U' L
B2 D2 B L F U' L'
D' B U' L F R F'
D' B U' F L R F'
D' B U' F R L F'
D' B U' F R F' L
B' F L F U R' U2
B' F L F B2 U' L
B' F L B2 F U' L
D B U' L' F L2 R
D B U' L' F R L2
L B F U2 R' U L
L' B' L U R' U2 R
B' F' L F U R' U2
B' F' L F B2 U' L
B' F' L B2 F U' L
F' B' L F U R' U2
F' B' L F B2 U' L
F2 B' L F U R' U2
F2 B' L F B2 U' L
F' B' L B2 F U' L
D' B' U R' B L U2
F2 B' L B2 F U' L
F B' L F U R' U2
F B' L F B2 U' L
F B' L B2 F U' L
L B' F L U R' U2
L B' F L B2 U' L
B' F2 L F U R' U2
B' F2 L F B2 U' L
B' F2 L B2 F U' L
