R B U' L F2 R
L' R B U' L F2 R
L R B U' L F2 R
L2 R B U' L F2 R
R L B U' L F2 R
U' L' R B' U' R' F2
U' L' R B' U' F2 R'
R L' B U' L F2 R
U' L' B' R U' R2 F2
U' L' B' R U' F2 R2
R L2 B U' L F2 R
U' R L' B' U' R' F2
U' R L' B' U' F2 R'
U R F B U' R F
U R B F U' R F
R U2 F' B U L' F'
R U2 B F' U L' F'
R' D R2 B U L B
F2 U F U' R B L
U2 F' U L' F' B' R'
U2 F' U L' B' F' R'
R B U L F2 D2 B2
R B U F2 L D2 B2
R B U F2 D2 L B2
R B U' L R F2 R
R B U' L R' F2 R
R B U' L R2 F2 R
R B U' L F2 R D
R B U' L F2 R D'
R B U' L F2 R D2
R B U' L F2 D R
R B U' L F2 D' R
R B U' L F2 D2 R
R B U' R L F2 R
R B U' R' L F2 R
R B U' R2 L F2 R
R B' U2 B2 U L F2
R B' U2 B2 U F2 L
R B2 U2 B' U L F2
R B2 U2 B' U F2 L
