D' B R2 U L B'
D' L B R2 U L B2
D' L B' D' R2 F2 L'
F L' D' B R2 U L
F L' D2 B U L F2
F L' D2 B U F2 L
F L' B R2 U L F'
F L' B R2 U F' L
B R2 U D' L F' B'
B R2 U D' L B' F'
B R2 U D' F' L B'
B R2 D' U L F' B'
B R2 D' U L B' F'
B R2 D' U F' L B'
B R2 F L' U L2 F2
B R2 F L' U F2 L2
B U D' L B' D2 F2
B2 U F B' L' U L2
B2 U B' U D' L B'
B2 U B' D' U L B'
R2 D' R2 B U L B'
B2 U B' F L' U L2
L' D' B R2 U L B'
L2 D' B R2 U L B'
L D' B R2 U L B'
B' D L2 R' U2 F B
B' D L2 R' U2 B F
B' D R' L2 U2 F B
B' D R' L2 U2 B F
B' D R' B' L2 U2 B2
D' F B R2 U L B'
F D' L' B R2 U L
D' F' B R2 U L B'
B D' R2 U L F' B'
B D' R2 U L B' F'
B D' R2 U F' L B'
B D' U L B' D2 F2
F D' B L' R2 U L2
B' D' B2 L R2 F' B'
B' D' B2 L R2 B' F'
F D' B R2 L' U L2
B' D' B2 R2 L F' B'
B' D' B2 R2 L B' F'
B' D' B2 R2 F' L B'
F D2 L' B U L F2
F D2 L' B U F2 L
D' F2 B R2 U L B'
D' B L' R2 U L2 B'
D2 B R' U' L F2 R
D' B R2 L' U L2 B'
D' B R2 U L D B'
D' B R2 U L D' B'
D' B R2 U L D2 B'
D' B R2 U L B' D
D' B R2 U L B' D'
D' B R2 U L B' D2
D' B R2 F U L B'
D' B R2 F' U L B'
D' B R2 F2 U L B'
D' B U L D' F2 B'
D' B U L D' B' F2
D' B U L B' D' F2
F D2 B L' U L2 F2
F D2 B L' U F2 L2
D2 B U2 R' U' L F2
D2 B U2 R' U' F2 L
B F L' R2 U L2 F'
B F L' R2 U F' L2
B F L' U' B U2 L2
F B L' R2 U L2 F'
F B L' R2 U F' L2
F B L' U' B U2 L2
D' B F R2 U L B'
D B D2 R2 U L B'
D' B F' R2 U L B'
B F R2 L' U L2 F'
B F R2 L' U F' L2
D' B F2 R2 U L B'
F B R2 L' U L2 F'
F B R2 L' U F' L2
B2 F U B' L' U L2
D2 B' L B2 U L F2
D2 B' L B2 U F2 L
D' B2 R2 B' U L B'
F B2 U B' L' U L2
