B' R F' U' B
R F' B' U' B2
R B' F' U' B2
B' R D F' U' B
B' R D' F' U' B
B' R D2 F' U' B
B' R F' U' D B
B' R F' U' D' B
B' R F' U' D2 B
B' R F' U' B D
B' R F' U' B D'
B' R F' U' B D2
B' R F' D U' B
F' R F' B' U' B2
B' R F' D' U' B
B' R F' D2 U' B
F2 R F' B' U' B2
B R F' B2 U' B'
F R F' B' U' B2
F' R B' F' U' B2
F2 R B' F' U' B2
D R B' U' B2 R'
F R B' F' U' B2
B R B2 F' U' B'
B' R2 U' B' R' B
R D F' B' U' B2
R D B' F' U' B2
R D' F' B' U' B2
R D' B' F' U' B2
R D2 F' B' U' B2
R D2 B' F' U' B2
B' D R U' B R'
R F' U' B D L2
R F' D B' U' B2
R F' D' B' U' B2
R F' D2 B' U' B2
R F' B' R U' B2
R F' B' R' U' B2
R F' B' R2 U' B2
R F' B' U' B2 D
R F' B' U' B2 D'
R F' B' U' B2 D2
R F' B' D' R2 U'
B' F R F' U' B
R2 B' R' F' U' B
R' B' U' D' R2 B
F' B' R F' U' B
R2 B' U' B' R' B
B' F' R F' U' B
F2 B' R F' U' B
R' B' D' U' R2 B
F B' R F' U' B
R B' D' F' R2 U'
R B' F' R U' B2
R B' F' R' U' B2
R B' F' R2 U' B2
R B' F' U' B2 D
R B' F' U' B2 D'
R B' F' U' B2 D2
R B' F' D' R2 U'
B' F2 R F' U' B
L' R F' L B' U' B2
B' L' R F' L U' B
R L' F' L B' U' B2
B' L2 R F' L2 U' B
B' R L' F' L U' B
B' R L2 F' L2 U' B
B' R U' B U F' U'
D R U' B R' D L2
D R U' B D L2 R'
D R U' B D R' L2
B' R D F' U' D B
B' R D F' U' D' B
B' R D F' U' D2 B
B' R D F' U' B D
B' R D F' U' B D'
B' R D F' U' B D2
B' R D F' D U' B
B' R D F' D' U' B
B' R D F' D2 U' B
F' R D F' B' U' B2
F' R D B' F' U' B2
F2 R D F' B' U' B2
B R D F' U' L2 B
B R D F' U' B L2
F2 R D B' F' U' B2
F R D F' B' U' B2
F R D B' F' U' B2
B' R D' F' U' D B
B' R D' F' U' D' B
B' R D' F' U' D2 B
B' R D' F' U' B D
B' R D' F' U' B D'
B' R D' F' U' B D2
B' R D' F' D U' B
B' R D' F' D' U' B
B' R D' F' D2 U' B
F' R D' F' B' U' B2
D2 R D' B' U' B2 R'
F' R D' B' F' U' B2
F2 R D' F' B' U' B2
F2 R D' B' F' U' B2
F R D' F' B' U' B2
F R D' B' F' U' B2
B' R D2 F' U' D B
B' R D2 F' U' D' B
B' R D2 F' U' D2 B
B' R D2 F' U' B D
B' R D2 F' U' B D'
B' R D2 F' U' B D2
B' R D2 F' D U' B
B' R D2 F' D' U' B
B' R D2 F' D2 U' B
F' R D2 F' B' U' B2
D' R D2 B' U' B2 R'
F' R D2 B' F' U' B2
F2 R D2 F' B' U' B2
F2 R D2 B' F' U' B2
F R D2 F' B' U' B2
B' R F U' D B R2
B' R F U' B D R2
F R D2 B' F' U' B2
B' R F D U' B R2
D R F B' U' B2 R'
B' R F' R2 U F' U2
B' R F' U F U2 B
B' R F' U F' U2 B
B' R F' U F2 U2 B
B' R F' U' L B L'
B' R F' U' L2 B L2
B' R F' U' D B D
B' R F' U' D B D'
B' R F' U' D B D2
B' R F' U' D' B D
B' R F' U' D' B D'
B' R F' U' D' B D2
B' R F' U' D2 B D
B' R F' U' D2 B D'
B' R F' U' D2 B D2
B' R F' U' B2 D B'
B' R F' U' B2 D' B'
B' R F' U' B2 D2 B'
B' R F' U2 L U B
B' R F' U2 L' U B
B' R F' U2 L2 U B
F' R F' U' B D L2
B' R F' D U' B D
B' R F' D U' B D'
B' R F' D U' B D2
B' R F' D' U' B D
B' R F' D' U' B D'
B' R F' D' U' B D2
F' R F' D B' U' B2
B' R F' D2 U' B D
B' R F' D2 U' B D'
B' R F' D2 U' B D2
F' R F' D' B' U' B2
F2 R F' U' B D L2
D' R F' B' U' R B2
D' R F' B' U' B2 R
F' R F' D2 B' U' B2
U' R F' B' R' U' F
F' R F' B' R U' B2
F' R F' B' R' U' B2
F' R F' B' R2 U' B2
F' R F' B' U' B2 D
F' R F' B' U' B2 D'
F' R F' B' U' B2 D2
F2 R F' D B' U' B2
F' R F' B' D' R2 U'
B R F' U' D L2 B
B R F' U' D B L2
F2 R F' D' B' U' B2
F2 R F' D2 B' U' B2
B R F' D U' L2 B
B R F' D U' B L2
F2 R F' B' R U' B2
F2 R F' B' R' U' B2
F2 R F' B' R2 U' B2
F2 R F' B' U' B2 D
F2 R F' B' U' B2 D'
F2 R F' B' U' B2 D2
F2 R F' B' D' R2 U'
F R F' U' B D L2
D R F' B' U' B2 R'
F R F' D B' U' B2
B R F' B2 R U' B'
B R F' B2 R' U' B'
B R F' B2 R2 U' B'
B R F' B2 U' D B'
F R F' D' B' U' B2
B R F' B2 U' D' B'
B R F' B2 U' D2 B'
B R F' B2 U' B' D
B R F' B2 U' B' D'
B R F' B2 U' B' D2
B R F' B2 D U' B'
B R F' B2 D' U' B'
B R F' B2 D2 U' B'
F R F' D2 B' U' B2
F R F' B' R U' B2
F R F' B' R' U' B2
F R F' B' R2 U' B2
F R F' B' U' B2 D
F R F' B' U' B2 D'
F R F' B' U' B2 D2
B' R F2 D F U' B
F R F' B' D' R2 U'
B' R F2 D' F U' B
B' R F2 D2 F U' B
D R F2 B' U' B2 R'
D R B' R U' B2 R'
D R B' R' U' B2 R'
F' R B' D' F' R2 U'
D R B' R2 U' B2 R'
D' R B' F' U' R B2
D' R B' F' U' B2 R
D R B' U L U2 B2
U' R B' F' R' U' F
D R B' U' R B2 R'
D R B' U' R' B2 R'
F' R B' F' R U' B2
D R B' U' R2 B2 R'
F' R B' F' R' U' B2
F' R B' F' R2 U' B2
F' R B' F' U' B2 D
F' R B' F' U' B2 D'
F' R B' F' U' B2 D2
F' R B' F' D' R2 U'
D R B' U' B2 R' D
D R B' U' B2 R' D'
D R B' U' B2 R' D2
D R B' U' B2 D R'
D R B' U' B2 D' R'
D R B' U' B2 D2 R'
F2 R B' D' F' R2 U'
F2 R B' F' R U' B2
F2 R B' F' R' U' B2
F2 R B' F' R2 U' B2
F2 R B' F' U' B2 D
F2 R B' F' U' B2 D'
F2 R B' F' U' B2 D2
F2 R B' F' D' R2 U'
D R B' F U' B2 R'
D R B' F' U' B2 R'
D R B' F2 U' B2 R'
F R B' D' F' R2 U'
F R B' F' R U' B2
F R B' F' R' U' B2
F R B' F' R2 U' B2
F R B' F' U' B2 D
F R B' F' U' B2 D'
F R B' F' U' B2 D2
F R B' F' D' R2 U'
B R B2 R U' B' R'
B R B2 D F' U' B'
B R B2 D' F' U' B'
B R B2 D2 F' U' B'
B R B2 F' R U' B'
B R B2 F' R' U' B'
B R B2 F' R2 U' B'
B R B2 F' U' D B'
B R B2 F' U' D' B'
B R B2 F' U' D2 B'
B R B2 F' U' B' D
B R B2 F' U' B' D'
B R B2 F' U' B' D2
B R B2 F' D U' B'
B R B2 F' D' U' B'
B R B2 F' D2 U' B'
B' R' U F' U B U
R U' F' B' U' F B2
R U' F' B' U' B2 F
B' R' U' B' D' R2 B
B' R' U2 B U' F' U2
R U' B U F' B2 U'
R U' B U B2 F' U'
B' R' D R2 F' U' B
R U' B' F' U' F B2
R U' B' F' U' B2 F
B' R' D' R2 F' U' B
B' R' D2 R2 F' U' B
B' R' F D R2 F' U'
B' R' F' U2 B U B'
D' R' B' U F' U2 R
F' R' B' U' D' R2 B
F' R' B' D' U' R2 B
F2 R' B' U' D' R2 B
F2 R' B' D' U' R2 B
D R' B' U L F' U2
D R' B' U F' L U2
F R' B' U' D' R2 B
F R' B' D' U' R2 B
B' R2 U' R' B' R' B2
B' R2 U' B' R' D B
B' R2 U' B' R' D' B
B' R2 U' B' R' D2 B
B' R2 U' B' R' B D
B' R2 U' B' R' B D'
B' R2 U' B' R' B D2
B' R2 U' B2 R' B R'
B' R2 D' R' F' R U'
B' R2 F R' F' U' B
B' R2 F U' B' R' B
B' R2 F' R' F' U' B
B' R2 F' U' B' R' B
B' R2 F2 R' F' U' B
B' R2 F2 U' B' R' B
R' D R2 F' B' U' B2
R' D R2 B' F' U' B2
U' R2 B' R' F' U' F
