B' R U' B D' R2
B' R U2 B' U B2
D2 R F2 B' U' B2
D' R B' U' R B2
D' R B' U' B2 R
D2 R B' F2 U' B2
R' D' B' U' R2 B
R D' B' U' R2 B2
R D' B' U' B2 R2
R D2 F2 B' U' B2
R D2 B' F2 U' B2
B' U2 B' L' U B'
D2 F2 R B' U' B2
D2 F2 B' R U' B
D' B' R U' B R
D2 B' R F2 U' B
R B' U2 B' U B'
D2 B' F2 R U' B
B2 L U2 L' B U' B2
B2 L U2 B L' U' B'
U2 L B2 U' F R U2
U2 L' U D' R2 B' L
U2 L' U D' B' L R2
U2 L' U D' B' R2 L
U2 L' D' U R2 B' L
U2 L' D' U B' L R2
U2 L' D' U B' R2 L
U2 L' B2 L' F U B
U2 L' B2 L2 U B L
B' L2 R F L2 U' B
D L2 U' L2 B' R' U'
B' L2 F L2 R U' B
B' L2 F R L2 U' B
U2 L2 F L B2 U B
U2 L2 F B2 L U B'
U2 L2 B2 D F L' U
U2 L2 B2 F L U B'
B' R L2 F L2 U' B
B' R U' D B D' R2
B' R U' D' B D' R2
B' R U' D2 B D' R2
D2 R U' B D L2 R2
D2 R U' B D R2 L2
D' R U' B R D L2
D' R U' B D L2 R
D' R U' B D R L2
B' R U' B R D' R2
B' R U' B R' D' R2
B' R U' B R2 D' R2
B' R U' B U' B2 U
B' R U' B D' R2 D
B' R U' B D' R2 D'
B' R U' B D' R2 D2
B R U' D L2 B R'
B R U' D B L2 R'
B R U' D B R' L2
B' R U2 D B' U B2
B' R U2 D' B' U B2
B' R U2 D2 B' U B2
B' R U2 B' L U B2
B' R U2 B' L' U B2
B' R U2 B' L2 U B2
B' R U2 B' U B2 D
B' R U2 B' U B2 D'
B' R U2 B' U B2 D2
B' R U2 B' D L2 U
B' R D U' B D' R2
B' R D U2 B' U B2
D2 R D B' U' R2 B2
D2 R D B' U' B2 R2
D' R D B' U' R B2
D' R D B' U' B2 R
B R D U' L2 B R'
B R D U' B L2 R'
B R D U' B R' L2
D R D F2 B' U' B2
D R D B' F2 U' B2
B' R D' U' B D' R2
B' R D' U2 B' U B2
D' R D' B' U' R B2
D' R D' B' U' B2 R
F' R D' B' U' R2 B2
F' R D' B' U' B2 R2
F2 R D' B' U' R2 B2
F2 R D' B' U' B2 R2
B' R D2 U' B D' R2
B' R D2 U2 B' U B2
F R D' B' U' R2 B2
F R D' B' U' B2 R2
F' R D2 F2 B' U' B2
D' R D2 B' U' R B2
D' R D2 B' U' B2 R
F' R D2 B' F2 U' B2
F2 R D2 F2 B' U' B2
F2 R D2 B' F2 U' B2
D R D2 B' U' R2 B2
D R D2 B' U' B2 R2
F R D2 F2 B' U' B2
B' R F U' B D' R2
B' R F U2 B' U B2
F R D2 B' F2 U' B2
B' R F' U' B D' R2
B' R F' U2 B' U B2
D2 R F2 U' B D L2
B' R F2 U' B D' R2
B' R F2 U2 B' U B2
D2 R F2 D B' U' B2
D2 R F2 D' B' U' B2
D2 R F2 D2 B' U' B2
D2 R F2 B' R U' B2
D2 R F2 B' R' U' B2
D2 R F2 B' R2 U' B2
D2 R F2 B' U' B2 D
D2 R F2 B' U' B2 D'
D2 R F2 B' U' B2 D2
D2 R F2 B' D' R2 U'
D2 R B' R F2 U' B2
D' R B' R' U' R2 B2
D' R B' R' U' B2 R2
D2 R B' R' F2 U' B2
D' R B' R2 U' R' B2
D2 R B' R2 F2 U' B2
D' R B' U' R B2 D
D' R B' U' R B2 D'
D' R B' U' R B2 D2
D' R B' U' R' B2 R2
D' R B' U' B' R B'
D' R B' U' B2 R D
D' R B' U' B2 R D'
D' R B' U' B2 R D2
D' R B' U' B2 D R
D' R B' U' B2 D' R
D' R B' U' B2 D2 R
D2 R B' U' B2 D R2
D' R B' D' R2 U' R'
F' R B' U2 B' U B'
D2 R B' F2 R U' B2
D R B' U L2 U2 B2
D2 R B' F2 R' U' B2
D2 R B' F2 R2 U' B2
D2 R B' F2 U' B2 D
D2 R B' F2 U' B2 D'
D2 R B' F2 U' B2 D2
F2 R B' U2 B' U B'
D2 R B' F2 D' R2 U'
D R B' U' B2 D2 R2
F R B' U2 B' U B'
R' U' D' R2 B D L2
B R B2 R F' U' B'
B R B2 R2 U' B' R'
R U' D' B R2 D L2
R U' D2 B D L2 R2
R U' D2 B D R2 L2
B' R' U F' U B' U
B' R' U' R2 B D' R2
B' R' U' B D' R2 B
B' R' U2 B' U' F' U2
D2 R' D B' U' R2 B
F' R' D' B' U' R2 B
F2 R' D' B' U' R2 B
F R' D' B' U' R2 B
D R' D2 B' U' R2 B
B' R' F' U2 B' U B
R U2 L2 F B2 U B'
R U2 L2 B2 F U B'
D2 R' F2 B' U F U2
D2 R' B' R2 F2 U' B
D' R' B' R2 U' B R'
D2 R' B' U' D R2 B
D' R' B' U' R2 B R'
D2 R' B' D U' R2 B
D2 R' B' F2 U F U2
D R' B' U L2 F' U2
D R' B' U F' L2 U2
D R' B' U' D2 R2 B
D R' B' D2 U' R2 B
B R' B2 U F' L' U2
B' R2 U' R' B D' R2
B' R2 U2 D B' L U
B' R2 D U2 B' L U
R U2 B2 U B' D L2
R U2 B2 U2 B U' B2
B R2 F' R' B2 U' B'
D2 R2 F2 R' B' U' B2
B R2 F' B2 R' U' B
D2 R2 F2 B' R' U' B
D' R2 B' R' U' B R
D2 R2 B' R' F2 U' B
D2 R2 B' F2 R' U' B
B R2 B2 D' F' R U'
B R2 B2 F' R' U' B
R' D B' U L2 F' U2
R' D B' U F' L2 U2
R' D B' U' D2 R2 B
R' D B' D2 U' R2 B
R D B' U L2 U2 B2
R D B' U' B2 D2 R2
B' U F' U B' L' U
R' D' U' R2 B D L2
R D' U' B R2 D L2
R2 D' F' R B' U' R
R D' F B' U' R2 B2
R D' F B' U' B2 R2
R2 D' F' B' R U' R
R D' F' B' U' R2 B2
R D' F' B' U' B2 R2
R' D' B' R' U' R' B
R' D' B' U F' U2 R2
R' D' B' U' R2 D B
R' D' B' U' R2 D' B
R' D' B' U' R2 D2 B
R' D' B' U' R2 B D
R' D' B' U' R2 B D'
R' D' B' U' R2 B D2
R' D' B' U' B R2 B
R' D' B' U' B' R2 B
R' D' B' U' B2 R2 B
R D' F2 B' U' R2 B2
R D' F2 B' U' B2 R2
D2 U' F2 B' R' U' F2
R2 D' B' F' R U' R
R D' B' R U' R B2
R D' B' R U' B2 R
R D' B' R' U' R' B2
R D' B' U' R B2 R
R D' B' U' R2 B2 D
R D' B' U' R2 B2 D'
R D' B' U' R2 B2 D2
R D' B' U' B' R2 B'
R D' B' U' B2 R2 D
R D' B' U' B2 R2 D'
R D' B' U' B2 R2 D2
R D' B' D' R2 F2 U'
R D' B' D' F2 R2 U'
R D' B' F U' R2 B2
R D' B' F U' B2 R2
R D' B' F' U' R2 B2
R D' B' F' U' B2 R2
R D' B' F2 U' R2 B2
R D' B' F2 U' B2 R2
D2 U' B' R' F2 U' F2
D2 U' B' F2 R' U' F2
B' U' B U' L B2 U
R' D2 R2 F2 B' U' B2
R' D2 R2 B' F2 U' B2
B' U' B' U R' U' R
B' U2 L U' F U2 R
R D2 U' B D L2 R2
R D2 U' B D R2 L2
U' D2 F2 B' R' U' F2
R' D2 F2 B' U F U2
U' D2 B' R' F2 U' F2
R' D2 B' R2 F2 U' B
R' D2 B' U' D R2 B
R D2 F2 U' B D L2
R' D2 B' D U' R2 B
R D2 F2 D B' U' B2
R D2 F2 D' B' U' B2
R D2 F2 D2 B' U' B2
U' D2 B' F2 R' U' F2
R D2 F2 B' R U' B2
R D2 F2 B' R' U' B2
R D2 F2 B' R2 U' B2
