B2 L B U' F B'
B2 L B U' B' F
B L B2 U' F B'
B L B2 U' B' F
L U' F' L' F2 B2
L U' F' L' B2 F2
L U' F' B2 L' F2
L U' B2 F' L' F2
D' R2 B' L U' F
B' U2 R' U F' B'
B' U2 R' U B' F'
D' B' L R2 U' F
D' B' R2 L U' F
R' L U' F' L' F2 B2
R' L U' F' L' B2 F2
R' L U' F' B2 L' F2
R2 L U' F' L' F2 B2
R2 L U' F' L' B2 F2
L R U' F' L' F2 B2
L R U' F' L' B2 F2
R2 L U' F' B2 L' F2
D' L R2 U' F' L' F2
L R U' F' B2 L' F2
R' L U' B2 F' L' F2
R L U' F' L' F2 B2
R L U' F' L' B2 F2
R L U' F' B2 L' F2
R2 L U' B2 F' L' F2
L R U' B2 F' L' F2
R L U' B2 F' L' F2
D2 L U F2 U2 F' L'
B' L U' F U R U'
B L U' D F L2 B
B L U' D F B L2
B L U' D B F L2
B L U' F D L2 B
B L U' F D B L2
B' L U2 R U F B
B' L U2 R U B F
B L D U' F L2 B
B L D U' F B L2
B L D U' B F L2
B2 L D B U' F B'
B2 L D B U' B' F
B2 L D' B U' F B'
B2 L D' B U' B' F
B2 L D2 B U' F B'
B2 L D2 B U' B' F
B2 L F U F' B U'
B2 L F U B F' U'
F2 L F2 U' F' L' B2
F2 L F2 U' F' B2 L'
F2 L F2 U' B2 F' L'
B2 L B R U' F B'
B2 L B R U' B' F
B2 L B R' U' F B'
B2 L B R' U' B' F
B2 L B R2 U' F B'
B2 L B R2 U' B' F
B2 L B U' D F B'
B2 L B U' D B' F
B2 L B U' D' F B'
B2 L B U' D' B' F
B2 L B U' D2 F B'
B2 L B U' D2 B' F
B2 L B U' F D B'
B2 L B U' F D' B'
B2 L B U' F D2 B'
B2 L B U' F B' D
B2 L B U' F B' D'
B2 L B U' F B' D2
B2 L B U' B' D F
B2 L B U' B' D' F
B2 L B U' B' D2 F
B2 L B U' B' F D
B2 L B U' B' F D'
B2 L B U' B' F D2
B2 L B D U' F B'
B2 L B D U' B' F
B2 L B D' U' F B'
B2 L B D' U' B' F
B2 L B D2 U' F B'
B2 L B D2 U' B' F
L R' U' F' L' F2 B2
L R' U' F' L' B2 F2
L R' U' F' B2 L' F2
B L B2 R U' F B'
B L B2 R U' B' F
L R' U' B2 F' L' F2
B L B2 R' U' F B'
B L B2 R' U' B' F
B L B2 R2 U' F B'
B L B2 R2 U' B' F
B L B2 U' D F B'
B L B2 U' D B' F
B L B2 U' D' F B'
B L B2 U' D' B' F
B L B2 U' D2 F B'
B L B2 U' D2 B' F
B L B2 U' F D B'
B L B2 U' F D' B'
B L B2 U' F D2 B'
B L B2 U' F B' D
B L B2 U' F B' D'
B L B2 U' F B' D2
B L B2 U' B' D F
B L B2 U' B' D' F
B L B2 U' B' D2 F
B L B2 U' B' F D
B L B2 U' B' F D'
B L B2 U' B' F D2
B L B2 D U' F B'
B L B2 D U' B' F
B L B2 D' U' F B'
B L B2 D' U' B' F
B L B2 D2 U' F B'
B L B2 D2 U' B' F
B L' U' D L2 F B
B L' U' D L2 B F
B L' D U' L2 F B
B L' D U' L2 B F
L R2 U' F' L' F2 B2
L R2 U' F' L' B2 F2
L R2 U' F' B2 L' F2
L R2 U' B2 F' L' F2
B2 L' B U B2 U2 B
B2 L' B U' D2 F2 B'
B2 L' B U' D2 B' F2
B2 L' B D2 U' F2 B'
B2 L' B D2 U' B' F2
B L' B2 R2 U' F' B'
B L' B2 R2 U' B' F'
B L' B2 U B U2 B2
B L' B2 U' B' D2 F2
U2 L2 R' F U F2 B2
U2 L2 R' F U B2 F2
U' L2 F R U R' B2
U2 L2 F R' U F' B2
U2 L2 F R' U B2 F'
L U D2 F2 U2 F' L'
L U F2 U2 F' L' B2
L U F2 U2 F' B2 L'
L U F2 U2 B2 F' L'
B' R U2 R' U F' B'
B' R U2 R' U B' F'
L U B U2 F L B
L' U B' U2 D' B' L
L' U B' D' U2 B' L
L U B' R' U2 F B'
L U B' R' U2 B' F
L U' L F' L' F B2
L U' L F' L' B2 F
L U' L F' B2 L' F
L U' L B2 F' L' F
D' R B' L R U' F
D' R B' R L U' F
L U' R2 F R2 B2 L
L U' F R2 B2 L R2
L U' F R2 B2 R2 L
L U' F U2 R U2 B2
U2 R' L2 F U F2 B2
U2 R' L2 F U B2 F2
L U' F B2 U2 R U2
L U' F' L F2 L2 B2
L U' F' L F2 B2 L2
L U' F' L B2 L2 F2
L U' F' L B2 F2 L2
L U' F' L' F2 B2 D
L U' F' L' F2 B2 D'
L U' F' L' F2 B2 D2
L U' F' L' B2 F2 D
L U' F' L' B2 F2 D'
L U' F' L' B2 F2 D2
L U' F' L2 F2 L B2
L U' F' B L' F2 B
L U' F' B L' B F2
L U' F' B2 L F2 L2
L U' F' B2 L' F2 D
L U' F' B2 L' F2 D'
L U' F' B2 L' F2 D2
L U' F' B2 L2 F2 L
B' R' U2 R' U F' B'
B' R' U2 R' U B' F'
L U' B F' L' F2 B
L U' B F' L' B F2
U2 R' U2 B' U' F' B'
U2 R' U2 B' U' B' F'
U2 R' D L2 F U F2
L U' B2 L F' L' F
L U' B2 D F' L' F2
L U' B2 D' F' L' F2
L U' B2 D2 F' L' F2
L U' B2 F U2 R U2
L U' B2 F' L F2 L2
L U' B2 F' L' F2 D
L U' B2 F' L' F2 D'
L U' B2 F' L' F2 D2
L U' B2 F' L2 F2 L
L U2 R' F' U F2 B2
L U2 R' F' U B2 F2
L' U2 D L2 U F L'
D' R2 L U' F' L' F2
L2 U2 F L' U F B2
L2 U2 F L' U B2 F
L U2 F2 U F' L' B2
L U2 F2 U F' B2 L'
L U2 F2 U B2 F' L'
B' R2 U2 R' U F' B'
B' R2 U2 R' U B' F'
D' R2 D B' L U' F
D' R2 D' B' L U' F
D' R2 D2 B' L U' F
D' R2 B L B2 U' F
D' R2 B' L U' D F
D' R2 B' L U' D' F
D' R2 B' L U' D2 F
D' R2 B' L U' F D
D' R2 B' L U' F D'
D' R2 B' L U' F D2
D' R2 B' L D U' F
D' R2 B' L D' U' F
D' R2 B' L D2 U' F
D' R2 B' L' U B' U2
D' R2 B' U2 R' U F'
D' R2 B' D L U' F
D' R2 B' D' L U' F
D' R2 B' D2 L U' F
D' R2 B2 L B U' F
L' D U2 L2 U F L'
U2 D L2 R' F U F2
U' D L2 F R U R'
U2 D L2 F R' U F'
U2 D R' L2 F U F2
L2 D' L2 R2 B' L U'
L2 D' L2 B' L R2 U'
L2 D' L2 B' R2 L U'
B2 U B L U L' U2
B2 U B L F2 U' R
B' U B U' L U' B2
L' D' R2 U B' U2 L
R' D' R2 B' L U' F
L2 D' R2 L2 B' L U'
R2 D' R2 B' L U' F
L D' R2 U' F' L' F2
R D' R2 B' L U' F
D U' L2 F R U R'
R' D' B' L R2 U' F
R' D' B' R2 L U' F
R2 D' B' L R2 U' F
R2 D' B' R2 L U' F
R D' B' L R2 U' F
R D' B' R2 L U' F
B' U' F U' R U B'
B' U' F B' U' R U
B' U' F' B' U L' U'
D U2 L2 R' F U F2
B' U' B' U L U' F
B' U' B' U' R' U F'
D U2 L2 F R' U F'
B' U' B' F U' R U
B' U' B' F' U L' U'
D U2 R' L2 F U F2
L D2 U F2 U2 F' L'
B' U2 R U B' D2 F2
B' U2 R U' B U2 B2
B' U2 R' U D F' B'
B' U2 R' U D B' F'
B' U2 R' U D' F' B'
B' U2 R' U D' B' F'
B' U2 R' U D2 F' B'
B' U2 R' U D2 B' F'
B' U2 R' U F' D B'
B' U2 R' U F' D' B'
B' U2 R' U F' D2 B'
B' U2 R' U F' B' D
B' U2 R' U F' B' D'
B' U2 R' U F' B' D2
B' U2 R' U B' D F'
B' U2 R' U B' D' F'
B' U2 R' U B' D2 F'
B' U2 R' U B' F' D
B' U2 R' U B' F' D'
B' U2 R' U B' F' D2
B' U2 R' D U F' B'
B' U2 R' D U B' F'
B' U2 R' D' U F' B'
B' U2 R' D' U B' F'
B' U2 R' D2 U F' B'
B' U2 R' D2 U B' F'
B' U2 D R' U F' B'
B' U2 D R' U B' F'
B' U2 D' R' U F' B'
B' U2 D' R' U B' F'
B' U2 D2 R' U F' B'
B' U2 D2 R' U B' F'
B2 D L B U' F B'
B2 D L B U' B' F
B D L U' F L B
B' D U2 R' U F' B'
B' D U2 R' U B' F'
B2 D' L B U' F B'
B2 D' L B U' B' F
