B' L U' F B2 R'
B' L U' B2 R' F
B' L U' B2 F R'
B' L R U' F B2 R'
B' L R U' B2 R' F
B' L R U' B2 F R'
B' L R' U' F B2 R'
B' L R' U' B2 R' F
B' L R' U' B2 F R'
B' L R2 U' F B2 R'
B' L R2 U' B2 R' F
B' L R2 U' B2 F R'
D2 L U F B L R2
D2 L U F B R2 L
D2 L U B R2 F L
D2 L U B F L R2
D2 L U B F R2 L
B L U B2 U' R' F
B L U B2 U' F R'
B' L U' R F B2 R'
B' L U' R B2 R' F
B' L U' R B2 F R'
B' L U' R' F B2 R'
B' L U' R' B2 R' F
B' L U' R' B2 F R'
B' L U' R2 F B2 R'
B' L U' R2 B2 R' F
B' L U' R2 B2 F R'
B' L U' F R B2 R'
B' L U' F R' B2 R'
B' L U' F R2 B2 R'
B' L U' F B2 R' D
B' L U' F B2 R' D'
B' L U' F B2 R' D2
B' L U' F B2 D R'
B' L U' F B2 D' R'
B' L U' F B2 D2 R'
B' L U' F' B2 R' F2
B' L U' B2 R F R2
B' L U' B2 R' D F
B' L U' B2 R' D' F
B' L U' B2 R' D2 F
B' L U' B2 R' F D
B' L U' B2 R' F D'
B' L U' B2 R' F D2
B' L U' B2 D R' F
B' L U' B2 D F R'
B' L U' B2 D' R' F
B' L U' B2 D' F R'
B' L U' B2 D2 R' F
B' L U' B2 D2 F R'
B' L U' B2 F R' D
B' L U' B2 F R' D'
B' L U' B2 F R' D2
B' L U' B2 F D R'
B' L U' B2 F D' R'
B' L U' B2 F D2 R'
B' L U' B2 F' R' F2
B L D F' L2 F2 R
B L F U B2 U' R'
B' L F B2 R' D L2
B' L F B2 D L2 R'
B' L F B2 D R' L2
B' L F' U' F2 B2 R'
B' L F' U' B2 R' F2
B' L F' U' B2 F2 R'
B' L F2 U' F' B2 R'
D L F2 U' F' L' B
D L F2 U' F' B L'
B' L F2 U' B2 F' R'
D L F2 U' B F' L'
B' L B2 R' D F L2
B' L B2 R' F D L2
B' L B2 D R' F L2
B' L B2 D F L2 R'
B' L B2 D F R' L2
B L B2 U' R' F B2
B L B2 U' R' B2 F
B L B2 U' F R' B2
B' L B2 F R' D L2
B' L B2 F D L2 R'
B' L B2 F D R' L2
B L' D F L2 F R
B L' D F2 L2 R F
B L' D F2 R L2 F
B L' F D L2 F R
B L' F2 R D L2 F
B L' F2 D L2 R F
B L' F2 D R L2 F
L2 U L' U F B L
L2 U L' U B F L
B' R L U' F B2 R'
B' R L U' B2 R' F
B' R L U' B2 F R'
L2 U F L' U F B
L2 U F L' U B F
L U F B2 R' B' L
L U B2 R' F B' L
L U B2 R' B' F L
L U B2 F R' B' L
B' R' L U' F B2 R'
B' R' L U' B2 R' F
B' R' L U' B2 F R'
B' R2 L U' F B2 R'
B' R2 L U' B2 R' F
B' R2 L U' B2 F R'
B2 U B L U' B2 R'
L' D' B' L' U2 L2 B2
L' D' B' L' U2 B2 L2
B D L D R2 F L
B D L D F L R2
B D L D F R2 L
B D2 L R2 D' F L2
B D2 L' R2 D' L2 F
B D2 R2 L D' F L2
B D2 R2 L' D' L2 F
D F2 B' L U' F B2
D F2 B' L U' B2 F
B D2 R2 D' L F L
D2 B L R2 D F L2
D2 B L R2 F D L2
D2 B L F R2 D L2
D2 B L' R2 D L2 F
D B L D R2 F L2
D B L D F L2 R2
D B L D F R2 L2
D B L' D L2 R2 F
D B L' D L2 F R2
D B L' D R2 L2 F
U B L B2 U' R' B2
U B L' D F2 L2 R
U B L' D F2 R L2
D2 B R2 L D F L2
D2 B R2 L F D L2
D2 B R2 L' D L2 F
D2 B R2 D L F L
B' F L U' F B2 R'
B' F L U' B2 R' F
B' F L U' B2 F R'
U B U L B2 U' R'
D B D L R2 F L
D B D L F L R2
D B D L F R2 L
D B D R2 L F L
U' B' L U' B2 R' F'
D2 B' L U' R2 F B2
D2 B' L U' R2 B2 F
D2 B' L U' F R2 B2
D2 B' L U' F B2 R2
D2 B' L U' B2 R2 F
D2 B' L U' B2 F R2
D' B' L U' F R B2
D' B' L U' F B2 R
D' B' L U' B2 F R
D2 B' L' U' B2 R2 F'
L' B' L' U F U B2
D B' L F2 U' F' B2
D B' L F2 U' B2 F'
B' F' L U' F B2 R'
B' F' L U' B2 R' F
B' F' L U' B2 F R'
F' B' L U' F B2 R'
F' B' L U' B2 R' F
F' B' L U' B2 F R'
F2 B' L U' F B2 R'
F2 B' L U' B2 R' F
F2 B' L U' B2 F R'
F B' L U' F B2 R'
F B' L U' B2 R' F
F B' L U' B2 F R'
D B' F2 L U' F B2
D B' F2 L U' B2 F
B' F2 L U' F B2 R'
B' F2 L U' B2 R' F
B' F2 L U' B2 F R'
