B' L U' R2 F B'
B' L U' R2 B' F
B' L U' F R2 B'
B' L U' F B' R2
B' L U' B' R2 F
B' L U' B' F R2
B' L R U' R F B'
B' L R U' R B' F
B' L R U' B' R F
B' L R' U' R' F B'
B' L R' U' R' B' F
B' L R' U' F R' B'
B L R2 D F B' L2
B L R2 D B' F L2
B2 L R2 F D' B' L2
B2 L R2 F B' D' L2
B L R2 F D B' L2
B2 L R2 B' F D' L2
B' L U' R B' R F
B' L U' R' F R' B'
B' L U' R2 D F B'
B' L U' R2 D B' F
B' L U' R2 D' F B'
B' L U' R2 D' B' F
B' L U' R2 D2 F B'
B' L U' R2 D2 B' F
B' L U' R2 F D B'
B' L U' R2 F D' B'
B' L U' R2 F D2 B'
B' L U' R2 F B' D
B' L U' R2 F B' D'
B' L U' R2 F B' D2
B' L U' R2 B' D F
B' L U' R2 B' D' F
B' L U' R2 B' D2 F
B' L U' R2 B' F D
B' L U' R2 B' F D'
B' L U' R2 B' F D2
B' L U' F R B' R
B' L U' F R2 D B'
B' L U' F R2 D' B'
B' L U' F R2 D2 B'
B' L U' F R2 B' D
B' L U' F R2 B' D'
B' L U' F R2 B' D2
B' L U' F B R2 B2
B' L U' F B' R2 D
B' L U' F B' R2 D'
B' L U' F B' R2 D2
B' L U' F' R2 F2 B'
B' L U' F' R2 B' F2
B' L U' F' B' R2 F2
B' L U' B R2 F B2
B' L U' B R2 B2 F
B' L U' B F R2 B2
B' L U' B' R' F R'
B' L U' B' R2 D F
B' L U' B' R2 D' F
B' L U' B' R2 D2 F
B' L U' B' R2 F D
B' L U' B' R2 F D'
B' L U' B' R2 F D2
B' L U' B' F R2 D
B' L U' B' F R2 D'
B' L U' B' F R2 D2
B' L U' B' F' R2 F2
B' L D' F2 U' F' B'
B' L D' F2 U' B' F'
B L F R2 D B' L2
B2 L F B' R2 D L2
B' L F' U' R2 F2 B'
B' L F' U' R2 B' F2
B' L F' U' F2 R2 B'
B' L F' U' F2 B' R2
B' L F' U' B' R2 F2
B' L F' U' B' F2 R2
B' L F2 U' F' R2 B'
B' L F2 U' F' B' R2
B' L F2 U' B' F' R2
B2 L B U' R2 F B2
B2 L B U' R2 B2 F
B2 L B U' F R2 B2
B2 L B U' F B2 R2
B2 L B U' B2 R2 F
B2 L B U' B2 F R2
B' L B' R2 F D' L2
B2 L B' R2 D F L2
B2 L B' R2 F D L2
B2 L B' F R2 D L2
B L B2 U' F B R2
B L B2 U' B R2 F
B L B2 U' B F R2
R2 L' D L2 F B' L'
R2 L' D L2 B' F L'
R2 L' D' L2 F B' L
R2 L' D' L2 B' F L
B L' R2 D L2 F B'
B L' R2 D L2 B' F
B' L' U F B' U2 R2
B' L' U B' F U2 R2
L' R2 D L2 F B' L'
L' R2 D L2 B' F L'
L' R2 D' L2 F B' L
L' R2 D' L2 B' F L
D L2 F L' B2 U F
D L2 F B2 L' U F
L U R2 F B L B2
L U R2 B F L B2
B' R L U' R F B'
B' R L U' R B' F
B' R L U' B' R F
D L2 B2 F L' U F
L U F R2 B L B2
L U F B L R2 B2
L U F B L B2 R2
L U F B R2 L B2
L U F' B' R2 F2 L'
R2 U B L B2 U' B
L U B R2 F L B2
L U B F L R2 B2
L U B F L B2 R2
L U B F R2 L B2
L U B' R2 F2 L' F'
L U B' F' R2 F2 L'
L U' R2 F' B' L' F2
L U' R2 B' F' L' F2
B' R' L U' R' F B'
B' R' L U' R' B' F
B' R' L U' F R' B'
L U' F R2 B2 L B
L U' F B R2 B2 L
L U' F' R2 B' L' F2
L U' F' B' L' R2 F2
L U' F' B' L' F2 R2
L U' F' B' R2 L' F2
L U' B F R2 B2 L
L U' B' R2 F' L' F2
L U' B' F' L' R2 F2
L U' B' F' L' F2 R2
L U' B' F' R2 L' F2
L U2 R2 D F B' L
L U2 R2 D B' F L
L U2 R2 D' F B' L'
L U2 R2 D' B' F L'
L U2 R2 F D B' L
L U2 R2 B' D' F L'
B2 R2 L F D' B' L2
B2 R2 L F B' D' L2
B R2 L D F B' L2
B R2 L D B' F L2
B2 R2 L B' F D' L2
B R2 L F D B' L2
B R2 L' D L2 F B'
B R2 L' D L2 B' F
L U2 F R2 D B' L
L U2 B' R2 D' F L'
L D B2 U F B L
L D B2 U B F L
B2 U B L U' R2 B'
B2 U B L U' B' R2
L D' F2 U' F' B' L'
L D' F2 U' B' F' L'
L2 F L' U R2 F B'
L2 F L' U R2 B' F
L2 F L' U F R2 B'
L2 F L' U F B' R2
L2 F L' U B' R2 F
L2 F L' U B' F R2
L F' U B' R2 F2 L'
L F2 U' F' R2 B' L'
L F2 U' F' B' L' R2
L F2 U' F' B' R2 L'
L F2 U' B' F' L' R2
L F2 U' B' F' R2 L'
R2 B L D F B' L2
R2 B L D B' F L2
R2 B L F D B' L2
R2 B L' D L2 F B'
R2 B L' D L2 B' F
U B L B2 U' B R2
B' F L U' R2 F B'
B' F L U' R2 B' F
B' F L U' F R2 B'
B' F L U' F B' R2
B' F L U' B' R2 F
B' F L U' B' F R2
L B U' F R2 B2 L
R B' L U' R F B'
R B' L U' R B' F
R B' L U' B' R F
B' F' L U' R2 F B'
B' F' L U' R2 B' F
B' F' L U' F R2 B'
B' F' L U' F B' R2
B' F' L U' B' R2 F
B' F' L U' B' F R2
F' B' L U' R2 F B'
F' B' L U' R2 B' F
F' B' L U' F R2 B'
F' B' L U' F B' R2
F' B' L U' B' R2 F
F' B' L U' B' F R2
F2 B' L U' R2 F B'
F2 B' L U' R2 B' F
F2 B' L U' F R2 B'
F2 B' L U' F B' R2
F2 B' L U' B' R2 F
F2 B' L U' B' F R2
F B' L U' R2 F B'
F B' L U' R2 B' F
F B' L U' F R2 B'
F B' L U' F B' R2
F B' L U' B' R2 F
F B' L U' B' F R2
R2 B2 L F B' D L2
R2 B2 L B' D F L2
R2 B2 L B' F D L2
B' F2 L U' R2 F B'
B' F2 L U' R2 B' F
B' F2 L U' F R2 B'
B' F2 L U' F B' R2
B' F2 L U' B' R2 F
B' F2 L U' B' F R2
R2 B2 U B L U' B'
L B2 U F B L R2
L B2 U F B R2 L
L B2 U B R2 F L
L B2 U B F L R2
L B2 U B F R2 L
