U' R2 B L B2 U'
U' R2 B' U2 R' U
D2 U L2 F R U
B2 U' B L R2 U'
B2 U' B R2 L U'
U D2 L2 F R U
U D2 L2 F R U
U' B L R2 B2 U'
U' B L B2 R2 U'
U' B R2 L B2 U'
R B U' R B2 U'
R B U' B2 R U'
U' B' R2 U2 R U
U B' R2 F' L' U'
B' L R2 U' F2 R F'
B' L R2 F2 U' R F'
B L D L2 B2 R' F'
R2 L F2 U' R F' L'
U' L' R2 B L B' U'
U2 L' D L2 F L' B2
U2 L' D L2 F B2 L'
U2 L' D L2 B2 F L'
B L' D B2 L2 R' F'
B L' D B2 R' L2 F'
B L' D B2 R' F' L2
U' L' B L R2 B' U'
U' L' B L B' R2 U'
U' L' B R2 L B' U'
B L' B2 R2 U' R F'
U' L2 R2 U2 F R U
L R2 F2 U' R F' L'
U L2 D F R U B2
U L2 D2 F L2 R U
U L2 D2 F R L2 U
U L2 F R U2 R U'
U L2 F D R U B2
U L2 F D2 L2 R U
U L2 F D2 R L2 U
R U' R D B' L U'
R' U' R' D B' L U'
D' R F2 B U' B2 U'
D' R F2 B U2 D L2
D' R F2 B D U2 L2
D' R F2 B D' R2 U2
R2 U' R B' U' F' B
R2 U' R B' U' B F'
U' R B L R B2 U'
U' R B L B2 R U'
U' R B R L B2 U'
B' R B U' R B' U'
B' R B U' B' R U'
F' R B U' R B2 U'
D2 R B D F2 U2 L2
F' R B U' B2 R U'
D2 R B D' R2 U2 B2
F2 R B U' R B2 U'
F2 R B U' B2 R U'
D' R B F2 U' B2 U'
D' R B F2 U2 D L2
D' R B F2 D U2 L2
D' R B F2 D' R2 U2
D R B U' B2 U' B'
D R B U2 D L2 B
D R B U2 D B L2
B R B U' B R U'
D R B D U2 L2 B
D R B D U2 B L2
D R B D' R2 F' U2
F R B U' R B2 U'
U' R B' R U' D' F2
U' R B' R U2 R2 U
U' R B' R D' U' F2
U' R B' R D2 L2 U'
F R B U' B2 R U'
R2 U' D B' L U' B
D2 R' U L2 F U F2
D R' U' B' U' F' B'
D R' U' B' U' B' F'
R U' B' R U B2 U2
R U' B' R U' D2 F2
R U' B' R D L2 U'
R U' B' R D2 U' F2
R U' B' D L2 R U'
R U' B' D R L2 U'
R U' B' D2 R U' F2
D' R' F2 U' B' U' F
R' U2 R' B' U' R F'
B' R2 L U' F2 R F'
B' R2 L F2 U' R F'
U' R2 L' B L B' U'
U' R2 L2 U2 F R U
R' U2 F' U R' B' U'
B' R2 U2 R U F' R'
U' R2 D B L B2 U'
U' R2 D B' U2 R' U
U' R2 D' B L B2 U'
U' R2 D' B' U2 R' U
U' R2 D2 B L B2 U'
U' R2 D2 B' U2 R' U
U' R2 B L U' D L2
U' R2 B L D U' L2
U' R2 B L B2 U' D
U' R2 B L B2 U' D'
U' R2 B L B2 U' D2
U' R2 B L B2 D U'
U' R2 B L B2 D' U'
