B U' B2 U' B' R'
B D B L2 F R
B D' R2 F' L' U2
B2 L U B L F U'
B L U' B2 U' B' R'
B L D B L2 F R
L2 R F U R F' B2
L2 R F U R B2 F'
L2 R F U B2 R F'
B L D' R2 F' L' U2
B L' U' B2 U' B' R'
B L' D B L2 F R
B L' D' R2 F' L' U2
B2 L2 R D' F L' R
B2 L2 R D' F R L'
D L2 R F U R F'
L2 R2 F U R F2 B2
L2 R2 F U R B2 F2
L2 R2 F U B2 R F2
R2 L2 F U R F2 B2
R2 L2 F U R B2 F2
R2 L2 F U B2 R F2
R L2 F U R F' B2
R L2 F U R B2 F'
R L2 F U B2 R F'
B2 L2 R2 F R D' L2
B2 L2 R2 F D' L2 R
B2 L2 R2 F D' R L2
D L2 R2 F U R F2
B2 L2 U B U' F R
B L2 U' B2 U' B' R'
B L2 D B L2 F R
B L2 D' R2 F' L' U2
B2 L2 F U B U' R
D L2 F R2 U F' R'
D L2 F U R2 F' R'
D L2 F U' B U2 R
B2 R L2 D' F L' R
B2 R L2 D' F R L'
D R L2 F U R F'
B2 R D' L2 F L' R
B2 R D' L2 F R L'
R2 U' B' U' F' B' R'
R2 U' B' U' B' F' R'
B2 R2 L2 F R D' L2
B2 R2 L2 F D' L2 R
B2 R2 L2 F D' R L2
D R2 L2 F U R F2
R2 U2 B' U' F' R' B'
B R2 D F' L' U2 L'
B R2 D' F' L' R2 U2
B R2 D' F' R2 L' U2
B2 R2 F R D' L2 F
D' R2 F B' U' R F2
B2 R2 F D' L2 R F
B2 R2 F D' R L2 F
R2 D L2 F U R F2
B R2 F' L' U' B2 U'
B R2 F' L' U2 D L2
B R2 F' L' D U2 L2
B R2 F' L' D' R2 U2
B R2 F' D L' U2 L'
B R2 F' D' L' R2 U2
B R2 F' D' R2 L' U2
D' R2 B' F U' R F2
F2 R2 B' U' F' R B'
F2 R2 B' U' F' B' R
F2 R2 B' U' B' F' R
U2 R2 B' U' F' R' B'
U2 D' R2 B' U' F' R'
B U' F B2 U' B' R'
B U' F' B2 U' B' R'
B U' F2 B2 U' B' R'
B U' B2 R' F' U' B'
D' U2 R2 B' U' F' R'
B U' B2 U' R B' R'
B U' B2 U' R' B' R'
B U' B2 U' R2 B' R'
B U' B2 U' D B' R'
B U' B2 U' D' B' R'
B U' B2 U' D2 B' R'
B U' B2 U' B' R' D
B U' B2 U' B' R' D'
B U' B2 U' B' R' D2
B U' B2 U' B' D R'
B U' B2 U' B' D' R'
B U' B2 U' B' D2 R'
B U' B2 D U' B' R'
B U' B2 D' U' B' R'
B U' B2 D2 U' B' R'
B U' B2 F U' B' R'
B U' B2 F' U' B' R'
B U' B2 F2 U' B' R'
B U2 D L2 B' R' B2
B U2 D B' L2 R' B2
B U2 D B' R' L2 B2
B U2 D B' R' B2 L2
B U2 D' B' R' B2 L
L2 F R2 U F' R' B2
B2 U2 B' U2 R' D L2
B2 U2 B' U2 D L2 R'
B2 U2 B' U2 D R' L2
B2 U2 B' D U2 L2 R'
B2 U2 B' D U2 R' L2
B2 U2 B' D' R2 U2 R
L2 F U R2 F' R' B2
L2 F U' B U2 B R
R2 F B' U' R F2 B'
R2 F B' U' R B' F2
B D R2 F' L' U2 L'
R2 F B' U' B' R F2
R F B' U' R F' B'
R F B' U' R B' F'
R F B' U' B' R F'
B D U2 L2 B' R' B2
B D U2 B' L2 R' B2
B D U2 B' R' L2 B2
B D U2 B' R' B2 L2
B D F U2 L2 B R
B D F U2 B L2 R
B D F U2 B R L2
B D F B L2 R F
B D F B R L2 F
B D F' L' U2 L' B
B D F' L' U2 B L'
B D B L2 R F R
B D B L2 R' F R
B D B L2 R2 F R
B D B L2 D F R
B D B L2 D' F R
B D B L2 D2 F R
B D B L2 F R D
B D B L2 F R D'
B D B L2 F R D2
B D B L2 F D R
B D B L2 F D' R
B D B L2 F D2 R
B D B R L2 F R
B D B R' L2 F R
B D B R2 L2 F R
B D B F L2 R F
B D B F R L2 F
B D' L R2 F' L' U2
B D' L' R2 F' L' U2
B D' L2 R2 F' L' U2
B D' R2 L F' L' U2
B D' R2 L' F' L' U2
B D' R2 L2 F' L' U2
B D' R2 D F' L' U2
B D' R2 D' F' L' U2
B D' R2 D2 F' L' U2
B D' R2 F' L' U2 D
B D' R2 F' L' U2 D'
B D' R2 F' L' U2 D2
B D' R2 F' L' D U2
B D' R2 F' L' D' U2
B D' R2 F' L' D2 U2
B D' R2 F' D L' U2
B D' R2 F' D' L' U2
B D' R2 F' D2 L' U2
B D' U2 B' R' B2 L
B D' F R2 F' U2 R'
B D' F' L' R2 F' U2
B D' F' R2 L' F' U2
B D' F2 R2 F' U2 R
D' F2 R2 B' U' F' R
B D' B D2 L2 F R
U2 B L U' B2 U' B'
U2 B L U2 D L2 B
U2 B L U2 D B L2
U2 B L D U2 L2 B
U2 B L D U2 B L2
U2 B L D' R2 F' U2
B' D2 F U' R F B'
B' D2 F U' R B' F
B' D2 F U' B' R F
B D2 B D' L2 F R
U2 B U' B2 U' R' B'
F' B L' U' B2 U' B'
F' B L' U2 D L2 B
F' B L' U2 D B L2
F' B L' D U2 L2 B
F' B L' D U2 B L2
F' B L' D' R2 F' U2
U2 B D L U2 L B
B2 F L2 R D' F L'
U2 B D' L R2 F' U2
B2 F R L2 D' F L'
U2 B D' R2 L F' U2
U2 B D' R2 F' L U2
B2 F R D' L2 F L'
B' F U B2 U2 B R
B' F U' R D2 F2 B'
B' F U' R D2 B' F2
B' F U' D2 R F2 B'
B' F U' D2 R B' F2
B' F U' D2 B' R F2
F' B D L' U2 L' B
F' B D L' U2 B L'
B F U' B2 U' R B'
B F U' B2 U' B' R
B F U2 D L2 B R
B F U2 D B L2 R
B F U2 D B R L2
F B U' B2 U' R B'
F B U' B2 U' B' R
F' B D' L' R2 F' U2
F B U2 D L2 B R
F B U2 D B L2 R
F B U2 D B R L2
F' B D' R2 L' F' U2
B F D U2 L2 B R
B F D U2 B L2 R
B F D U2 B R L2
B F D B L2 R F
B F D B R L2 F
B' F D2 U' R F2 B'
B' F D2 U' R B' F2
B' F D2 U' B' R F2
F B D U2 L2 B R
F B D U2 B L2 R
F B D U2 B R L2
F B D B L2 R F
F B D B R L2 F
B F D' R2 F' U2 R'
F B D' R2 F' U2 R'
U' B' U' D2 F2 B' R'
U' B' U' D2 B' R' F2
U' B' U' D2 B' F2 R'
B F' L' U' B2 U' B'
B F' L' U2 D L2 B
B F' L' U2 D B L2
U2 B' U B2 L U2 B
B F' L' D U2 L2 B
B F' L' D U2 B L2
B F' L' D' R2 F' U2
