B' U2 L B U F2
U2 B R' B2 U' F2
U2 B' U2 L U F2
D L R2 U B L B2
B' L B U2 B' U' F2
B' L' U2 L2 B U F2
B' L' U2 B L2 U F2
B' L' B L2 F U F
B L2 R' F B2 U' F
B L2 R' B2 F U' F
D L2 R2 F L' U B'
B' L2 U2 L' B U F2
B' L2 U2 B L' U F2
F' L2 D2 F L' U F2
F2 L2 D2 F L' U F'
D2 L2 F L' U D2 F2
D2 L2 F L' U' B2 U2
D2 L2 F L' D' R2 U
D2 L2 F L' D2 U F2
D L2 F L' R2 U B'
D2 L2 F D' L' R2 U
D2 L2 F D' R2 L' U
D2 L2 F D2 L' U F2
D L2 F R2 L' U B'
B L2 F R' B2 U' F
L U F2 D B L B'
U2 R B R' B2 U' F2
U2 R B' U2 L U F2
B R B2 R2 F' U' F'
B R' L2 F B2 U' F
B R' L2 B2 F U' F
D' R' U B D L2 F2
D' R' U B D F2 L2
D' R' U2 B' L2 U' B2
L U2 R B R' U' F2
U2 R' B R' B2 U' F2
U2 R' B' U2 L U F2
B R' B2 U2 B U F2
D R2 L U B L B2
D R2 L2 F L' U B'
R' U2 B R' B2 U' F2
R2 U2 B R' B2 U' F2
R' U2 B' U2 L U F2
R U2 B R' B2 U' F2
R2 U2 B' U2 L U F2
D R2 D L2 F L' U
R U2 B' U2 L U F2
L D L R2 F U B'
L D L F R2 U B'
B' R2 F' U2 L U F'
U2 R2 B R' B2 U' F2
L2 D R2 D F L' U
L2 D R2 F L U B'
L D R2 L F U B'
L D R2 U B L B'
U2 R2 B' U2 L U F2
L2 D F L R2 U B'
L2 D F R2 L U B'
F2 U B R' B2 U' R
B' U' L B U L' F2
U2 D' R' B' L2 U' B2
U2 D' B' L2 R' U' B
U2 D' B' R' L2 U' B
B' U' F2 U' L B U
D' U2 R' B' L2 U' B2
B' U2 L D B R2 U
B' U2 L B R U F2
B' U2 L B R' U F2
B' U2 L B R2 U F2
B' U2 L B U F2 D
B' U2 L B U F2 D'
B' U2 L B U F2 D2
B' U2 L B D R2 U
L2 D2 F L' U D2 F2
L2 D2 F L' U' B2 U2
L2 D2 F L' D' R2 U
L2 D2 F L' D2 U F2
B' U2 L' B L2 U F2
L2 D2 F D' L' R2 U
L2 D2 F D' R2 L' U
L2 D2 F D2 L' U F2
B' U2 L2 B L' U F2
D' U2 B' L2 R' U' B
D' U2 B' R' L2 U' B
B' U2 D L B R2 U
F' U2 B' U2 L U F'
F U2 B R' B2 U' F
L2 F D' R' U F B
L2 F D' R' U B F
B' D U2 L B R2 U
B' D' L2 U2 L' B U
B' D' L2 U2 B L' U
U F2 U B R' B2 U'
U F2 U B' U2 L U
F' D2 L2 F L' U F2
F2 D2 L2 F L' U F'
U F2 B U R' B2 U'
U F2 B' U' L U L'
U2 B L R' B2 U' F2
U2 B L' R' B2 U' F2
U2 B L2 R' B2 U' F2
U2 B R B2 R2 U' F2
U2 B R' L B2 U' F2
U2 B R' L' B2 U' F2
U2 B R' L2 B2 U' F2
U2 B R' U' F2 D L2
U2 B R' B2 L U' F2
U2 B R' B2 L' U' F2
U2 B R' B2 L2 U' F2
U2 B R' B2 U' F2 D
U2 B R' B2 U' F2 D'
U2 B R' B2 U' F2 D2
U2 B R' B2 D' L2 U'
U2 B R2 B2 R U' F2
U' B U' R' B2 U' F2
U B R' B2 U' R F2
U B U R' B2 U' F2
U2 B' L U' F2 D2 B2
U B F2 U R' B2 U'
U2 B' L' U' F2 D' B2
U2 B' L' U2 L2 U F2
U2 B' L' D' L2 U' B2
L B' L F B U F
L B' L B F U F
U2 B' L2 U2 L' U F2
U2 B' R U2 L U F2
U2 B' R' U2 L U F2
U2 B' R2 U2 L U F2
R' B' U2 L B U F2
U2 B' U' F2 U' L U
U2 B' U2 L R U F2
U2 B' U2 L R' U F2
U2 B' U2 L R2 U F2
U2 B' U2 L U F2 D
U2 B' U2 L U F2 D'
U2 B' U2 L U F2 D2
U2 B' U2 L D R2 U
U2 B' U2 R L U F2
U2 B' U2 R' L U F2
U2 B' U2 R2 L U F2
U B' U' L U L' F2
U2 B' U2 D L R2 U
U2 B' U2 D R2 L U
R2 B' U2 L B U F2
U B' U2 L U F2 R
U2 B' D U2 L R2 U
U2 B' D U2 R2 L U
R B' U2 L B U F2
U2 B' D' L2 U2 L' U
F2 B' U' L B U L'
B' F' U2 L B U F'
F' B' U2 L B U F'
U B' F2 U' L U L'
B' F2 U' L B U L'
