B' R2 U' R F2
R2 B' U' R' F2
R2 B' U' F2 R'
B' L R2 U' R F2
B' L' R2 U' R F2
B' L2 R2 U' R F2
B' L2 R2 U' R F2
B' R2 L U' R F2
B' R2 L' U' R F2
B' R2 L2 U' R F2
B' R2 U' R F2 D
B' R2 U' R F2 D'
B' R2 U' R F2 D2
B' R2 U' R' F2 R2
B' R2 U' R2 F2 R'
B' R2 D' L2 U' R
F R2 B' U' R' F
F R2 B' U' F R'
B R2 B2 U' R' F2
B R2 B2 U' F2 R'
R2 D' B' L2 U' R'
B' U' F2 D R' B2
R2 F B' U' R' F
R2 F B' U' F R'
R2 F' B' U' F' R'
B' F R2 U' R F
R2 B' L U' R' F2
R2 B' L U' F2 R'
R2 B' L' U' R' F2
R2 B' L' U' F2 R'
R2 B' L2 U' R' F2
R2 B' L2 U' F2 R'
F2 B D B2 L2 R'
F2 B D B2 R' L2
R B' R U' R2 F2
R B' R U' F2 R2
R2 B' U' R F2 R2
R2 B' U' R' F2 D
R2 B' U' R' F2 D'
R2 B' U' R' F2 D2
R2 B' U' F R' F
R2 B' U' F2 R' D
R2 B' U' F2 R' D'
R2 B' U' F2 R' D2
R2 B' U' F2 D R'
R2 B' U' F2 D' R'
R2 B' U' F2 D2 R'
R2 B' D' L2 U' R'
F B' R2 U' R F
R2 B' F U' R' F
R2 B' F U' F R'
R2 B' F' U' F' R'
B F2 D B2 L2 R'
B F2 D B2 R' L2
B' L R2 U' R F2 D
B' L R2 U' R F2 D'
B' L R2 U' R F2 D2
B' L R2 U' R' F2 R2
B' L R2 U' R2 F2 R'
B' L R2 D' L2 U' R
B L U' R2 B2 U' F2
B' L U' F2 D R' B2
B L U' B2 R2 U' F2
B L U2 F2 D L2 B2
B L U2 F2 D B2 L2
B' L F R2 U' R F
B2 L B R2 U' R F2
B' L' R2 U' R F2 D
B' L' R2 U' R F2 D'
B' L' R2 U' R F2 D2
B' L' R2 U' R' F2 R2
B' L' R2 U' R2 F2 R'
B' L' R2 D' L2 U' R
B' L' U' F2 D R' B2
B' L' F R2 U' R F
B2 L' B R2 U' R F2
L2 R2 U2 F U R F
R2 L2 U2 F U R F
L2 R2 D' L2 B' U' R'
R2 L2 D' L2 B' U' R'
B' L2 R2 U' R F2 D
B' L2 R2 U' R F2 D'
B' L2 R2 U' R F2 D2
B' L2 R2 U' R' F2 R2
B' L2 R2 U' R2 F2 R'
B' L2 R2 D' L2 U' R
B L2 R2 B2 U' F2 R
B' L2 U' F2 D R' B2
B' L2 F R2 U' R F
B L2 F2 D L2 R B2
B L2 F2 D L2 B2 R
B L2 F2 D R L2 B2
B L2 F2 D R B2 L2
R' U R' F' B' U' F'
B L2 F2 D B2 L2 R
B L2 F2 D B2 R L2
R' U R' B' F' U' F'
B2 L2 B R2 U' R F2
B L2 B2 R2 U' F2 R
B' R D' L2 R F2 U'
B' R D' R L2 F2 U'
B' R D' R F2 L2 U'
F' R B' R U' R2 F'
F R B' R U' R2 F
F R B' R U' F R2
B R B2 R U' R2 F2
B R B2 R U' F2 R2
B' R' U R' U' F2 L'
F2 R' U R' F' B' U'
F2 R' U R' B' F' U'
R2 U' F2 U B' U' R'
B' R' D' L2 R' U' R
B' R' D' R' L2 U' R
B' R' F R' U' R F
B' R' F' R' U' R F'
B' R2 L U' R F2 D
B' R2 L U' R F2 D'
B' R2 L U' R F2 D2
B' R2 L U' R' F2 R2
B' R2 L U' R2 F2 R'
B' R2 L D' L2 U' R
B' R2 L' U' R F2 D
B' R2 L' U' R F2 D'
B' R2 L' U' R F2 D2
B' R2 L' U' R' F2 R2
B' R2 L' U' R2 F2 R'
B' R2 L' D' L2 U' R
B' R2 L2 U' R F2 D
B' R2 L2 U' R F2 D'
B' R2 L2 U' R F2 D2
B' R2 L2 U' R' F2 R2
B' R2 L2 U' R2 F2 R'
B' R2 L2 D' L2 U' R
B' R2 U L U2 R F2
B' R2 U L' U2 R F2
B' R2 U L2 U2 R F2
B' R2 U D2 B2 U2 R
B R2 L2 B2 U' F2 R
B' R2 U B U2 R F2
B' R2 U B' U2 R F2
B' R2 U B2 U2 R F2
B' R2 U' L' R F2 L
B' R2 U' L2 R F2 L2
B' R2 U' R L' F2 L
B' R2 U' R L2 F2 L2
B' R2 U' R F D F
B' R2 U' R F D' F
B' R2 U' R F D2 F
B' R2 U' R F' D F'
B' R2 U' R F' D' F'
B' R2 U' R F' D2 F'
B' R2 U' R' F R2 F
B' R2 U' R' F2 R2 D
B' R2 U' R' F2 R2 D'
B' R2 U' R' F2 R2 D2
B' R2 U' R2 F R' F
B' R2 U' R2 F2 R' D
B' R2 U' R2 F2 R' D'
B' R2 U' R2 F2 R' D2
B' R2 U' R2 F2 D R'
B' R2 U' R2 F2 D' R'
B' R2 U' R2 F2 D2 R'
B' R2 U' D' R D F2
B' R2 U' D2 R D2 F2
B' R2 U' F2 U2 L' U2
B' R2 U' B R F2 B'
B' R2 U' B R B' F2
B' R2 U' B2 R F2 B2
B' R2 U' B2 R B2 F2
B' R2 U2 R' U R2 F2
B' R2 U2 R' U F2 R2
B' R2 U2 R2 U R' F2
B' R2 U2 R2 U F2 R'
B' R2 U2 D R2 U R'
B' R2 U2 B U R F2
B' R2 U2 B' U R F2
B' R2 U2 B2 U R F2
B' R2 D U2 R2 U R'
B' R2 D' L2 U' R D
B' R2 D' L2 U' R D'
B' R2 D' L2 U' R D2
B' R2 D' L2 U' D R
B' R2 D' L2 U' D' R
B' R2 D' L2 U' D2 R
