B R' B2 L U' R2
B' U2 L R2 U R'
B' U2 R2 L U R'
R2 L U D' R' B L
B L R' B2 L U' R2
R2 L D' U R' B L
B' L B' R2 F' U R'
B L' R' B2 L U' R2
B' L' U' D' R F2 B2
B' L' U' D' R B2 F2
B' L' U' D' B2 R F2
B' L' U2 L2 R2 U R'
B' L' U2 R2 L2 U R'
B' L' D' U' R F2 B2
B' L' D' U' R B2 F2
B' L' D' U' B2 R F2
B' L' D2 L2 R2 U' R'
B' L' D2 R2 L2 U' R'
L R2 U D' R' B L
L R2 D' U R' B L
L2 R2 D' F U R' B
R2 L2 D' F U R' B
L2 R2 D2 F L' U R'
R2 L2 D2 F L' U R'
L2 R2 F U D' R' B
R2 L2 F U D' R' B
L2 R2 F D' U R' B
B L2 R' B2 L U' R2
R2 L2 F D' U R' B
B' L2 U2 L' R2 U R'
B' L2 U2 R2 L' U R'
R2 U D' R' B D L2
B R U R2 B2 L U'
B' R U' L R U L'
B' R U' R L U L'
R U B' U2 L R U
R U B' U2 R L U
D' R F2 B D L2 B'
D' R B F2 D L2 B'
B R' L B2 L U' R2
B R' L' B2 L U' R2
B R' L2 B2 L U' R2
B' R' U2 L R' U R'
B' R' U2 R' L U R'
B R' F B2 L U' R2
B R' F' B2 L U' R2
D' R' F2 B R2 D L2
D' R' B R2 F2 D L2
B R' F2 B2 L U' R2
D' R' B F2 R2 D L2
D' R' B' U' R2 F2 B2
D' R' B' U' R2 B2 F2
D' R' B' U' F2 R2 B2
D' R' B' U' F2 B2 R2
D' R' B' U' B2 R2 F2
D' R' B' U' B2 F2 R2
B R' B2 L U' R2 D
B R' B2 L U' R2 D'
B R' B2 L U' R2 D2
B R' B2 L D' F2 U'
B R' B2 L F U' R2
B R' B2 L F' U' R2
B R' B2 L F2 U' R2
B R' B2 D' L F2 U'
B R' B2 D' F2 L U'
B R' B2 F L U' R2
B R' B2 F' L U' R2
B R' B2 F2 L U' R2
B R2 U R' D L2 B2
B R2 U R' D B2 L2
B R2 U2 R B2 U' R2
B R2 D2 F2 L' U R'
B2 R2 F' U R B R2
B U R' B2 L U' R2
B2 U R2 F' U R' B
R2 D' L U R' B L
R2 D' L2 F U R' B
L' D' R F2 L2 B' L
L' D' R' B R2 F2 L'
R2 D' U R' B D L2
B' U' L R2 U L' R'
B' U' L R2 U R' L'
B' U' R U' L R U
B' U' R U' R L U
B' U' R2 L U L' R'
B' U' R2 L U R' L'
B U' R' B2 L U' R2
R2 D2 L2 F L' U R'
B' U2 L R2 U R' D
B' U2 L R2 U R' D'
B' U2 L R2 U R' D2
B' U2 L R2 U D R'
B' U2 L R2 U D' R'
B' U2 L R2 U D2 R'
B' U2 L R2 D U R'
B' U2 L R2 D' U R'
B' U2 L R2 D2 U R'
B' U2 L U D' R F2
B' U2 L D' U R F2
B' U2 L B R2 U R'
B' U2 L B' R2 U R'
B' U2 L B2 R2 U R'
B' U2 R2 L U R' D
B' U2 R2 L U R' D'
B' U2 R2 L U R' D2
B' U2 R2 L U D R'
B' U2 R2 L U D' R'
B' U2 R2 L U D2 R'
B' U2 R2 L D U R'
B' U2 R2 L D' U R'
B' U2 R2 L D2 U R'
B' U2 R2 D L U R'
B' U2 R2 D' L U R'
B' U2 R2 D2 L U R'
B2 U2 R2 F' L' U R'
B U2 R' B2 L U' R2
B' U2 D' L U R F2
B D' R F2 L' D B2
B D' R F2 D L' B2
B D' R F2 D B2 L'
B D' R' U' R2 F2 L'
B' D' U2 L U R F2
B' D2 L2 U2 L' U R
D' B R F2 D L2 B'
U' B R' B2 L U' R2
U2 B R' B2 L U' R2
U B R' B2 L U' R2
D2 B D R F2 L2 B'
B2 F R2 F' U R B
L B' L R2 F U R'
D' B' R' U' F2 B R2
D' B' R' U' B R2 F2
D' B' R' U' B F2 R2
L2 B' R2 F L U R'
L B' R2 L F U R'
D' B' U' R' F2 B R2
D' B' U' R' B R2 F2
D' B' U' R' B F2 R2
U' B' U2 L R2 U R'
U' B' U2 R2 L U R'
U2 B' U2 L R2 U R'
U2 B' U2 R2 L U R'
R B' U' L R U L'
R B' U' R L U L'
U B' U2 L R2 U R'
U B' U2 R2 L U R'
F B2 R2 F' U R B
