B' R D F2 L' U'
D2 R B' L2 U' R
R D F2 B' L' U'
R D B' F2 L' U'
B' D2 L2 R U' R
B' D2 R L2 U' R
D2 B' L2 R U' R
D2 B' R L2 U' R
R B' D F2 L' U'
L2 R U2 R F U R'
R2 L B2 L F U R'
B' L' R F2 L' U' R
B' L' D' R U' F2 R
R L2 U2 R F U R'
B' L2 R U2 R U R'
L2 R2 F U2 R' U' R
R2 L2 F U2 R' U' R
F2 L2 U R2 F L U
F2 L2 U F L R2 U
F2 L2 U F R2 L U
F L2 U R2 F L' U
F L2 U F L' R2 U
F L2 U F R2 L' U
L R2 B2 L F U R'
R U L2 U R F U
L2 U R2 F U2 R' U'
B' R L' F2 L' U' R
B' R L2 U2 R U R'
B' R U L2 U R U
L2 U F2 L' F' R2 U
B' R U2 R U D2 R2
B' R U2 R U' L2 U2
B' R U2 R D' B2 U
B' R U2 R D2 U R2
B' R U2 D' R B2 U
B' R U2 D' B2 R U
B' R U2 D2 R U R
B' R D L F2 L' U'
B' R D L' F2 L' U'
B' R D L2 F2 L' U'
B' R D F2 L' U' D
B' R D F2 L' U' D'
B' R D F2 L' U' D2
B' R D F2 L' D U'
B' R D F2 L' D' U'
B' R D F2 L' D2 U'
B' R D F2 D L' U'
B' R D F2 D' L' U'
B' R D F2 D2 L' U'
D2 R D B' U' R F2
U' R D F2 B' L' U'
U' R D B' F2 L' U'
U2 R D F2 B' L' U'
U2 R D B' F2 L' U'
B R D F2 L' U' L'
D R D B' L2 U' R2
B' R D' U2 R B2 U
U R D F2 B' L' U'
B' R D' U2 B2 R U
U R D B' F2 L' U'
D' R D' B' L2 U' R2
B' R D2 U2 R U R
B' R D2 F2 L' U' R2
B' R F2 L' U L' U2
B' R F2 L' F2 U' R
L2 U' R U2 R F U
B' R F2 D L' F2 U'
B' R F2 D2 L' U' R2
D R F2 D B' L2 U'
D2 R B L2 B2 U' R
D R F2 D2 B' U' F2
D R F2 B' L2 U' F
D R F2 B' U B' U2
D2 R B' L2 U' R D
D2 R B' L2 U' R D'
D2 R B' L2 U' R D2
D2 R B' L2 U' D R
D2 R B' L2 U' D' R
D2 R B' L2 U' D2 R
D2 R B' L2 D U' R
D2 R B' L2 D' U' R
D2 R B' L2 D2 U' R
D' R B' L2 F U' F
D2 R B' U' R D F2
D2 R B' U' D R F2
D' R B' U2 B' U F2
D2 R B' D U' R F2
D' R B' D' L2 F U'
D R B' L2 F2 U' F'
U' R B' D F2 L' U'
U2 R B' D F2 L' U'
D2 R B2 L2 B U' R
D R B' F2 L2 U' F
D R B' F2 U B' U2
U R B' D F2 L' U'
B R B2 D F2 L' U'
L2 U' D2 L2 R B' U'
L2 U' D2 L2 B' R U'
L2 U' D2 R L2 B' U'
R2 U2 R' D F2 B' U'
R2 U2 R' D B' F2 U'
R2 U2 R' D2 B' U' R2
R2 U2 R' B' U L2 U2
R2 U2 R' B' U' D2 R2
R2 U2 R' B' D F2 U'
R2 U2 R' B' D2 U' R2
R2 U2 D R' F2 B' U'
R2 U2 D R' B' F2 U'
R2 U2 D F2 R' B' U'
D2 R2 U R' B' L2 U'
B' R2 D R' F2 L' U'
B2 R2 D' F' B2 L U
B2 R2 D' B2 L F' U
B2 R2 D' B2 F' L U
R D L F2 L' B' U'
B2 R2 F' D' B2 L U
R2 D R' F2 B' L' U'
R2 D R' B' F2 L' U'
R2 D U2 R' F2 B' U'
R2 D U2 R' B' F2 U'
R2 D U2 F2 R' B' U'
D2 U R B' L2 U' R
R D F2 D B' L' U'
R D F2 D' B' L' U'
R D F2 D2 B' L' U'
R D F2 B L' B2 U'
R D F2 B' L' U' D
R D F2 B' L' U' D'
R D F2 B' L' U' D2
R D F2 B' L' D U'
R D F2 B' L' D' U'
R D F2 B' L' D2 U'
R D F2 B' D L' U'
R D F2 B' D' L' U'
R D F2 B' D2 L' U'
R D F2 B2 L' B U'
R D B F2 L' B2 U'
R D B' L F2 L' U'
R D B' L' F2 L' U'
R D B' L2 F2 L' U'
R D B' F2 L' U' D
R D B' F2 L' U' D'
R D B' F2 L' U' D2
R D B' F2 L' D U'
R D B' F2 L' D' U'
R D B' F2 L' D2 U'
R D B' F2 D L' U'
R D B' F2 D' L' U'
R D B' F2 D2 L' U'
