R2 U' F U B R
R U' F U R B
U' F U R D2 B2
U' F U D2 R B2
U' F U D2 B2 R
U' F U' F2 L' U2
U' F D' L2 U R
U' F D2 U R B2
U' F D2 U B2 R
R2 B U' F U R
F L U F' D R2 B
F L D' L2 B' U F'
F' L' U F2 B' R' U
F' L' U B' R' F2 U
F' L' U B' F2 R' U
F L' D' B' L2 U F'
F L' D2 B' U F' B'
F L' D2 B' U B' F'
F L' B' U D2 F' B2
F L' B' U D2 B2 F'
F L' B' U' F2 U2 F
F L' B' D' L2 U F'
F L' B' D2 U F' B2
F L' B' D2 U B2 F'
L2 R2 D' B R' D L2
L2 R2 D' B D L2 R'
L2 R2 D' B D R' L2
R2 L2 D' B R' D L2
R2 L2 D' B D L2 R'
R2 L2 D' B D R' L2
F' L2 D' B' L U2 L
U2 L2 F' U' B' U' R'
D2 R U' F U R B
D' R U' F U R B
B' R U' F U R B
B2 R U' F U R B
D R U' F U R B
B R U' F U R B
U' R F R' U R2 B
R2 U' D F U B R
R' U' D' F L' U R
R U' D F U R B
R2 U' D' F U B R
R U' D' F U R B
R2 U' D2 F U B R
R' U' F U R' B R2
R U' D2 F U R B
R2 U' F L U B R
R2 U' F L' U B R
R2 U' F L2 U B R
R U' F L U R B
R2 U' F U D B R
R U' F L' U R B
R2 U' F U D' B R
R2 U' F U D2 B R
R2 U' F U B R D
R2 U' F U B R D'
R2 U' F U B R D2
R2 U' F U B D R
R2 U' F U B D' R
R2 U' F U B D2 R
R2 U' F U B' R B2
R2 U' F U B2 R B'
R U' F L2 U R B
R2 U' F D U B R
R2 U' F D' U B R
R2 U' F D2 U B R
R U' F U R D B
R U' F U R D' B
R U' F U R D2 B
R U' F U R B D
R U' F U R B D'
R U' F U R B D2
R U' F U D R B
R U' F U D' R B
R U' F U D2 R B
R U' F U B R B
R U' F U B' R B
R U' F U B2 R B
R2 U' F B' U R B2
R2 U' F B' U B2 R
R2 U' F B2 U R B'
R2 U' F B2 U B' R
R U' F D U R B
R U' F D' U R B
R U' F D2 U R B
R U' F B L U R
R U' B F L U R
R2 U' B' F U R B2
R2 U' B' F U B2 R
R2 U' B2 F U R B'
R2 U' B2 F U B' R
D2 R2 U' F U B R
D' R2 U' F U B R
B' R2 U' F U B R
B2 R2 U' F U B R
D R2 U' F U B R
B R2 U' F U B R
U R2 U2 F U B R
D' R2 B U' F U R
D2 R2 B U' F U R
B' R2 B U' F U R
B2 R2 B U' F U R
B R2 B U' F U R
D R2 B U' F U R
R2 D U' F U B R
R D U' F U R B
R2 D B U' F U R
U' D F U R D2 B2
U' D F U D2 R B2
U' D F U D2 B2 R
U' D F U' F2 L' U2
U' D F D' L2 U R
U' D F D2 U R B2
U' D F D2 U B2 R
F U D2 F' B' R' B'
F U D2 B' F' R' B'
F U D2 B2 D2 F' R
F U F' R' B' R' B
F U F' R2 B' R' B2
F U F' U2 F' L' U2
F' U F2 B' U F' R'
