L2 R B R' D L2
L2 R B D L2 R'
L2 R B D R' L2
R L2 B R' D L2
R L2 B D L2 R'
R L2 B D R' L2
R U' F U B R'
U' F U R B R'
R F U F' B R'
R F U B F' R'
U' F B L U R'
R B R' U' F U
R B U' F U R'
U' B F L U R'
L2 R U B' U' B2 R'
L2 R B L R' D L2
L2 R B L D L2 R'
L2 R B L D R' L2
L2 R B L' R' D L2
L2 R B L' D L2 R'
L2 R B L' D R' L2
L2 R B L2 R' D L2
L2 R B L2 D L2 R'
L2 R B L2 D R' L2
L2 R B R' L D L2
L2 R B R' L' D L2
L2 R B R' L2 D L2
L2 R B R' U B2 U'
L2 R B R' D L2 D
L2 R B R' D L2 D'
L2 R B R' D L2 D2
L2 R B R2 D L2 R
L2 R B R2 D R L2
L2 R B D L2 R' D
L2 R B D L2 R' D'
L2 R B D L2 R' D2
L2 R B D L2 D R'
L2 R B D L2 D' R'
L2 R B D L2 D2 R'
L2 R B D R' L2 D
L2 R B D R' L2 D'
L2 R B D R' L2 D2
L2 R B D2 R' D' L2
L R B2 D' B' L R'
L R B2 D' B' R' L
R L B2 D' B' L R'
R L B2 D' B' R' L
U' L' U R B L R'
U' L' U R B R' L
R L2 U B' U' B2 R'
U' L' B L F U R'
B L2 R B R2 D L2
R L2 B L R' D L2
L2 R2 B R' D L2 B
L2 R2 B R' D B L2
R L2 B L D L2 R'
R L2 B L D R' L2
R2 L2 B R' D L2 B
R2 L2 B R' D B L2
R L2 B L' R' D L2
R L2 B L' D L2 R'
R L2 B L' D R' L2
R L2 B L2 R' D L2
R L2 B L2 D L2 R'
R L2 B L2 D R' L2
R L2 B R' L D L2
R L2 B R' L' D L2
R L2 B R' L2 D L2
R L2 B R' U B2 U'
R L2 B R' D L2 D
R L2 B R' D L2 D'
R L2 B R' D L2 D2
R L2 B R2 D L2 R
R L2 B R2 D R L2
R L2 B D L2 R' D
R L2 B D L2 R' D'
R L2 B D L2 R' D2
R L2 B D L2 D R'
R L2 B D L2 D' R'
R L2 B D L2 D2 R'
R L2 B D R' L2 D
R L2 B D R' L2 D'
R L2 B D R' L2 D2
R L2 B D2 R' D' L2
B R L2 B R2 D L2
F2 R U' F2 B L R'
F2 R U' F2 B R' L
F2 R U' B L R' F2
F2 R U' B L F2 R'
F2 R U' B R' L F2
F2 R U' B R' F2 L
B R U' F U B R2
F2 R U' B F2 L R'
F2 R U' B F2 R' L
L2 U B' U L F U2
R U' L' U B L R'
R U' L' U B R' L
B R F U F' B R2
B R F U B F' R2
F' R F2 U F' B R'
F' R F2 U B F' R'
F' R B R' D' F L2
F' R B D' R' F L2
F' R B D' F L2 R'
F' R B D' F R' L2
B R B R2 U' F U
B R B U' F U R2
R U' F L U B R'
R2 U' F U R' B R'
R U' F L' U B R'
R2 U' F U B R' B
R U' F L2 U B R'
R U' F U B R' D
R U' F U B R' D'
R U' F U B R' D2
R U' F U B D R'
R U' F U B D' R'
R U' F U B D2 R'
R2 U' F B U R' B
R U' F B' U B2 R'
F R' U R2 B R' F'
B R' U' F U D2 B2
B R' U' F U' F2 U2
B R' U' F D' L2 U
B R' U' F D2 U B2
R2 U' B F U R' B
B R' U2 F' U F2 U
B R' U2 F' U2 D' L2
B R' U2 F' D R2 U2
B R' U2 F' D' U2 L2
R U' B' F U B2 R'
F R2 U R' B R' F'
F R2 U' B U2 R' B
F2 R2 B U' R' F2 B
F2 R2 B U' R' B F2
F2 R2 B U' F2 R' B
