F R2 U F' R' B
R F U B R F'
F L R2 U F' R' B
F L' R2 U F' R' B
F L2 R2 U F' R' B
B L2 U' B' R' F' U'
B2 L2 F R B D L2
D2 R F U B R F'
D' R F U B R F'
D R F U B R F'
F' R F2 U B R F'
B R' F' L' U F2 U
B R' F' L' U2 D' L2
B R' F' L' D R2 U2
B R' F' L' D' U2 L2
B R' F' U F2 U R
B R' F' D L' R2 U2
B R' F' D R2 L' U2
B R' F' D' L' U2 L'
F R2 L U F' R' B
F R2 L' U F' R' B
F R2 L2 U F' R' B
F R2 U F R' F2 B
F R2 U F R' B F2
F R2 U F' R' D B
F R2 U F' R' D' B
F R2 U F' R' D2 B
F R2 U F' R' B D
F R2 U F' R' B D'
F R2 U F' R' B D2
F R2 U F2 R' F B
F R2 U F2 R' B F
B U F' L' F2 B' U
B U F' L' B' F2 U
R2 D' F L' U R F2
L D' B R' F' L' U2
F U' B U L U R
R F L U B R F'
R F L' U B R F'
R' F R' U F' R2 B
R F L2 U B R F'
R2 F R F2 D' L2 B'
D' F R2 U F' R' B
D2 F R2 U F' R' B
R2 F R' U F2 B R2
R2 F R' U B R2 F2
R2 F R' U B F2 R2
D F R2 U F' R' B
R2 F U R' F2 B R2
R2 F U R' B R2 F2
R2 F U R' B F2 R2
U' F U' B L F U2
R F U B R D F'
R F U B R D' F'
R F U B R D2 F'
R F U B R F' D
R F U B R F' D'
R F U B R F' D2
R F U B' R F' B2
R F U B' R B2 F'
R F U B2 R F' B'
R F U B2 R B' F'
F D R2 U F' R' B
R F B' U R F' B2
R F B' U R B2 F'
R F B' U B2 R F'
R F B2 U R F' B'
R F B2 U R B' F'
R F B2 U B' R F'
F' D' L' B U2 L' B'
F D' R2 U F' R' B
B' D' F R2 U R' B
F' D' B L' U2 L' B'
F D2 R2 U F' R' B
U2 B L D F U2 L'
U' B U F L U R
F2 B U F' L' U R
B' F D' R2 U R' B
F' B D' L' U2 L' B'
R B' F U R F' B2
R B' F U R B2 F'
R B' F U B2 R F'
B F' D' L' U2 L' B'
F B' D' R2 U R' B
B F2 U F' L' U R
R B2 F U R F' B'
R B2 F U R B' F'
R B2 F U B' R F'
