F2 L U2 F' L' U R'
L2 R B' L' R' U' R'
L2 R B' R' L' U' R'
L2 R' B' L' R' U' R
L2 R' B' R' L' U' R
F L' D2 R2 U R B
R' L2 B' L' R' U' R
R' L2 B' R' L' U' R
L2 R2 B' L' R' U' R2
R2 L2 B' L' R' U' R2
L2 R2 B' R' L' U' R2
R2 L2 B' R' L' U' R2
R L2 B' L' R' U' R'
R L2 B' R' L' U' R'
L U' R' D' L' B' L
L U' D' L' R' B' L
L U' D' R' L' B' L
L U2 F' L' F U R'
F R2 U2 L U' R B
L D F U' L' R' B'
L D F U' R' L' B'
L D' U' L' R' B' L
L D' U' R' L' B' L
L' D2 R2 U R B L
F U2 L R2 U' R B
F U2 L U' R B R2
F U2 L F R U' R2
F U2 R2 L U' R B
L D2 B' R' B U' R'
F U2 F L R U' R2
F U2 F R L U' R2
U2 F U2 L R U' R2
U2 F U2 R L U' R2
L2 B' R' D L' F U'
L2 B' D L' R' F U'
L2 B' D L' F R' U'
L2 B' D R' L' F U'
