F' R2 U2 R' F2 U
F' R2 U2 F2 R' U
F' R2 D2 B2 L U'
F U2 L' R2 F2 U'
F' U2 R F2 L' U
F U2 L' F2 R2 U'
F U2 R2 L' F2 U'
F D2 L2 B2 R' U
F' L R2 U2 R' F2 U
F' L R2 U2 F2 R' U
F' L R2 D2 B2 L U'
F L U D R2 F2 B2
F L U D R2 B2 F2
F L U D F2 R2 B2
F L U D F2 B2 R2
F L U D B2 R2 F2
F L U D B2 F2 R2
F' L U2 R F2 L' U
F L U2 L2 R2 F2 U'
F L U2 L2 F2 R2 U'
F L U2 R2 L2 F2 U'
F L U2 R2 F2 L2 U'
F L U2 F2 L2 R2 U'
F L U2 F2 R2 L2 U'
F L D U R2 F2 B2
F L D U R2 B2 F2
F L D U F2 R2 B2
F L D U F2 B2 R2
F L D U B2 R2 F2
F L D U B2 F2 R2
F L D2 L2 R2 B2 U
F L D2 L2 B2 R2 U
F L D2 R2 L2 B2 U
F L D2 R2 B2 L2 U
F L D2 B2 L2 R2 U
F L D2 B2 R2 L2 U
F' L' R2 U2 R' F2 U
F' L' R2 U2 F2 R' U
F' L' R2 D2 B2 L U'
F L' R2 F2 U' D' L2
F L' R2 F2 U2 F2 U
F L' R2 F2 D' U' L2
F L' R2 F2 D2 B2 U'
F' L' U2 R F2 L' U
F L' F R2 F B U'
F L' F R2 B F U'
F L' F2 R2 U' D' L2
F L' F2 R2 U2 F2 U
F L' F2 R2 D' U' L2
F L' F2 R2 D2 B2 U'
F' L2 R2 U2 R' F2 U
F' L2 R2 U2 F2 R' U
F' L2 R2 D2 B2 L U'
F' L2 U2 R F2 L' U
F L2 U2 L R2 F2 U'
F L2 U2 L F2 R2 U'
D2 L2 U2 F' B' L U'
D2 L2 U2 B' L F' U'
F L2 U2 R2 L F2 U'
D2 L2 U2 B' F' L U'
F L2 U2 R2 F2 L U'
F L2 U2 F2 L R2 U'
F L2 U2 F2 R2 L U'
F L2 D2 B2 L2 R' U
F L2 D2 B2 R' L2 U
F R U2 L' R F2 U'
F R U2 R L' F2 U'
F' R D2 R B2 L U'
F' R F2 L' U D R2
F' R F2 L' U2 F2 U'
F' R F2 L' D U R2
F' R F2 L' D2 B2 U
F' R F2 U2 F2 R U'
F' R F2 D L' U R2
F' R F2 D2 L' B2 U
F' R F2 D2 B2 L' U
F' R' U2 R2 F2 L' U
F R' U2 L' R' F2 U'
F R' U2 L' F2 R' U'
F R' U2 R' L' F2 U'
F' R' D' R' U' L2 F2
F' R' D' R' U' F2 L2
F' R' D2 L2 R' B2 U'
F' R' D2 R' L2 B2 U'
F' R' D2 R' B2 L2 U'
F' R2 L U2 R' F2 U
F' R2 L U2 F2 R' U
F' R2 L D2 B2 L U'
F' R2 L' U2 R' F2 U
F' R2 L' U2 F2 R' U
R2 U2 D2 F B R' U
F' R2 L' D2 B2 L U'
R2 U2 D2 B R' F U
R2 U2 D2 B F R' U
F' R2 L2 U2 R' F2 U
F' R2 L2 U2 F2 R' U
F' R2 L2 D2 B2 L U'
F R2 L' F2 U' D' L2
F R2 L' F2 U2 F2 U
F R2 L' F2 D' U' L2
F R2 L' F2 D2 B2 U'
R2 U2 F B U2 L' U'
R2 U2 F' B R F2 U
F' R2 U2 R F2 R2 U
F' R2 U2 R' U D' L2
F' R2 U2 R' D' U L2
F' R2 U2 R' F2 U D
F' R2 U2 R' F2 U D'
F' R2 U2 R' F2 U D2
F' R2 U2 R' F2 D U
F' R2 U2 R' F2 D' U
F' R2 U2 R' F2 D2 U
F' R2 U2 D' R' U L2
F' R2 U2 F R' F U
F' R2 U2 F2 R' U D
F' R2 U2 F2 R' U D'
F' R2 U2 F2 R' U D2
F' R2 U2 F2 R' D U
F' R2 U2 F2 R' D' U
F' R2 U2 F2 R' D2 U
F' R2 U2 F2 D R' U
F' R2 U2 F2 D' R' U
F' R2 U2 F2 D2 R' U
R2 U2 B F U2 L' U'
R2 U2 B F' R F2 U
F' R2 D' U2 R' U L2
F' R2 D' B2 L U' L
F' R2 D2 L B2 L U'
F' R2 D2 L' B2 L U'
F' R2 D2 L2 B2 L U'
F' R2 D2 B2 L U' D
F' R2 D2 B2 L U' D'
F' R2 D2 B2 L U' D2
F' R2 D2 B2 L D U'
F' R2 D2 B2 L D' U'
F' R2 D2 B2 L D2 U'
F' R2 D2 B2 D L U'
F' R2 D2 B2 D' L U'
F' R2 D2 B2 D2 L U'
D2 R2 F L2 B R' U
D2 R2 F B L2 R' U
D2 R2 F B R' L2 U
F2 R2 F B U2 R U
F2 R2 F' L' F2 B U'
F2 R2 F' L' B F2 U'
F2 R2 F' B L' F2 U'
D2 R2 B R' F L2 U
F R2 F2 U2 R F2 U
D2 R2 B F L2 R' U
D2 R2 B F R' L2 U
F2 R2 B F U2 R U
F2 R2 B F' L' F2 U'
F' R2 B2 L U' D' L2
F' R2 B2 L U2 F2 U
F' R2 B2 L D' U' L2
F' R2 B2 L D2 B2 U'
F' R2 B2 D' L U' L
F' R2 B2 D2 L B2 U'
F U L' R2 F2 U' L
F U L' F2 R2 U' L
F U R2 L' F2 U' L
F' U' R F2 L' U R'
F' U2 L R F2 L' U
F' U2 L' R F2 L' U
R2 D2 U2 F B R' U
F U2 L R2 F2 L2 U'
R2 D2 U2 B R' F U
R2 D2 U2 B F R' U
F' U2 L2 R F2 L' U
F U2 L F2 L2 R2 U'
F U2 L F2 R2 L2 U'
F U2 L' R' F2 R' U'
F U2 L' R2 U' D R2
F U2 L' R2 D U' R2
F U2 L' R2 F2 U' D
F U2 L' R2 F2 U' D'
F U2 L' R2 F2 U' D2
F U2 L' R2 F2 D U'
F U2 L' R2 F2 D' U'
F U2 L' R2 F2 D2 U'
F U2 L' U' D R2 B2
F U2 L' U' D B2 R2
F U2 L' D U' R2 B2
F U2 L' D U' B2 R2
F U2 L' F R2 F U'
F' U2 R L F2 L' U
F' U2 R L' F2 L' U
F U2 L' F2 R2 U' D
