U2 R F U R' F2
U2 R F U F2 R'
L2 D F2 B' L U'
L2 D B' L F2 U'
L2 D B' F2 L U'
U2 F R U F' R'
F' L U2 F2 U R F'
U' L2 R B' U' F' B
U' L2 R B' U' B F'
B' L2 D F2 B' L U'
B' L2 D B' L F2 U'
U' L2 D B' L U' B
B' L2 D B' F2 L U'
B2 L2 D F2 B' L U'
B2 L2 D B' L F2 U'
B2 L2 D B' F2 L U'
B L2 D F2 B' L U'
B L2 D B' L F2 U'
B L2 D B' F2 L U'
L' U L R U2 F' L'
L' U L R' B U2 L
L' U L B' R' B U2
D' L2 D2 B' L U' R2
L' U R L U2 F' L'
L' U R' L B U2 L
D L2 B' L U L U2
D L2 B' D L F2 U'
D L2 B' D F2 L U'
D L2 B' D2 L U' R2
R2 U D F R U B2
L' U D2 L B' R' U2
R2 U D2 F L2 R U
R2 U D2 F R L2 U
R2 U F R U2 R U'
R2 U F D R U B2
R2 U F D2 L2 R U
R2 U F D2 R L2 U
R U F U2 R' U' F2
U' R L2 B' U' F' B
U' R L2 B' U' B F'
U2 R U F' R' D' L2
U2 R U F' D' L2 R'
U2 R U F' D' R' L2
L' U B' R' B L U2
F R U2 R' U' R F'
U2 R D F U R' F2
U2 R D F U F2 R'
U2 R D' F U R' F2
U2 R D' F U F2 R'
U2 R D2 F U R' F2
U2 R D2 F U F2 R'
U2 R F R U R2 F2
U2 R F R U F2 R2
U2 R F R2 U R F2
U2 R F U R F2 R2
U2 R F U R' F2 D
U2 R F U R' F2 D'
U2 R F U R' F2 D2
U2 R F U F R' F
U2 R F U F2 R' D
U2 R F U F2 R' D'
U2 R F U F2 R' D2
U2 R F U F2 D R'
U2 R F U F2 D' R'
U2 R F U F2 D2 R'
U2 R F D R2 U R
U R F R2 U F2 B
U R F R2 U B F2
U R F U' F' U2 F'
U R F D R2 U B
L' U' R F' L' D2 R2
R2 U' R2 U2 F R U
R2 U2 L D F L' B2
R2 U2 L D F B2 L'
R2 U2 L D B2 F L'
U2 R' F R2 U F' R
U2 R' F U R2 F' R
U R' F R2 U F' B
U R' F R2 U B F'
