D U F L' U F
U D F L' U F
U2 L D F B' L' F
U2 L D B' L' F L'
U2 L D B' F L' F
U' L B' L B' U' B
U2 L B' U L B' U'
U2 L2 U B' L R' U'
U2 L2 U B' R' L U'
U' L2 B' L U F U2
R' U D F L' U F
R2 U D F L' U F
R U D F L' U F
D R U F L' U F
U R D F L' U F
D2 R F' U R F2 U
D R' U F L' U F
U R' D F L' U F
D R2 U F L' U F
U R2 D F L' U F
R' D U F L' U F
R2 D U F L' U F
R D U F L' U F
L D F B' L' F R
D U R F L' U F
U D R F L' U F
B U R' D F L' U
B U R' F L U B'
D U R' F L' U F
U D R' F L' U F
D U R2 F L' U F
U D R2 F L' U F
D U F L' R U F
D U F L' R' U F
D U F L' R2 U F
D U F L' U D F
D U F L' U D' F
D U F L' U D2 F
D U F L' U F D
D U F L' U F D'
D U F L' U F D2
D U F L' D U F
D U F L' D' U F
D U F L' D2 U F
D U F R L' U F
D U F R' L' U F
B U D R' F L' U
D U F R2 L' U F
L D B' F L' F R
B U D F L' R' U
B U D F R' L' U
U D F L' R U F
U D F L' R' U F
U D F L' R2 U F
U D F L' U D F
U D F L' U D' F
U D F L' U D2 F
U D F L' U F D
U D F L' U F D'
U D F L' U F D2
U D F L' D U F
U D F L' D' U F
U D F L' D2 U F
U D F R L' U F
U D F R' L' U F
U D F R2 L' U F
B U D2 R' F U B
B U D2 F R' U B
B' U F U2 L U' B'
B U F L R' U B'
B U F R' L U B'
B U F D2 R' U B
B' U' L U' D' B' L
B' U' L D' U' B' L
B' U' L2 B' L' U' B'
L D' F2 R F' B' L
L D' F2 R B' L F'
L D' F2 R B' F' L
L D' F2 B' L R F'
L D' F2 B' R L F'
L D' F2 B' R F' L
L D' B' F2 L R F'
L D' B' F2 R L F'
L D' B' F2 R F' L
D F L' B2 U R' F
D F L' B2 U F R'
D F U L' U F L
B D U R' F L' U
B D U F L' R' U
B D U F R' L' U
D F' U F2 L' U F
L F2 D' R F' B' L
L F2 D' R B' L F'
L F2 D' R B' F' L
L F2 D' B' L R F'
L F2 D' B' R L F'
L F2 D' B' R F' L
B D2 U R' F U B
B D2 U F R' U B
D B U F L' U F
U' B' L U' D' B' L
U' B' L D' U' B' L
L2 B' L U F L U2
U' B' L2 B' L' U' B'
D B' U F L' U F
D B2 U F L' U F
