D2 L F L B' U'
U2 R B R F U
U2 D' F U F R
D' U2 F U F R
U2 F R B R U
U' F' D' F2 L2 R
U' F' D' F2 R L2
F L R2 U2 R2 F U'
F L R2 U2 F R2 U'
F L R2 D2 L2 B' U
F' L U2 F2 R2 B U
D2 L D F L U' L2
D L D F L2 U' L
F' L D' F U' F L2
F' L D2 F L2 B2 U'
F' L D2 F B2 L2 U'
F' L D2 B2 F L2 U'
D2 L F L D B' U'
D2 L F L D' B' U'
D2 L F L D2 B' U'
D2 L F L B' U' D
D2 L F L B' U' D'
D2 L F L B' U' D2
D2 L F L B' D U'
D2 L F L B' D' U'
D2 L F L B' D2 U'
D' L F U' D F L'
F' L F U2 R2 F U
F2 L F U' D' L2 F2
F2 L F U' D' F2 L2
F' L F U2 F R2 U
D' L F D U' F L'
F2 L F U2 R2 F2 U
F2 L F U2 F2 R2 U
F' L F D2 L2 B' U'
F L F U2 F' R2 U
F2 L F D' U' L2 F2
F2 L F D' U' F2 L2
F2 L F D2 L2 B2 U'
F2 L F D2 B2 L2 U'
D2 L F' L F2 B' U'
D2 L F' L B' F2 U'
D2 L F2 L F' B' U'
D2 L F2 L B' F' U'
F L' R2 D B' U B'
F L' R2 D2 B' L2 U
F L' R2 B' U D B2
F L' R2 B' U2 R2 U'
F L' R2 B' D U B2
F L' R2 B' D2 L2 U
F' L' U2 R2 F2 B' U
F' L' U2 R2 B' F2 U
F' L' U2 F2 R2 B' U
F' L' U2 F2 B' R2 U
F2 L' U2 F' R2 B' U
F2 L' U2 F' B' R2 U
F' L' U2 B' R2 F2 U
F' L' U2 B' F2 R2 U
F2 L' U2 B' F' R2 U
F L' U2 B' R2 F' U
F' L' D2 L2 F B2 U'
F' L' D2 L2 B2 F U'
F L' B' R2 U D B2
F L' B' R2 U2 R2 U'
F L' B' R2 D U B2
F L' B' R2 D2 L2 U
D2 L2 D F' B' U' R
D2 L2 D B' F' U' R
D2 L2 D' B' U L U2
D2 L2 B' L' F L U'
D' L2 B' L' F U' F
D L2 B' L2 U' F R
D2 L2 B' D F' U' R
D2 L2 B2 D' B U' R'
U R U R F B U
U R U R B F U
U' R U' R F B U
U' R U' R B F U
U2 R D B R F U
U2 R D' B R F U
U2 R D2 B R F U
U2 R F D2 B R' U
U2 R B R D F U
U2 R B R D' F U
U2 R B R D2 F U
U2 R B R F U D
U2 R B R F U D'
U2 R B R F U D2
U2 R B R F D U
U2 R B R F D' U
U2 R B R F D2 U
U2 R B R' F R2 U
U2 R B R2 F R' U
U2 R B D R F U
U2 R B D' R F U
U2 R B D2 R F U
U2 R B' R F B2 U
U2 R B' R B2 F U
U2 R B2 R F B' U
U2 R B2 R B' F U
U2 R' F R' U D R2
U2 R' F R' U2 F2 U'
U2 R' F R' D U R2
U2 R' F R' D2 B2 U
U2 R' F D R' U R'
U2 R' F D2 R' B2 U
F' R' F2 L' R' B' U
F' R' F2 R' L' B' U
L' U2 R' F' R' B' U
L' U2 R2 D B' U L
F R2 L U2 R2 F U'
F R2 L U2 F R2 U'
F R2 L D2 L2 B' U
F R2 L' D B' U B'
F R2 L' D2 B' L2 U
F R2 L' B' U D B2
F R2 L' B' U2 R2 U'
F R2 L' B' D U B2
F R2 L' B' D2 L2 U
F R2 U D B' R' B'
F R2 U B D B2 R'
F R2 U B' D R' B2
L' U2 B' R' F' R' U
F R2 U2 R' F' R' U'
U2 R2 D F B U R'
F R2 D L' B' U B'
U2 R2 D B F U R'
F R2 D U B' R' B'
F R2 D B' U B' R'
U2 R2 D' F U' L' U2
F R2 D2 L' B' L' U
U2 R2 F R' B R U
U' R2 F B U R B'
U' R2 F B U B' R
U' R2 F B' U B R
U' R2 F B2 U R B2
U' R2 F B2 U B2 R
U2 R2 F D B U R'
U2 R2 F2 D' F' U R
U' R2 B F U R B'
U' R2 B F U B' R
U' R2 B' F U B R
U' R2 B2 F U R B2
U' R2 B2 F U B2 R
R2 D F L' B' U B'
R2 D F U B' R' B'
R2 D F B' U B' R'
L D F U B2 U2 L'
L D F U' L' D2 F2
L D F U' D2 L' F2
L D F D L2 U' L
L D F D2 U' L' F2
R2 D B' F U B' R'
U2 D' R F B U F
U2 D' R B F U F
R2 D' F U' F U2 R
L D' F U' D2 F L'
L D' F D2 U' F L'
L D' F B' U' F L
U2 D' F R B U F
U2 D' F U R F R
U2 D' F U R' F R
U2 D' F U R2 F R
U2 D' F U D F R
U2 D' F U D' F R
U2 D' F U D2 F R
U2 D' F U F R D
U2 D' F U F R D'
U2 D' F U F R D2
U2 D' F U F D R
