F R' U B R2 F'
D' R2 F L' U R
F U R' B R2 F'
D' F L' R2 U R'
D' F R2 L' U R'
F L R' U B R2 F'
F L U R' B R2 F'
F L' R' U B R2 F'
F L' U R' B R2 F'
F L2 R' U B R2 F'
F L2 U R' B R2 F'
F R D' R2 U B R2
F R D2 F2 D' L2 B'
B2 R F' L' U F2 U
B2 R F' L' U2 D' L2
B2 R F' L' D R2 U2
B2 R F' L' D' U2 L2
B2 R F' U F2 U R
B2 R F' D L' R2 U2
B2 R F' D R2 L' U2
B2 R F' D' L' U2 L'
F R' L U B R2 F'
F R' L' U B R2 F'
F R' L2 U B R2 F'
F R' U F B R2 F'
F R' U F' B R2 F'
F R' U F2 B R2 F'
F R' U B R2 D F'
F R' U B R2 D' F'
F R' U B R2 D2 F'
F R' U B R2 F' D
F R' U B R2 F' D'
F R' U B R2 F' D2
F R' U B F R2 F'
F R' U B F' R2 F'
F R' U B F2 R2 F'
F R' U' B2 U2 R2 B'
F R' U' B2 U2 B' R2
D' R' F L' R' U R2
D' R' F R' L' U R2
F R' B' U B2 R2 F'
D' R2 F L' U R D
D' R2 F L' U R D'
D' R2 F L' U R D2
D' R2 F L' U D R
D' R2 F L' U D' R
D' R2 F L' U D2 R
D' R2 F L' D U R
D' R2 F L' D' U R
D' R2 F L' D2 U R
D' R2 F L' B U R
D' R2 F L' B' U R
D' R2 F L' B2 U R
D' R2 F D L' U R
D' R2 F D' L' U R
D' R2 F D2 L' U R
D' R2 F B L' U R
D' R2 F B' L' U R
D' R2 F B2 L' U R
D' R2 B F L' U R
D' R2 B' F L' U R
D' R2 B2 F L' U R
F U R U2 F' B2 U2
F U R U2 B2 F' U2
F U R F D2 F2 B2
F U R F D2 B2 F2
D' U R2 F L' B' U
F U R' F B R2 F'
F U R' F' B R2 F'
D' U F L' R2 B' U
F U R' F2 B R2 F'
D' U F L' B' R2 U
F U R' B R2 D F'
F U R' B R2 D' F'
F U R' B R2 D2 F'
F U R' B R2 F' D
F U R' B R2 F' D'
F U R' B R2 F' D2
F U R' B F R2 F'
F U R' B F' R2 F'
F U R' B F2 R2 F'
D' U F R2 L' B' U
B2 U D' F L' B' U
B2 U F U B' R' B
R D' R2 F U B R
R2 D' F R2 U R' B
U D' R2 F L' B' U
U D' F L' R2 B' U
U D' F L' B' R2 U
U D' F R2 L' B' U
F U' B2 U2 R' B R2
R' D2 F U B R F
F U2 R' U' B R2 F'
D' F L' R2 U R' D
D' F L' R2 U R' D'
D' F L' R2 U R' D2
D' F L' R2 U D R'
D' F L' R2 U D' R'
D' F L' R2 U D2 R'
D' F L' R2 D U R'
D' F L' R2 D' U R'
D' F L' R2 D2 U R'
D' F L' U D' R F2
D' F L' D' U R F2
D' F L' B R2 U R'
D' F L' B' R2 U R'
D' F L' B2 R2 U R'
D' F R2 L' U R' D
D' F R2 L' U R' D'
D' F R2 L' U R' D2
D' F R2 L' U D R'
D' F R2 L' U D' R'
D' F R2 L' U D2 R'
D' F R2 L' D U R'
D' F R2 L' D' U R'
D' F R2 L' D2 U R'
D' F R2 D L' U R'
D' F R2 D' L' U R'
D' F R2 D2 L' U R'
R' F U D2 B R F2
R' F U B R2 F' R'
R' F U' B2 U2 R B'
R' F U' B2 U2 B' R
R F U R D2 F2 B2
R F U R D2 B2 F2
R F U D2 R F2 B2
R F U D2 R B2 F2
R F U D2 B2 R F2
R F U' F2 L' B2 U2
R F U' F2 B2 L' U2
R F U' B2 F2 L' U2
D' F D' L' U R F2
R' F D2 U B R F2
R2 F D' R2 U R' B
D' F B L' R2 U R'
R F D' L2 R2 U R'
D' F B R2 L' U R'
R F D' R2 L2 U R'
D' F B' L' R2 U R'
D' F B' R2 L' U R'
R F D2 U R F2 B2
R F D2 U R B2 F2
R F D2 U B2 R F2
D' F B2 L' R2 U R'
D' F B2 R2 L' U R'
R F' L' B2 U F2 U
R F' L' B2 U2 D' L2
R F' L' B2 D R2 U2
R F' L' B2 D' U2 L2
B2 D' U F L' B' U
F D' R2 U D R' B
F D' R2 D U R' B
R F' B2 L' U F2 U
R F' B2 L' U2 D' L2
R F' B2 L' D R2 U2
R F' B2 L' D' U2 L2
R F' B2 U F2 U R
R F' B2 D L' R2 U2
R F' B2 D R2 L' U2
R F' B2 D' L' U2 L'
F D2 L U R F2 B'
F D2 L U R B' F2
F D2 L U B' R F2
D' B R2 F L' U R
D' B F L' R2 U R'
D' B F R2 L' U R'
D' B' R2 F L' U R
D' B' F L' R2 U R'
D' B' F R2 L' U R'
D' B2 R2 F L' U R
R' B2 U F U B' R'
D' B2 F L' R2 U R'
D' B2 F R2 L' U R'
R B2 F' L' U F2 U
R B2 F' L' U2 D' L2
R B2 F' L' D R2 U2
R B2 F' L' D' U2 L2
R B2 F' U F2 U R
R B2 F' D L' R2 U2
R B2 F' D R2 L' U2
R B2 F' D' L' U2 L'
