F' U F' R U2
F2 R U' F U' F'
D R2 U2 B U L'
F' U F' R U2 D
F' U F' R U2 D'
F' U F' R U2 D2
F' U F' R D U2
F' U F' R D' U2
F' U F' R D2 U2
F' U F' D R U2
F' U F' D' R U2
F' U F' D2 R U2
F' D R2 U' B L
U F2 R U' F U'
F' B U F' R U2
F' B' U F' R U2
B' F' U F' R U2
B2 F' U F' R U2
B F' U F' R U2
F' B2 U F' R U2
F2 L R U' L' F U'
U L F2 U' F U' L2
D2 L' U L F' U' B2
D L' U L F' R2 U'
U' L' U D F' R2 U'
D2 L' U F' L U' B2
U' L' U D2 F' U' B2
U' L' U F' R2 U' B
U' L' U F' U F' U2
D L' U F' L R2 U'
D L' U F' R2 L U'
U' L' U2 F2 U' F U'
U' L' D U F' R2 U'
U' L' D2 U F' U' B2
U' L' D2 B2 U F' U'
D2 L' F' L U' L' B2
D2 L' F' L U' B2 L'
D L' F' L R2 U' L'
D L' F' R2 L U' L'
F2 L2 R U' L2 F U'
D' L2 U2 F' L2 U' L'
L' U L D F' R2 U'
L' U L D2 F' U' B2
L' U L F' R2 U' B
L' U L F' U F' U2
D2 L2 F' L2 U' L' B2
D2 L2 F' L2 U' B2 L'
D L2 F' L2 R2 U' L'
D L2 F' R2 L2 U' L'
U L2 F2 U' F U' L
L' U D L F' R2 U'
L' U D F' L R2 U'
L' U D F' R2 L U'
L' U D2 L F' U' B2
F2 R L U' L' F U'
L' U D2 F' L U' B2
L' U F' L R2 U' B
L' U F' L U F' U2
F2 R L2 U' L2 F U'
L' U F' R2 L U' B
R U F' L' F' R U2
R' U F2 R U' F' U'
D2 R U' L' B' R' B'
F2 R U' D F U' F'
F2 R U' D' F U' F'
D2 R U' B' R' B' L'
F2 R U' D2 F U' F'
F2 R U' F L U' F'
F2 R U' F L' U' F'
F2 R U' F L2 U' F'
F2 R U' F U' D F'
F2 R U' F U' D' F'
F2 R U' F U' D2 F'
F2 R U' F U' F' D
F2 R U' F U' F' D'
F2 R U' F U' F' D2
F2 R U' F D U' F'
F2 R U' F D' U' F'
F2 R U' F D2 U' F'
F2 R D U' F U' F'
F2 R D' U' F U' F'
F2 R D2 U' F U' F'
R U' L' D2 B' R' B'
R U' L' B D2 B2 R'
R U' L' B' R' D2 B2
R U' L' B' D2 R' B2
U R F2 R U B U
F R F2 U F' R U2
F2 R B U' F U' F'
D2 R B' U' B' L' R'
D2 R B' U' B' R' L'
F2 R B' U' F U' F'
F2 R B2 U' F U' F'
R U' D2 L' B' R' B'
R U' D2 B' R' B' L'
F' R' U R F' R U2
F' R' U F' R F' U2
F' R' U' D2 L B' L
F' R' U' D2 B' L B'
R U' B L' D2 R2 B2
R U' B L' D2 B2 R2
R U' B D2 B2 L' R'
R U' B D2 B2 R' L'
F' R' D R' B R' U'
R U' B' L' R' D2 B2
R U' B' L' D2 R' B2
R U' B' R' L' D2 B2
R U' B' R' D2 L' B2
R U' B' R' D2 B2 L'
F' R' D B R' B U'
R U' B' D2 L' R' B2
R U' B' D2 R' L' B2
R U' B' D2 R' B2 L'
F' R' D2 U' L B' L
F' R' D2 U' B' L B'
F' R' D2 B' U' L B'
F2 R' F U R2 U2 B
F2 R' F U F' R2 U2
U R' F2 R U' F' U'
F R' F2 U F' R U2
R2 U2 D' B L2 U L
R2 U2 D2 B U L' B
R2 U2 D2 B U B L'
F' R2 U R2 F' R U2
F' R2 U F U2 L' B
F' R2 U F U2 B L'
F' R2 U F2 U2 B L
F' R2 U F2 U2 B L
L' U2 F2 U' F L U'
F' R2 U' D2 B' L B2
F' R2 U' F L' F' B
F' R2 U' F L' B F'
F' R2 U' F B L' F'
D R2 U' L' U' B U
F' R2 U' B F L' F'
F' R2 U' B2 D2 B' L
R2 U2 B U L' D2 B2
R2 U2 B U D2 L' B2
R2 U2 B U D2 B2 L'
F' R2 U2 F U L' B
F' R2 U2 F U B L'
R2 U2 B U' F2 R U2
D2 R2 U2 B U L' B
D2 R2 U2 B U B L'
D' R2 U2 B L2 U L
R2 U2 B D' L2 U L
R2 U2 B D2 U L' B2
R2 U2 B D2 U B2 L'
D R2 U2 D B U L'
D R2 U2 D' B U L'
D R2 U2 D2 B U L'
D R2 U2 B U L' D
D R2 U2 B U L' D'
D R2 U2 B U L' D2
D R2 U2 B U D L'
D R2 U2 B U D' L'
D R2 U2 B U D2 L'
D R2 U2 B D U L'
D R2 U2 B D' U L'
D R2 U2 B D2 U L'
D R2 D U2 B U L'
D R2 D' U2 B U L'
F' R2 D2 U' B' L B2
F' R2 D2 B' U' L B2
D R2 D2 U2 B U L'
F2 R2 F U F' R' U2
L D L' F' R2 B U'
D R2 F U2 B U L
F R2 F2 U F' R U2
R' D R2 B U' L' R'
R' D R2 B U' R' L'
L' D U L F' R2 U'
L' D U F' L R2 U'
L' D U F' R2 L U'
D R2 B' U' L' D' R2
D R2 B' U' D' L' R2
D R2 B' U' D' R2 L'
D R2 B' U2 B2 U L'
D R2 B' D' U' L' R2
F' R2 B2 U' D2 B' L
D R2 B' D' U' R2 L'
F' R2 B2 D2 U' B' L
D R2 B2 U2 B' U L'
U' D L' U F' R2 U'
F' U L' F' L R U2
F' U L' F' R L U2
L' D F' L R2 U' L'
R2 D F R2 F' U' L'
L' D F' R2 L U' L'
F' U L2 F' L2 R U2
F' U L2 F' R L2 U2
F' U R F U2 L' B'
F' U R F' R U2 B
R' D B R2 U' L' R
R' D B R2 U' R L'
F' U R' F' R F' U2
F' U R2 F U2 L' B
F' U R2 F U2 B L'
F' U R2 F2 U2 B L
U' D F' R2 U' F L'
F' U F R F2 R U2
F' U F R' F2 R U2
F' U F R2 F2 R U2
F' U F U2 L' D2 B2
F' U F U2 D2 L' B2
F' U F U2 D2 B2 L'
F' U F D2 U2 L' B2
F' U F D2 U2 B2 L'
F' U F' R' U2 D2 L2
F' U F' R' D2 U2 L2
F' U F' R2 D R' U2
F' U F' R2 D' R' U2
F' U F' R2 D2 R' U2
