F' L R2 U' F L'
F' R2 L U' F L'
L F L2 D R2 B2
L F L2 D B2 R2
L' F D B2 R2 F'
L F' R2 U' L2 F2
L F' R2 U' F2 L2
F' L R2 U' F L' D
F' L R2 U' F L' D'
F' L R2 U' F L' D2
F' L R2 U' F D L'
F' L R2 U' F D' L'
F' L R2 U' F D2 L'
F' L R2 B U' F L'
F' L R2 B' U' F L'
F' L R2 B2 U' F L'
R2 L U2 B U F L2
F' L U' F L' D B2
F' L U' F D L' B2
F' L U' F D B2 L'
F L D F R2 B2 L
D' L F L2 D R2 B'
D' L F L2 D B' R2
D' L F L2 B' D R2
B' L F L2 D R2 B2
B' L F L2 D B2 R2
B2 L F L2 D R2 B2
B2 L F L2 D B2 R2
D L F L2 B2 D R2
B L F L2 D R2 B2
B L F L2 D B2 R2
D L F B2 L2 D R2
U' L F' L' R2 U' L'
B' L F' R2 U' L2 F2
B' L F' R2 U' F2 L2
U' L F' R2 L' U' L'
B2 L F' R2 U' L2 F2
B2 L F' R2 U' F2 L2
D' L F' U' F2 L2 B'
D L F' U' L2 F2 B2
D L F' U' L2 B2 F2
B L F' R2 U' L2 F2
B L F' R2 U' F2 L2
D L F' U' F2 L2 B2
D L F' U' F2 B2 L2
D L F' U' B2 L2 F2
D L F' U' B2 F2 L2
F' L B R2 U' F L'
F' L B' R2 U' F L'
F' L B2 R2 U' F L'
D L B2 F L2 D R2
F' L' R2 U' L2 F L'
U2 L' U F' L' R2 U'
U2 L' U F' R2 L' U'
F L' D B2 R2 F' L'
B' L' F D B2 R2 F'
B2 L' F D B2 R2 F'
B L' F D B2 R2 F'
U' L' F' L' R2 U' L
D L' F B2 D R2 F'
U' L' F' R2 L' U' L
L R2 U2 B U F L2
D L' B2 F D R2 F'
F' L2 R2 U' L' F L'
F' L2 R2 U' F L' F
L' U L2 F' R2 U' F2
U' L2 F' L' R2 U' L2
U' L2 F' R2 L' U' L2
U L2 F' R2 U' L F
L U F L2 D R2 B2
L U F L2 D B2 R2
L' U F' L2 R2 U' F
L' U F' R2 L2 U' F
L' U F' R2 U B' U2
L U F' R2 U' L2 F2
L U F' R2 U' F2 L2
L U' F L2 D R2 B2
L U' F L2 D B2 R2
L U' F' R2 U' L2 F2
L U' F' R2 U' F2 L2
F' R2 L U' F L' D
F' R2 L U' F L' D'
F' R2 L U' F L' D2
F' R2 L U' F D L'
F' R2 L U' F D' L'
F' R2 L U' F D2 L'
F' R2 L B U' F L'
F' R2 L B' U' F L'
F' R2 L B2 U' F L'
F' R2 L' U' L2 F L'
F' R2 L2 U' L' F L'
F' R2 L2 U' F L' F
L U2 F L2 D R2 B2
L U2 F L2 D B2 R2
L U2 F' R2 U' L2 F2
L U2 F' R2 U' F2 L2
R2 U2 B R' U L' F'
L' U2 B' U' F' R2 U'
F' R2 D' L B' U' F
F' R2 B L U' F L'
F R2 F2 L U' F L'
F' R2 B' L U' F L'
F' R2 B2 L U' F L'
L' D F B2 D R2 F'
L' D B2 F D R2 F'
L D' F D L2 R2 B'
L D' F D L2 B' R2
L D' F D R2 L2 B'
L2 F L D B2 R2 F'
L F L D L R2 B2
L F L D L B2 R2
L F L D R2 L B2
L F L' D L' R2 B2
L F L' D L' B2 R2
L F L' D R2 L' B2
L F L' D R2 B2 L'
L F L' D B2 L' R2
L F L' D B2 R2 L'
L F L2 U R2 F2 U'
L F L2 U F2 R2 U'
L F L2 D R B2 R
L F L2 D R2 B2 D
L F L2 D R2 B2 D'
L F L2 D R2 B2 D2
L F L2 D B' R2 B'
L F L2 D B2 R2 D
L F L2 D B2 R2 D'
L F L2 D B2 R2 D2
L F L2 B D R2 B2
L F L2 B D B2 R2
L F L2 B' D R2 B2
L F L2 B' D B2 R2
L F L2 B2 D R2 B2
L F L2 B2 D B2 R2
L F R2 F2 U' L2 F2
L F R2 F2 U' F2 L2
L F U R2 F2 U' L2
L F U F2 R2 U' L2
F D L F R2 B2 L
L' F D F B2 R2 F'
L' F D F' B2 R2 F'
L' F D F2 B2 R2 F'
L' F D B2 R2 D F'
L' F D B2 R2 D' F'
L' F D B2 R2 D2 F'
L' F D B2 R2 F' D
L' F D B2 R2 F' D'
L' F D B2 R2 F' D2
L' F D B2 F R2 F'
L' F D B2 F' R2 F'
L' F D B2 F2 R2 F'
F D L' B2 R2 F' L'
L F D R2 B2 D' L2
L F D B2 R2 D' L2
L F B L2 D R2 B2
L F B L2 D B2 R2
L' F B2 D R2 F' B2
L' F B2 D R2 B2 F'
L F B' L2 D R2 B2
L F B' L2 D B2 R2
L F B2 L2 D R2 B2
L F B2 L2 D B2 R2
D F' L U' F L' B2
D F' L U' F B2 L'
D F' L U' B2 F L'
L2 F' L' R2 U' F L2
L F' L R2 U' L F2
L F' L R2 U' F2 L
L' F' L2 R2 U' F L2
L F' L' R2 U' L' F2
F D F R2 B2 L F
F D F' L' B2 R2 F'
L F' L2 F2 D R2 B2
L F' L2 F2 D B2 R2
L' F' R2 L2 U' F L2
L2 F' R2 L' U' F L2
L2 F' R2 U' L' F L2
L F' R2 L U' L F2
L F' R2 L U' F2 L
L F' R2 L' U' L' F2
U F' R2 U' L F L'
L F' R2 U' L F2 L
L F' R2 U' L2 F2 D
L F' R2 U' L2 F2 D'
L F' R2 U' L2 F2 D2
L F' R2 U' F' L2 F'
L F' R2 U' F2 L2 D
L F' R2 U' F2 L2 D'
L F' R2 U' F2 L2 D2
L F' R2 D' L2 B2 U'
L F' R2 D' B2 L2 U'
L F' R2 B U' L2 F2
L F' R2 B U' F2 L2
L F' R2 B' U' L2 F2
L F' R2 B' U' F2 L2
L F' R2 B2 U' L2 F2
L F' R2 B2 U' F2 L2
L F' U' L2 F2 D B2
L F' U' F2 L2 D B2
L F' B R2 U' L2 F2
L F' B R2 U' F2 L2
L F' B' R2 U' L2 F2
L F' B' R2 U' F2 L2
L F' B2 R2 U' L2 F2
L F' B2 R2 U' F2 L2
U B L F' R2 U' L2
F' B L R2 U' F L'
F' B R2 L U' F L'
L B F L2 D R2 B2
L B F L2 D B2 R2
L B F' R2 U' L2 F2
L B F' R2 U' F2 L2
B' F' L R2 U' F L'
F' B' L R2 U' F L'
B2 F' L R2 U' F L'
B F' L R2 U' F L'
B' F' R2 L U' F L'
F' B' R2 L U' F L'
B2 F' R2 L U' F L'
B F' R2 L U' F L'
L B' F L2 D R2 B2
L B' F L2 D B2 R2
L B' F' R2 U' L2 F2
L B' F' R2 U' F2 L2
R2 B2 L U' F L2 R
R2 B2 L U' F R L2
D B2 L F L2 D R2
F' B2 L R2 U' F L'
L' B2 U F' R2 U' F'
F' B2 R2 L U' F L'
L' B2 F D R2 F' B2
L' B2 F D R2 B2 F'
L B2 F L2 D R2 B2
L B2 F L2 D B2 R2
L B2 F' R2 U' L2 F2
L B2 F' R2 U' F2 L2
