B' L' F R D' F2
B2 D L' F B R
B2 D L' B F R
B2 D B L' F R
B' L F L2 R D' F2
B' L F R L2 D' F2
B L F U' L2 R B2
B L F U' L2 B2 R
B L F U' R L2 B2
B L F U' R B2 L2
B L F U' B2 L2 R
B L F U' B2 R L2
B L F' U' L2 B2 R'
B' L' R D' F R F
B' L' R F D' R F2
B' L' R F' D' F2 R
B' L' R2 U' R B U
B' L' R2 F D R F'
B' L' U' R B R2 U
B' L' U' R' U2 F' U'
B' L' D F R D' F2
B' L' D' F R D' F2
B2 L' D' F B R F'
B2 L' D' B F R F'
B' L' D2 F R D' F2
B' L' F R U' R2 U
B' L' F R D' F2 D
B' L' F R D' F2 D'
B' L' F R D' F2 D2
B' L' F R F D' F2
B' L' F R F' D' F2
B' L' F R F2 D' F2
B' L' F U' R' U R2
B L' F R B2 D F2
B' L' F D R D' F2
B' L' F D' R D' F2
B' L' F D2 R D' F2
B2 L' F D' B R F'
B2 L' F B R D' F2
B L' F B2 R D F2
B L' F B2 D R F2
B' L' F' R D' F2 R
B L' F' B2 D F2 R
B2 L' B F R D' F2
B L' B2 D F R F
B L' B2 F R D F2
B L' B2 F D R F2
B L' B2 F' D F2 R
B' L2 F L R D' F2
B' L2 F R L D' F2
B' L2 F R D' L F2
B' L2 F R D' F2 L
B' R L' D' F R F
B' R L' F D' R F2
B' R L' F' D' F2 R
B' R D' L' F R F
L' U' L U F R B'
L' U' L U F B' R
L' U' L U B' F R
F R B' U' R' F' U
U R' U B' L' F' R'
B2 R' D L' F R B
B' R2 L' U' R B U
B' R2 L' F D R F'
B' R2 U' R B U L'
B' R2 F D R F' L'
B U L F U' L2 B2
B U L F U' B2 L2
B' U B2 L F U' L2
B' U' R B R2 U L'
B2 D L' R' F R B
B' D L' F R D' F2
B2 D L' D F B R
B2 D L' D B F R
B2 D L' D' F B R
B2 D L' D' B F R
B2 D L' D2 F B R
B2 D L' D2 B F R
B2 D L' F D B R
B2 D L' F D' B R
B2 D L' F D2 B R
B2 D L' F B R D
B2 D L' F B R D'
B2 D L' F B R D2
B2 D L' F B D R
B2 D L' F B D' R
B2 D L' F B D2 R
B2 D L' F B' R B2
B2 D L' F B2 R B'
B2 D L' B R F R
B2 D L' B R' F R
B2 D L' B R2 F R
B2 D L' B D F R
B2 D L' B D' F R
B2 D L' B D2 F R
B2 D L' B F R D
B2 D L' B F R D'
B2 D L' B F R D2
B2 D L' B F D R
B2 D L' B F D' R
B2 D L' B F D2 R
B2 D L' B' F R B2
B2 D L' B2 F R B'
B2 D R' L' F R B
B2 D B L' R F R
B2 D B L' R' F R
B2 D B L' R2 F R
B2 D B L' D F R
B2 D B L' D' F R
B2 D B L' D2 F R
B2 D B L' F R D
B2 D B L' F R D'
B2 D B L' F R D2
B2 D B L' F D R
B2 D B L' F D' R
B2 D B L' F D2 R
B2 D B R L' F R
B2 D B R' L' F R
B2 D B R2 L' F R
B2 D B' L' F R B2
B2 D B' L' F B2 R
B2 D B' L' B2 F R
B' D' L' F R D' F2
B2 D' L' F B R F'
B2 D' L' B F R F'
B2 D' F B R F' L'
B2 D' B L' F R F'
B2 D' B D2 L' F R
B2 D' B F R F' L'
B' D2 L' F R D' F2
B2 D2 B D' L' F R
L' B U L F U' B'
U2 B U' B2 L' R' F'
U2 B U' B2 R' L' F'
B' F R D' F' L' F'
B' F R F D' F2 L'
B' F R F' L' D' F2
B' F R F' D' L' F2
B' F U' R' F' U R2
R' B' L' F R D' F2
D2 B' L' F R D' F2
D' B' L' F R D' F2
U2 B' L' F R' D' F2
R2 B' L' F R D' F2
D B' L' F R D' F2
U B' L' U' B' R' U
B2 F D' B R F' L'
R B' L' F R D' F2
F B' R D' F' L' F'
F B' R F D' F2 L'
F B' R F' L' D' F2
F B' R F' D' L' F2
F B' U' R' F' U R2
U2 B2 U' L' B R' F'
U2 B2 U' B L' R' F'
U2 B2 U' B R' L' F'
R' B2 D L' F B R
R' B2 D L' B F R
D2 B2 D L' F B R
D2 B2 D L' B F R
D' B2 D L' F B R
D' B2 D L' B F R
R' B2 D B L' F R
D2 B2 D B L' F R
D' B2 D B L' F R
R2 B2 D L' F B R
R2 B2 D L' B F R
D B2 D L' F B R
D B2 D L' B F R
R2 B2 D B L' F R
D B2 D B L' F R
R B2 D L' F B R
R B2 D L' B F R
R B2 D B L' F R
F B2 D' B R F' L'
