B' R U L' B2
B' R U B2 L'
B' L R U L2 B2
B' L R U B2 L2
B L' R' D' R2 F2
B L' R' D' F2 R2
B L' U' R B2 U
B L' U' B2 R U
B' L2 R U L B2
B' R L U L2 B2
B' R L U B2 L2
B' R L2 U L B2
B' R U L B2 L2
B' R U L' B2 D
B' R U L' B2 D'
B' R U L' B2 D2
B' R U B L' B
B' R U B2 L' D
B' R U B2 L' D'
B' R U B2 L' D2
B' R U B2 D L'
B' R U B2 D' L'
B' R U B2 D2 L'
B' R D L2 U L
B R B2 U L' B2
B R B2 U B2 L'
B R' L' D' R2 F2
B R' L' D' F2 R2
B R' D' L' R2 F2
B R' D' L' F2 R2
B R' D' R2 L' F2
R D B' L U L2
L' D' B R' D' F2
B U' R B2 U L'
B U' B2 R U L'
B' D L2 R U L
B' D R L2 U L
U' B' R U L' B2
U' B' R U B2 L'
D2 B' R U L' B2
D2 B' R U B2 L'
U2 B' R U L' B2
U2 B' R U B2 L'
D' B' R U L' B2
D' B' R U B2 L'
D B' R U L' B2
D B' R U B2 L'
U B' R U L' B2
U B' R U B2 L'
B' L R U L' B2 L'
B' L R U L2 B2 D
B' L R U L2 B2 D'
B' L R U L2 B2 D2
B' L R U B L2 B
B' L R U B2 L2 D
B' L R U B2 L2 D'
B' L R U B2 L2 D2
B' L R D L2 F2 U
B' L R D F2 L2 U
L R U L2 B' R' B
B' L R F U L2 B2
B' L R F U B2 L2
R L U L2 B' R' B
B' L R F' U L2 B2
B' L R F' U B2 L2
B' L R F2 U L2 B2
B' L R F2 U B2 L2
B L R B2 U L2 B2
B L R B2 U B2 L2
L R U B' L2 R' B
L R U B' R' L2 B
L R U B' R' B L2
R L U B' L2 R' B
R L U B' R' L2 B
R L U B' R' B L2
B L U' R B2 U L2
B L U' B2 R U L2
B' L D L2 R F2 U
B' L D R L2 F2 U
B' L D R F2 L2 U
B L B2 R U L2 B2
B L B2 R U B2 L2
B' L' R U B2 D L2
B' L' R D L2 U L2
B L' R D' R2 D' F2
B L' R' U' R2 B2 U
B L' R' U' B2 R2 U
B L' R' D' R' F2 R'
B L' R' D' R2 F2 D
B L' R' D' R2 F2 D'
B L' R' D' R2 F2 D2
B L' R' D' F R2 F
B L' R' D' F2 R2 D
B L' R' D' F2 R2 D'
B L' R' D' F2 R2 D2
B L' R' F D' R2 F2
B L' R' F D' F2 R2
R' L' D' R F2 B R'
R' L' D' R B R' F2
R' L' D' R B F2 R'
L' R' D' R F2 B R'
L' R' D' R B R' F2
L' R' D' R B F2 R'
B L' R' F' D' R2 F2
B L' R' F' D' F2 R2
B' L' R' B2 D' R2 F2
B' L' R' B2 D' F2 R2
B L' R' F2 D' R2 F2
B L' R' F2 D' F2 R2
B L' R2 U' R' B2 U
R' L' D' F2 R B R'
L' R' D' F2 R B R'
B L' U D2 F2 L' U'
B L' U' R U D' R2
B L' U' R D' U R2
B L' U' R B2 U D
B L' U' R B2 U D'
B L' U' R B2 U D2
B L' U' R B2 D U
B L' U' R B2 D' U
B L' U' R B2 D2 U
B L' U' R' B2 R2 U
B L' U' D' R U R
B L' U' B' R B' U
B L' U' B2 R U D
B L' U' B2 R U D'
B L' U' B2 R U D2
B L' U' B2 R D U
B L' U' B2 R D' U
B L' U' B2 R D2 U
B L' U' B2 D R U
B L' U' B2 D' R U
B L' U' B2 D2 R U
B' L' D L2 R U L2
B' L' D R L2 U L2
B L' D' R' D' R' F2
B L' D' R' D' F2 R'
B L' D' R2 U' R' U
D2 L' D' B R' D' F2
D' L' D' B R' D' F2
B L' D' U' R U R
U' L' D' B R' D' F2
U2 L' D' B R' D' F2
D L' D' B R' D' F2
U L' D' B R' D' F2
B L' D2 U F2 L' U'
B' L' B2 R' D' R2 F2
B' L' B2 R' D' F2 R2
B' L' B2 U' R B2 U
B' L' B2 U' B2 R U
B' L2 R U L B2 D
B' L2 R U L B2 D'
B' L2 R U L B2 D2
B' L2 R U L' B2 L2
B' L2 R U L2 B2 L'
B' L2 R D L2 U L'
B' L2 R F U L B2
B' L2 R F' U L B2
B' L2 R F2 U L B2
B L2 R B2 U B2 L
B L2 R' D' L R2 F2
B L2 R' D' L F2 R2
B L2 R' D' R2 L F2
B L2 R' D' R2 F2 L
B L2 R' D' F2 L R2
B L2 R' D' F2 R2 L
B' L2 D L2 R U L'
B' L2 D R L2 U L'
R U L' R' D' B R'
B' L2 F' U L F B2
B' L2 F' U L B2 F
R U R' L' D' B R'
R U R' B L' D' R2
R U R' B D' L' R2
R U R' B D' R2 L'
R' U R2 B' U L' B'
B' R L U L' B2 L'
B' R L U L2 B2 D
B' R L U L2 B2 D'
B' R L U L2 B2 D2
B' R L U B L2 B
B' R L U B2 L2 D
B' R L U B2 L2 D'
B' R L U B2 L2 D2
B' R L D L2 F2 U
B' R L D F2 L2 U
B' R L F U L2 B2
B' R L F U B2 L2
B' R L F' U L2 B2
B' R L F' U B2 L2
B' R L F2 U L2 B2
B' R L F2 U B2 L2
B' R L' U B2 D L2
B' R L' D L2 U L2
B R L B2 U L2 B2
B R L B2 U B2 L2
B R L' D' R2 D' F2
B' R L2 U L B2 D
B' R L2 U L B2 D'
B' R L2 U L B2 D2
B' R L2 U L' B2 L2
B' R L2 U L2 B2 L'
B' R L2 D L2 U L'
B' R L2 F U L B2
B' R L2 F' U L B2
B' R L2 F2 U L B2
B' R U L B L2 B
B' R U L B2 L2 D
B' R U L B2 L2 D'
B' R U L B2 L2 D2
B' R U L' R' B2 R
B' R U L' R2 B2 R2
B' R U L' B D B
B' R U L' B D' B
B' R U L' B D2 B
B' R U L' B' D B'
B' R U L' B' D' B'
B' R U L' B' D2 B'
B' R U R' L' B2 R
B' R U R' B2 L' R
B' R U R' B2 R L'
B' R U R2 L' B2 R2
B R L2 B2 U B2 L
B' R U R2 B2 L' R2
B' R U R2 B2 R2 L'
B' R U D' L' D B2
B' R U D2 L' D2 B2
L' U F2 L' F U' B
B' R U B L B L2
B' R U B L' D B
B' R U B L' D' B
B' R U B L' D2 B
B' R U B L' B D
B' R U B L' B D'
B' R U B L' B D2
B' R U B D L' B
B' R U B D B L'
B' R U B D' L' B
B' R U B D' B L'
B' R U B D2 L' B
