B2 L U' L2 B' R'
L' R B' D' R2 F2
L' R B' D' F2 R2
R L' B' D' R2 F2
R L' B' D' F2 R2
L' R U' B R2 U B2
B2 L U F U2 L2 R
B2 L U F U2 R L2
B2 L U' L2 R B' R'
B2 L U' L2 R' B' R'
B2 L U' L2 R2 B' R'
B2 L U' L2 D B' R'
B2 L U' L2 D' B' R'
B2 L U' L2 D2 B' R'
B2 L U' L2 B' R' D
B2 L U' L2 B' R' D'
B2 L U' L2 B' R' D2
B2 L U' L2 B' D R'
B2 L U' L2 B' D' R'
B2 L U' L2 B' D2 R'
B2 L U' R L2 B' R'
B2 L U' R' L2 B' R'
B2 L U' R2 L2 B' R'
B2 L U' B' L2 R' B'
B2 L U' B' R' L2 B'
L' R D' F2 B' D' R2
L' R D' B' F2 D' R2
L' R F B' D' R2 F2
L' R F B' D' F2 R2
L' R F' B' D' R2 F2
L' R F' B' D' F2 R2
L' R F2 B' D' R2 F2
L' R F2 B' D' F2 R2
L R B R2 U L2 B'
R L B R2 U L2 B'
L' R B' U' R2 B2 U
L' R B' U' B2 R2 U
L' R B' D' R' F2 R'
L' R B' D' R2 F2 D
L' R B' D' R2 F2 D'
L' R B' D' R2 F2 D2
L' R B' D' F R2 F
L' R B' D' F2 R2 D
L' R B' D' F2 R2 D'
L' R B' D' F2 R2 D2
L' R B' F D' R2 F2
L' R B' F D' F2 R2
L' R B' F' D' R2 F2
L' R B' F' D' F2 R2
L' R B' F2 D' R2 F2
L' R B' F2 D' F2 R2
B2 L B U' L2 B' R'
L' R' U F' U' F B'
L' R' U F' U' B' F
R' L' U F' U' F B'
R' L' U F' U' B' F
B2 L B' U' L2 B' R'
R L' U' B R2 U B2
B2 L B2 U' L2 B' R'
L2 R' U2 F' U' L B'
D2 L' R B' D' R2 F2
D2 L' R B' D' F2 R2
D' L' R B' D' R2 F2
D' L' R B' D' F2 R2
U2 L' R B D' R2 F2
U2 L' R B D' F2 R2
D L' R B' D' R2 F2
D L' R B' D' F2 R2
R L' D' F2 B' D' R2
R L' D' B' F2 D' R2
R L' F B' D' R2 F2
R L' F B' D' F2 R2
R L' F' B' D' R2 F2
R L' F' B' D' F2 R2
R L' F2 B' D' R2 F2
R L' F2 B' D' F2 R2
R' L' B' U F' U' F
L' R' B' U F' U' F
R L' B' U' R2 B2 U
R L' B' U' B2 R2 U
R L' B' D' R' F2 R'
R L' B' D' R2 F2 D
R L' B' D' R2 F2 D'
R L' B' D' R2 F2 D2
R L' B' D' F R2 F
R L' B' D' F2 R2 D
R L' B' D' F2 R2 D'
R L' B' D' F2 R2 D2
R L' B' F D' R2 F2
R L' B' F D' F2 R2
R L' B' F' D' R2 F2
R L' B' F' D' F2 R2
R L' B' F2 D' R2 F2
R L' B' F2 D' F2 R2
R' L2 U2 F' U' L B'
B L2 U' L F B' R'
B L2 U' L B' R' F
B L2 U' L B' F R'
D2 R L' B' D' R2 F2
D2 R L' B' D' F2 R2
D' R L' B' D' R2 F2
D' R L' B' D' F2 R2
U2 R L' B D' R2 F2
U2 R L' B D' F2 R2
D R L' B' D' R2 F2
D R L' B' D' F2 R2
R' U F' U' F L' B'
F2 R U B L R2 U
F2 R U B R2 L U
R U B L R2 U L2
R U B R2 L U L2
L' U' R' B U B2 R'
L' U' R' B2 U B R'
L' U' B U B2 R' F'
R U' B R2 U L' B'
L2 U2 R' U L B' R'
L U2 R' U L2 B' R'
U' R' B' U L' R' B'
U' R' B' U R' L' B'
L' D R B' D' R2 F2
L' D R B' D' F2 R2
R D' L' F2 B' D' R2
R D' L' B' F2 D' R2
L' D' R B' D' R2 F2
L' D' R B' D' F2 R2
L' D2 R B' D' R2 F2
L' D2 R B' D' F2 R2
L' F R B' D' R2 F2
L' F R B' D' F2 R2
B2 D L U' L2 B' R'
L' F' R B' D' R2 F2
L' F' R B' D' F2 R2
B2 D' L U' L2 B' R'
L' F2 R B' D' R2 F2
L' F2 R B' D' F2 R2
B2 D2 L U' L2 B' R'
R B L R2 U L2 B'
R B L2 R2 U L B'
R B R2 L U L2 B'
R B R2 L2 U L B'
L' B' R U' B R' U
R B' L' D' R2 F2 B'
R B' L' D' R2 B' F2
R B' L' D' F2 R2 B'
R B' L' D' F2 B' R2
R B' L' D' B' R2 F2
R B' L' D' B' F2 R2
L' B' R2 D' R F' R
L' B' R2 D' F' R F'
R B' D' L' R2 F2 B'
R B' D' L' R2 B' F2
R B' D' L' F2 R2 B'
R B' D' L' F2 B' R2
R B' D' L' B' R2 F2
R B' D' L' B' F2 R2
R B' D' R2 L' F2 B'
R B' D' R2 L' B' F2
D2 B2 L U' L2 B' R'
D' B2 L U' L2 B' R'
D B2 L U' L2 B' R'
L B2 L U' L B' R'
