R' L U R' B' L2
B2 L U' R2 B' L2
B2 L U' R2 B' L2
B2 L U' B' L2 R2
B2 L U' B' R2 L2
L R' U R' B' L2
R' U L R' B' L2
R' U R' L B' L2
R' U D2 L' R' B
R' U D2 R' L' B
R' U D2 R' B L'
R' D2 U L' R' B
R' D2 U R' L' B
R' D2 U R' B L'
B2 L R U' R B' L2
B2 L R U' B' L2 R
B2 L R U' B' R L2
R' L U R B' L2 R2
R' L U R B' R2 L2
R' L U R' B L2 B2
R' L U R' B' L2 D
R' L U R' B' L2 D'
R' L U R' B' L2 D2
R' L U R' B2 L2 B
R' L U R2 B' L2 R
R' L U R2 B' R L2
U' L R' U R' B' L2
U2 L R' U R' B' L2
B2 L R' U' R' B' L2
U L R' U R' B' L2
R2 L U' R U B' L2
B2 L R2 B' L2 D F2
B2 L U B' L2 R2 F'
B2 L U B' R2 L2 F'
B2 L U B' R2 F' L2
R' L D F2 U R' B'
B2 L U' R B' L2 R
B2 L U' R B' R L2
B2 L U' R2 B L2 B2
B2 L U' R2 B' L2 D
B2 L U' R2 B' L2 D'
B2 L U' R2 B' L2 D2
B2 L U' R2 B2 L2 B
L' R D' R' F2 R2 B
B2 L U' B L2 R2 B2
B2 L U' B L2 B2 R2
B2 L U' B R2 L2 B2
B2 L U' B R2 B2 L2
B2 L U' B' L2 R2 D
B2 L U' B' L2 R2 D'
B2 L U' B' L2 R2 D2
B2 L U' B' R2 L2 D
B2 L U' B' R2 L2 D'
B2 L U' B' R2 L2 D2
B2 L U' B2 L2 B R2
R' L F U R' B' L2
R' L F' U R' B' L2
B2 L D' F2 B2 U' B
B2 L D' B2 F2 U' B
R' L F2 U R' B' L2
B2 L F U' R2 B' L2
B2 L F U' B' L2 R2
B2 L F U' B' R2 L2
B2 L F' U' R2 B' L2
B2 L F' U' B' L2 R2
B2 L F' U' B' R2 L2
R2 L B' L2 U' R U
L R B' L2 D' R F2
R L B' L2 D' R F2
R2 L B' U' R U L2
B2 L F2 U' R2 B' L2
B2 L F2 U' B' L2 R2
B2 L F2 U' B' R2 L2
B2 L B U' L2 R2 B2
B2 L B U' L2 B2 R2
B2 L B U' R2 L2 B2
B2 L B U' R2 B2 L2
B2 L B U' B2 L2 R2
B2 L B U' B2 R2 L2
L R' U R B' L2 R2
L R' U R B' R2 L2
L R' U R' B L2 B2
L R' U R' B' L2 D
L R' U R' B' L2 D'
L R' U R' B' L2 D2
L R' U R' B2 L2 B
L R' U R2 B' L2 R
L R' U R2 B' R L2
B2 L B' L2 R2 D F2
B2 L B' R2 L2 D F2
R2 L' U' L2 R U B'
R2 L' U' R L2 U B'
R2 L' U' R U' F U2
B2 L B2 U' L2 B R2
B2 L B2 U' B L2 R2
B2 L B2 U' B R2 L2
L R' D F2 U R' B'
B2 L' R2 U L2 U' B'
R L' D' R' F2 R2 B
B2 L' U L2 U' R2 B'
B2 L' U L2 U' B' R2
L R' F U R' B' L2
L R' F' U R' B' L2
L R' F2 U R' B' L2
B2 L' D F2 D' R2 B
L' R2 U' L2 R U B'
L' R2 U' R L2 U B'
L' R2 U' R U' F U2
L R2 U' R U B' L2
B2 L' F2 R2 D F2 B
B2 L' F2 R2 D B F2
B2 L' F2 R2 B D F2
D2 L2 U R' U L B
L R2 B' L2 U' R U
L R2 B' U' R U L2
R' U L R B' L2 R2
R' U L R B' R2 L2
R' U L R' B L2 B2
R' U L R' B' L2 D
R' U L R' B' L2 D'
R' U L R' B' L2 D2
R' U L R' B2 L2 B
R' U L R2 B' L2 R
R' U L R2 B' R L2
R' U L' R' U2 F U2
R' U L' U2 F U2 R'
R' U R L B' L2 R2
R' U R L B' R2 L2
R' U R' L B L2 B2
R' U R' L B' L2 D
R' U R' L B' L2 D'
R' U R' L B' L2 D2
R' U R' L B2 L2 B
R' U R' L' U2 F U2
R' U R' B L B' L2
R' U R' B' L B' L2
L U R' U R' B' L2
R' U R' B2 L B' L2
R' U R2 L B' L2 R
R' U R2 L B' R L2
R' U D L' D R' B
R' U D' L' D' R' B
R' U D2 L R' B L2
R' U D2 L' R' D B
R' U D2 L' R' D' B
R' U D2 L' R' D2 B
R' U D2 L' R' B D
R' U D2 L' R' B D'
R' U D2 L' R' B D2
B2 R L U' R B' L2
B2 R L U' B' L2 R
B2 R L U' B' R L2
R' U D2 R' L B L2
R' U D2 R' L' D B
R' U D2 R' L' D' B
R' U D2 R' L' D2 B
R' U D2 R' L' B D
R' U D2 R' L' B D'
R' U D2 R' L' B D2
R' U D2 R' D L' B
R' U D2 R' D B L'
R' U D2 R' D' L' B
R' U D2 R' D' B L'
R' U D2 R' D2 L' B
R' U D2 R' D2 B L'
R' U D2 R' B L' D
R' U D2 R' B L' D'
R' U D2 R' B L' D2
R' U D2 R' B D L'
R' U D2 R' B D' L'
R' U D2 R' B D2 L'
R' U D2 R' B' L' B2
R' U B L B' L2 R'
R' U B L B' R' L2
D R D' L' F2 R2 B
R' U' L U2 R' B' L2
R2 U' L R U B' L2
L' U' L2 R' U R' B'
R2 U' R L U B' L2
R2 U' R U L B' L2
L' U' R' L2 U R' B'
L' U' R' U' F U2 R'
L U' R' U R' B' L2
U' R' L U R' B' L2
B2 R' L U' R' B' L2
U2 R' L U R' B' L2
U R' L U R' B' L2
U' R' U L R' B' L2
U' R' U R' L B' L2
U2 R' U L R' B' L2
D2 R' U D2 L' B R2
D2 R' U D2 B L' R2
D2 R' U D2 B R2 L'
U' R' U D2 L' R' B
U' R' U D2 R' L' B
U' R' U D2 R' B L'
U2 R' U R' L B' L2
F2 R' U R' B2 L B'
D2 R' U B D2 L' R2
D2 R' U B D2 R2 L'
F2 R' U D2 L2 R' B
F2 R' U D2 R' L2 B
F2 R' U D2 R' B L2
U2 R' U D2 L' R' B
U2 R' U D2 R' L' B
U2 R' U D2 R' B L'
U R' U L R' B' L2
D2 R' U' L2 U2 L B
U R' U R' L B' L2
U R' U D2 L' R' B
U R' U D2 R' L' B
U R' U D2 R' B L'
D2 R' D' B2 U B' L'
D2 R' D2 U L' B R2
D2 R' D2 U B L' R2
D2 R' D2 U B R2 L'
U' R' D2 U L' R' B
U' R' D2 U R' L' B
U' R' D2 U R' B L'
F2 R' D2 U L2 R' B
F2 R' D2 U R' L2 B
F2 R' D2 U R' B L2
U2 R' D2 U L' R' B
U2 R' D2 U R' L' B
U2 R' D2 U R' B L'
U R' D2 U L' R' B
U R' D2 U R' L' B
U R' D2 U R' B L'
L U2 R' U R' B' L2
B2 R2 L B' L2 D F2
B2 R2 L' U L2 U' B'
L' U2 F U R' U R'
B2 R2 U L U' B' L2
L' D R D' F2 R2 B
R' D U L' D R' B
L D R' F2 B2 U B
L D R' B2 F2 U B
B2 U L U' R2 B' L2
B2 U L U' B' L2 R2
B2 U L U' B' R2 L2
L D F2 R' B2 U B
R' D' U L' D' R' B
B2 U' L U' R2 B' L2
B2 U' L U' B' L2 R2
B2 U' L U' B' R2 L2
B U' L R2 F B' L2
B U' L R2 B' F L2
B U' L F R2 B' L2
B U' L F B' L2 R2
B U' L F B' R2 L2
B U' L B' R2 F L2
B U' L B' F L2 R2
B U' L B' F R2 L2
L D' F2 B2 L U' B
B U' R2 L F B' L2
B U' R2 L B' F L2
R' D2 L U L2 R' B
R' D2 L U R' L2 B
R' D2 L U R' B L2
L D' B2 L F2 U' B
L D' B2 F2 L U' B
R' D2 L2 U L R' B
R' D2 L2 U R' L B
R' D2 U L R' B L2
R' D2 U L' R' D B
R' D2 U L' R' D' B
R' D2 U L' R' D2 B
R' D2 U L' R' B D
R' D2 U L' R' B D'
R' D2 U L' R' B D2
R' D2 U R' L B L2
R' D2 U R' L' D B
R' D2 U R' L' D' B
R' D2 U R' L' D2 B
R' D2 U R' L' B D
R' D2 U R' L' B D'
R' D2 U R' L' B D2
R' D2 U R' D L' B
R' D2 U R' D B L'
R' D2 U R' D' L' B
R' D2 U R' D' B L'
R' D2 U R' D2 L' B
R' D2 U R' D2 B L'
R' D2 U R' B L' D
R' D2 U R' B L' D'
R' D2 U R' B L' D2
R' D2 U R' B D L'
R' D2 U R' B D' L'
R' D2 U R' B D2 L'
R' D2 U R' B' L' B2
B2 U2 L U' R2 B' L2
B2 U2 L U' B' L2 R2
B2 U2 L U' B' R2 L2
L F R' U R' B' L2
L F' R' U R' B' L2
R2 F2 L D F2 B' L'
R2 F2 L D B' F2 L'
R2 F2 L B' D F2 L'
L' F2 R D' R F2 B
L' F2 R D' R B F2
L' F2 R2 B U' R U
L F2 R' U R' B' L2
L' F2 U' R' U R' B
L B' L' R2 D L' F
L B' L2 R D' R F'
L B' R L2 D' R F'
L B' R2 L' D L' F
U' B2 L U' R2 B' L2
U' B2 L U' B' L2 R2
U' B2 L U' B' R2 L2
U2 B2 L U' R2 B' L2
U2 B2 L U' B' L2 R2
U2 B2 L U' B' R2 L2
L B2 L U' L B R2
U B2 L U' R2 B' L2
U B2 L U' B' L2 R2
U B2 L U' B' R2 L2
R' B2 U' L U2 B' L2
