B2 L F' R U L2
R' U' D' L' R2 F
R' U' D' L' F R2
R' U' D' R2 L' F
D' R' U' L' R' F
D' R' U' L' F R'
D' R' U' R' L' F
R' D' U' L' R2 F
R' D' U' L' F R2
R' D' U' R2 L' F
B2 D' L U L2 F
B2 L R F' R U L2
D' L R' U' L2 R' F
D' L R' U' L2 F R'
D' L R' U' R' L2 F
B2 L R' F' R U L2
B2 L R2 F' R U L2
B2 L U L' D' L' F
B2 L D R F2 U F
B2 L D F2 R U F'
B2 L F U2 L' U' L'
B2 L F D F2 R U
B2 L F' R U L2 D
B2 L F' R U L2 D'
B2 L F' R U L2 D2
B2 L F' R D F2 U
B2 L F' R F U L2
B2 L F' R F' U L2
B2 L F' R F2 U L2
B2 L F' D R F2 U
B2 L F2 U L F L
D' L' R D R F B2
D' L' R D R B2 F
D' L' R D B2 R F
D' L' R2 U R U' F
D' L' U R' U' R' F
D' L' U R' U' F R'
D' L' F R D R B2
D' L' F R D B2 R
D' L' F R2 U R U'
D' L' F U R' U' R'
B2 L' F' L2 R U L2
B2 L' F' R L2 U L2
D L' F2 R D F' B2
D L' F2 R D B2 F'
D L' F2 R F' D B2
B2 L2 D' L' U F L2
R' U D' L' F R2 B
B2 R L F' R U L2
D' R L' D R F B2
D' R L' D R B2 F
D' R L' D B2 R F
D2 R D L' R2 F B2
D2 R D L' R2 B2 F
D2 R D L' F R2 B2
D2 R D L' F B2 R2
D2 R D L' B2 R2 F
D2 R D L' B2 F R2
D2 R D R2 L' F B2
D2 R D R2 L' B2 F
D2 R D R2 B2 L' F
D2 R D B2 L' R2 F
D2 R D B2 L' F R2
D2 R D B2 R2 L' F
B2 R D' L U L2 F
R' U' R D' L' R2 F
R' U' R D' L' F R2
R' U' R D' R2 L' F
R' U' R' D' L' R2 F
R' U' R' D' L' F R2
R' U' R' D' R2 L' F
R' U' R2 D' L' R2 F
R' U' R2 D' L' F R2
R' U' R2 D' R2 L' F
R' U' D L' F2 R F'
R' U' D' L' R' F R'
R' U' D' L' R2 D F
R' U' D' L' R2 D' F
R' U' D' L' R2 D2 F
R' U' D' L' R2 F D
R' U' D' L' R2 F D'
R' U' D' L' R2 F D2
R' U' D' L' F R2 D
R' U' D' L' F R2 D'
R' U' D' L' F R2 D2
R' U' D' L' F' R2 F2
R' U' D' R' L' F R'
R' U' D' R2 L' D F
R' U' D' R2 L' D' F
R' U' D' R2 L' D2 F
R' U' D' R2 L' F D
R' U' D' R2 L' F D'
R' U' D' R2 L' F D2
D' R' L U' L2 R' F
D' R' L U' L2 F R'
D' R' L U' R' L2 F
B2 R' L F' R U L2
D' R' U' L' R F R2
D' R' U' L' R' D F
D' R' U' L' R' D' F
D' R' U' L' R' D2 F
D' R' U' L' R' F D
D' R' U' L' R' F D'
D' R' U' L' R' F D2
D' R' U' L' D R' F
D' R' U' L' D F R'
D' R' U' L' D' R' F
D' R' U' L' D' F R'
D' R' U' L' D2 R' F
D' R' U' L' D2 F R'
D' R' U' L' F R' D
D' R' U' L' F R' D'
D' R' U' L' F R' D2
D' R' U' L' F D R'
D' R' U' L' F D' R'
D' R' U' L' F D2 R'
D' R' U' L' F' R' F2
D' R' U' R L' F R2
D' R' U' R' L' D F
D' R' U' R' L' D' F
D' R' U' R' L' D2 F
D' R' U' R' L' F D
D' R' U' R' L' F D'
D' R' U' R' L' F D2
D R' U B L2 U2 L
D2 R' U' D L' R2 F
D2 R' U' D L' F R2
D2 R' U' D R2 L' F
U' R' U' D' L' R2 F
U' R' U' D' L' F R2
U' R' U' D' R2 L' F
U2 R' U' D' L' R2 F
U2 R' U' D' L' F R2
U2 R' U' D' R2 L' F
D R' U' D2 L' R2 F'
D R' U' D2 R2 L' F'
U R' U' D' L' R2 F
U R' U' D' L' F R2
U R' U' D' R2 L' F
D2 R' D U' L' R2 F
D2 R' D U' L' F R2
D2 R' D U' R2 L' F
B2 R' D' L U L2 F
U' R' D' U' L' R2 F
U' R' D' U' L' F R2
U' R' D' U' R2 L' F
U2 R' D' U' L' R2 F
U2 R' D' U' L' F R2
U2 R' D' U' R2 L' F
U R' D' U' L' R2 F
U R' D' U' L' F R2
U R' D' U' R2 L' F
D R' D2 U' L' R2 F'
D R' D2 U' R2 L' F'
D2 R' B' L F2 U' L2
B2 R2 L F' R U L2
D' R2 L' U R U' F
D' R2 U R U' L' F
R' U2 B2 U D' L' F
R' U2 B2 D' U L' F
B2 R2 D' L U L2 F
R D L' F2 R F' B2
R D L' F2 R B2 F'
R D L' F2 B2 R F'
R D L' B2 F2 R F'
R' D U' L' F2 R F'
D' U R' U' L' R' F
D' U R' U' L' F R'
D' U R' U' R' L' F
R' D' L U' L2 R2 F
R' D' L U' L2 F R2
R' D' L U' R2 L2 F
B2 U D' L' D' F B2
B2 U D' L' D' B2 F
B2 U D' L' F D' B2
R D B2 L' F2 R F'
R' D' L' R2 D F B2
R' D' L' R2 D B2 F
R' D' L' R2 F D B2
R D B2 D2 L' R2 F
R D B2 D2 L' F R2
R D B2 D2 R2 L' F
R' D' L' F R2 D B2
R D' L' R2 D2 F B2
R D' L' R2 D2 B2 F
R D' L' F' R2 F2 B
R D' L' F' R2 B F2
R2 D' R U' L' R F
R2 D' R U' R L' F
R' D' R2 L' D F B2
R' D' R2 L' D B2 F
R' D' R2 L' F D B2
R' D' U L' F R2 B
R D' R2 L' D2 F B2
R D' R2 L' D2 B2 F
R' D' U' L' R' F R'
R' D' U' L' R2 D F
R' D' U' L' R2 D' F
R' D' U' L' R2 D2 F
R' D' U' L' R2 F D
R' D' U' L' R2 F D'
R' D' U' L' R2 F D2
R' D' U' L' F R2 D
R' D' U' L' F R2 D'
R' D' U' L' F R2 D2
R' D' U' L' F' R2 F2
R' D' U' R' L' F R'
R' D' U' R2 L' D F
R' D' U' R2 L' D' F
R' D' U' R2 L' D2 F
R' D' U' R2 L' F D
R' D' U' R2 L' F D'
R' D' U' R2 L' F D2
U' D' R' U' L' R' F
U' D' R' U' L' F R'
D' U' R' U' L' R' F
U' D' R' U' R' L' F
D' U' R' U' L' F R'
D' U' R' U' R' L' F
U2 D' R' U' L' R' F
U2 D' R' U' L' F R'
U2 D' R' U' R' L' F
U D' R' U' L' R' F
U D' R' U' L' F R'
U D' R' U' R' L' F
R' D' B U' L' R2 F
R' D' B U' L' F R2
R' D' B U' R2 L' F
R' D' B' U' L' R2 F
R' D' B' U' L' F R2
R' D' B' U' R2 L' F
R' D' B2 U' L' R2 F
R' D' B2 U' L' F R2
R' D' B2 U' R2 L' F
D' U2 R' U' L' R' F
D' U2 R' U' L' F R'
D' U2 R' U' R' L' F
R' D2 B' L F2 U' L2
B2 D L R U L2 F'
B2 D L R U F' L2
B2 D R L U L2 F'
B2 D R L U F' L2
B2 D' L R U L2 F
B2 D' L R' U L2 F
B2 D' L R2 U L2 F
L' F' U' B2 L R U
B2 D' L U L2 D F
B2 D' L U L2 D' F
L' F' U' B2 R L U
B2 D' L U L2 D2 F
B2 D' L U L2 F D
B2 D' L U L2 F D'
B2 D' L U L2 F D2
B2 D' L U F L2 F
B2 D' L U F' L2 F
B2 D' L U F2 L2 F
B2 D' L U' B' U2 L2
B2 D' L F U L2 F
B2 D' L F' U L2 F
B2 D' L F2 U L2 F
B2 D' R L U L2 F
B2 D' R' L U L2 F
B2 D' R2 L U L2 F
L' F' B2 L R U L'
L' F' B2 R L U L'
B2 D' U L' D' F B2
B2 D' U L' D' B2 F
B2 D' U L' F D' B2
L F' B2 L R U L
L F' B2 R L U L
B D' B L U L2 F
L F2 B2 L U L F
B D2 B L R' U L2
B D2 B R' L U L2
D' B U' L' R2 F B'
D' B U' L' R2 B' F
D' B U' L' F R2 B'
D' B U' L' F B' R2
D' B U' L' B' R2 F
D' B U' L' B' F R2
D' B U' R2 L' F B'
D' B U' R2 L' B' F
R' B' L2 F L' U' L2
B2 F' L R F U L'
B2 F' L D R F' U
B2 F' R L F U L'
B2 F' R F L U L2
B2 F' D L R F' U
B2 F' D R L F' U
B2 F' D R F' L U
D' B2 L U L2 R2 F
D' B2 L U L2 F R2
U' B2 L F' R U L2
D' B2 L U R2 L2 F
L' B2 L U D' L' F
L' B2 L D' U L' F
D' B2 L' R2 D' F B2
D' B2 L' R2 D' B2 F
D' B2 L' R2 F D' B2
U2 B2 L F' R U L2
D' B2 L' F R2 D' B2
F' B2 L R F U L'
L B2 L F' R U L
U B2 L F' R U L2
L B2 L F2 U L F
F' B2 L D R F' U
B2 F2 L U' R B U2
F2 B2 L U' R B U2
D' B2 R2 L' D' F B2
D' B2 R2 L' D' B2 F
D' B2 R2 L' F D' B2
F' B2 R L F U L'
F' B2 R F L U L2
U' B2 D' L U L2 F
U2 B2 D' L U L2 F
