U' R U' L' F' B
U' R U' L' B F'
U' R U' B L' F'
F U' R B U' F'
U' L R U' L2 F' B
U' L R U' L2 B F'
U' L R U' F' L2 B
U' L R U' F' B L2
U' L R U' B L2 F'
U' L R U' B F' L2
U L R U L2 F' B'
U L R U L2 B' F'
L2 R F' L D' B2 R'
U2 L' U R U' F' B
U2 L' U R U' B F'
D2 L' F R' D B2 R'
D2 L' F B2 R' D B2
U L' B' R D' F' R
D2 L' B2 F R' D B2
U' L2 R U' L F' B
U' L2 R U' L B F'
U' L2 R U' F' L B
U L2 R U L F' B'
U L2 R U L B' F'
U L2 R U F' L B'
R L2 F' L D' B2 R'
R U L U L2 F' B'
R U L U L2 B' F'
R2 U L2 U L F B'
R2 U L2 U L B' F
R U L2 U L F' B'
R U L2 U L B' F'
R U L2 U F' L B'
U' R L U' L2 F' B
U' R L U' L2 B F'
U' R L U' F' L2 B
U' R L U' F' B L2
U' R L U' B L2 F'
U' R L U' B F' L2
U R L U L2 F' B'
U R L U L2 B' F'
U' R L2 U' L F' B
U' R L2 U' L B F'
U' R L2 U' F' L B
U R L2 U L F' B'
U R L2 U L B' F'
U R L2 U F' L B'
U' R U' L F' L2 B
U' R U' L F' B L2
U' R U' L B L2 F'
U' R U' L B F' L2
U' R U' L' D F' B
U' R U' L' D B F'
U' R U' L' D' F' B
U' R U' L' D' B F'
U' R U' L' D2 F' B
U' R U' L' D2 B F'
U' R U' L' F' D B
U' R U' L' F' D' B
U' R U' L' F' D2 B
U' R U' L' F' B D
U' R U' L' F' B D'
U' R U' L' F' B D2
U' R U' L' B D F'
U' R U' L' B D' F'
U' R U' L' B D2 F'
U' R U' L' B F' D
U' R U' L' B F' D'
U' R U' L' B F' D2
U' R U' L2 F' L B
U2 R U' L' F' R' B'
U' R U' D L' F' B
U' R U' D L' B F'
U' R U' D B L' F'
U' R U' D' L' F' B
U' R U' D' L' B F'
U' R U' D' B L' F'
U' R U' D2 L' F' B
U' R U' D2 L' B F'
U' R U' D2 B L' F'
U' R U' B L F' L2
U' R U' B L' D F'
U' R U' B L' D' F'
U' R U' B L' D2 F'
U' R U' B L' F' D
U' R U' B L' F' D'
U' R U' B L' F' D2
U' R U' B L2 F' L
U' R U' B D L' F'
U' R U' B D' L' F'
U' R U' B D2 L' F'
U' R U' B' L' F' B2
U' R U' B' L' B2 F'
F2 R U2 F' U R U'
U' R D U' L' F' B
U' R D U' L' B F'
U' R D U' B L' F'
U' R D' U' L' F' B
U' R D' U' L' B F'
U' R D' U' B L' F'
U' R D2 U' L' F' B
U' R D2 U' L' B F'
U' R D2 U' B L' F'
F2 R F U L' U F2
U' R B' U' L' F' B2
U' R B' U' L' B2 F'
U' R B' U' B2 L' F'
U' R B2 U' B' L' F'
L U' F2 L2 R F' B
L U' F2 L2 R B F'
L U' F2 R L2 F' B
L U' F2 R L2 B F'
L U' F2 R F' L2 B
L U' F2 R F' B L2
L U' F2 R B L2 F'
L U' F2 R B F' L2
F R' D B U2 B L
R U2 B L' D' F' B2
R U2 B L' D' B2 F'
R U2 B L' F' D' B2
F2 R2 D R' U2 F' B
F2 R2 D R' U2 B F'
D2 U L U L2 F B'
D2 U L U L2 B' F
D2 U' R U' L' F B
D2 U' R U' L' B F
D2 U' R U' B L' F
F U' L R B U' F'
F U' L' R B U' F'
B' U' R U' L' F' B
B' U' R U' L' B F'
B' U' R U' B L' F'
B2 U' R U' L' F' B
B2 U' R U' L' B F'
F U' L2 R B U' F'
B2 U' R U' B L' F'
B U' R U' L' F' B
B U' R U' L' B F'
B U' R U' B L' F'
F U' R L B U' F'
F U' R L' B U' F'
F U' R L2 B U' F'
F U' R D B U' F'
F U' R D' B U' F'
F U' R D2 B U' F'
F U' R B L U' F'
F U' R B L' U' F'
F U' R B L2 U' F'
F U' R B U' D F'
F U' R B U' D' F'
F U' R B U' D2 F'
F U' R B U' F' D
F U' R B U' F' D'
F U' R B U' F' D2
F U' R B D U' F'
F U' R B D' U' F'
F U' R B D2 U' F'
U D2 L U L2 F B'
U D2 L U L2 B' F
U' D2 R U' L' F B
U' D2 R U' L' B F
U' D2 R U' B L' F
F U' B R B U' F'
F U' B' R B U' F'
F U' B2 R B U' F'
D2 U2 B L' D' F B2
D2 U2 B L' D' B2 F
D2 U2 B L' F D' B2
U2 D2 B L' D' F B2
U2 D2 B L' D' B2 F
U2 D2 B L' F D' B2
D' F U' L' R B U'
D' F U' R L' B U'
D' F U' R B L' U'
R2 F U' R B L U'
R F U' R B U' F2
R' F B U' R B U'
D2 F' U L' U F L'
R' F2 D B R F' U2
R2 F2 D R F' B U2
R2 F2 D R B F' U2
R F2 D R F' U2 F2
R' F2 B D R F' U2
U' B R U' L' F' B
U' B R U' L' B F'
U' B R U' B L' F'
R' B U L U L2 B'
R' B U L2 U L B'
R' B U' R U' L' B
R' B U' R U' B L'
R' B U2 B L' D' B2
U2 B D2 L' D' F B2
U2 B D2 L' D' B2 F
U2 B D2 L' F D' B2
R' B F U' R B U'
R' B F2 D R F' U2
B' F U' R B U' F'
B2 F U' R B U' F'
B F U' R B U' F'
F B U' R B U' F'
U' B' R U' L' F' B
U' B' R U' L' B F'
U' B' R U' B L' F'
F B' U' R B U' F'
U' B2 R U' L' F' B
U' B2 R U' L' B F'
U' B2 R U' B L' F'
F B2 U' R B U' F'
