R2 L' F2 B' D' R2
R2 L' B' F2 D' R2
L' R2 F2 B' D' R2
L' R2 B' F2 D' R2
D' L2 F' U' L B'
L' U F' U' F' B'
L' U F' U' B' F'
L' F D R2 F B'
L' F D R2 B' F
L' F D F R2 B'
L' F D F B' R2
L' F D B' R2 F
L' F D B' F R2
L' F B' D R2 F
L' F B' D F R2
L2 F' U' L F' B'
L2 F' U' L B' F'
L2 F' U' F' L B'
L' F2 U F U' B'
L' F2 B' U F U'
L' B' U F' U' F'
L' B' F D R2 F
L' B' F D F R2
L' B' F2 U F U'
L2 R U' L F2 B' R'
L2 R U' L B' R' F2
L2 R U' L B' F2 R'
L R U' L2 F2 B' R'
L R U' L2 B' R' F2
L R U' L2 B' F2 R'
R L U' L2 F2 B' R'
R L U' L2 B' R' F2
R L U' L2 B' F2 R'
L2 R U' F2 L B' R'
D L R2 B U L2 B'
F' L U F U2 L' F2
L' R F2 R B' D' R2
R2 L B U L2 F2 B'
R2 L B U L2 B' F2
R2 L' U' B U F2 B2
R2 L' U' B U B2 F2
R2 L' D B' D' R2 F2
R2 L' D B' D' F2 R2
B' L' R2 F2 B' D' R2
B2 L' R2 F2 B' D' R2
B' L' R2 B' F2 D' R2
B L' R2 F2 B' D' R2
B2 L' R2 B' F2 D' R2
B L' R2 B' F2 D' R2
B' L' U F' U' F' B'
B' L' U F' U' B' F'
B2 L' U F' U' F' B'
B2 L' U F' U' B' F'
B L' U F' U' F' B'
B L' U F' U' B' F'
F' L' U' D2 F' B' L
F' L' U' D2 B' L F'
F' L' U' D2 B' F' L
D L' U' R2 B U B2
F' L' U' F B' L' F2
F' L' U' B' F L' F2
R2 L' F B' D' R2 F
R2 L' F B' D' F R2
R' L' F' D' F' R B'
R' L' F' D' F' B' R
R' L' F' D' B' F' R
L' R' F' D' F' R B'
L' R' F' D' F' B' R
L' R' F' D' B' F' R
R' L' F' B' D' F' R
L' R' F' B' D' F' R
R2 L' F' B' D' F' R2
R' L' F2 R' B' D' R2
L' R' F2 R' B' D' R2
R' L' F2 D B R' B2
R L' F2 R B' D' R2
L' R' F2 D B R' B2
R2 L' F2 U' B U B2
R' L' F2 B2 D B R'
R2 L' F2 D B' D' R2
L' R' F2 B2 D B R'
R2 L' F2 D' B' D' R2
R2 L' F2 D2 B' D' R2
R2 L' F2 B' R D' R2
R2 L' F2 B' R' D' R2
R2 L' F2 B' R2 D' R2
R2 L' F2 B' U' B2 U
R2 L' F2 B' D' R2 D
R2 L' F2 B' D' R2 D'
R2 L' F2 B' D' R2 D2
R2 L' B' R F2 D' R2
R2 L' B' R' F2 D' R2
F' L' D2 U' F' B' L
