D' L2 B R F' U2
B R U' R2 F2 U'
B R U' F2 R2 U'
B R U2 D R2 B2
B R U2 D B2 R2
B R D U2 R2 B2
B R D U2 B2 R2
B R D' L2 F2 U2
B R D' F2 L2 U2
D R2 F' B2 L B'
D R2 B2 L F' B'
D R2 B2 L B' F'
D R2 B2 F' L B'
B U' F2 R' U' L'
D' B L2 R F' U2
D' B R L2 F' U2
D' B R F' L2 U2
B L R U' R2 F2 U'
B L R U' F2 R2 U'
D L R U2 R F' B'
D L R U2 R B' F'
B L R U2 D R2 B2
B L R U2 D B2 R2
D L R U2 B' R F'
B L R D U2 R2 B2
B L R D U2 B2 R2
B L R D' L2 F2 U2
B L R D' F2 L2 U2
D L R2 F' B2 L B
D L R2 B2 L F' B
D L R2 B2 L B F'
D L R2 B2 F' L B
B L U' F2 R' U' L'
B' L D2 B2 U F2 L'
D L F' R2 F' B' L'
D L F' R2 B' F' L'
D L F2 R2 B' L' F'
D L B R U2 R B2
D L B R U2 B2 R
D L B U2 R2 B2 L
B L' R U' R2 F2 U'
B L' R U' F2 R2 U'
B L' R U2 D R2 B2
B L' R U2 D B2 R2
B L' R D U2 R2 B2
B L' R D U2 B2 R2
B L' R D' L2 F2 U2
B L' R D' F2 L2 U2
D L' R2 F' D2 B2 L
B L' U' F2 R' U' L'
D L' F2 L' R2 F' B
D L' F2 L' R2 B F'
D L' F2 R2 L' F' B
D L' F2 R2 L' B F'
D L' F2 R2 B L' F'
B2 L' F2 U' L' F B'
B2 L' F2 U' L' B' F
D' L' B L' R F' U2
D' L' B R L' F' U2
B L2 R U' R2 F2 U'
B L2 R U' F2 R2 U'
D L2 R U2 R F' B
D L2 R U2 R B F'
B L2 R U2 D R2 B2
B L2 R U2 D B2 R2
B L2 R D U2 R2 B2
B L2 R D U2 B2 R2
B L2 R D' L2 F2 U2
B L2 R D' F2 L2 U2
B L2 U' F2 R' U' L'
D L2 F' R2 F' L' B'
D L2 F2 L' R2 F' B'
D L2 F2 L' R2 B' F'
B2 L2 F2 U' L' F' B'
B2 L2 F2 U' L' B' F'
D L2 F2 R2 L' F' B'
D L2 F2 R2 L' B' F'
D' L2 B R D F' U2
D' L2 B R D' F' U2
D' L2 B R D2 F' U2
D' L2 B R F' U2 D
D' L2 B R F' U2 D'
D' L2 B R F' U2 D2
D' L2 B R F' D U2
D' L2 B R F' D' U2
D' L2 B R F' D2 U2
D L2 B R U2 R B
D' L2 B' R F' B2 U2
D' L2 B' R B2 F' U2
D' L2 B2 R F' B' U2
D' L2 B2 R B' F' U2
B R L U' R2 F2 U'
D R L U2 R F' B'
B R L U' F2 R2 U'
D R L U2 R B' F'
D R L U2 B' R F'
B R L U2 D R2 B2
B R L U2 D B2 R2
B R L D U2 R2 B2
B R L D U2 B2 R2
B R L D' L2 F2 U2
B R L D' F2 L2 U2
B R L' U' R2 F2 U'
B R L' U' F2 R2 U'
B R L' U2 D R2 B2
B R L' U2 D B2 R2
B R L' D U2 R2 B2
B R L' D U2 B2 R2
B R L' D' L2 F2 U2
B R L' D' F2 L2 U2
B R L2 U' R2 F2 U'
B R L2 U' F2 R2 U'
D R L2 U2 R F' B
D R L2 U2 R B F'
B R L2 U2 D R2 B2
B R L2 U2 D B2 R2
B R L2 D U2 R2 B2
B R L2 D U2 B2 R2
B R L2 D' L2 F2 U2
B R L2 D' F2 L2 U2
B R U D2 L2 B2 U
B R U D2 B2 L2 U
B R U' R' F2 R' U'
B R U' R2 U' D R2
B R U' R2 D U' R2
B R U' R2 F2 U' D
B R U' R2 F2 U' D'
B R U' R2 F2 U' D2
B R U' R2 F2 D U'
B R U' R2 F2 D' U'
B R U' R2 F2 D2 U'
B R U' F R2 F U'
B R U' F2 R2 U' D
B R U' F2 R2 U' D'
B R U' F2 R2 U' D2
B R U' F2 R2 D U'
B R U' F2 R2 D' U'
B R U' F2 R2 D2 U'
B R U' F2 U' D B2
B R U' F2 D U' B2
B R U2 D R B2 R
B R U2 D R2 B2 D
B R U2 D R2 B2 D'
B R U2 D R2 B2 D2
B R U2 D B' R2 B'
B R U2 D B2 R2 D
B R U2 D B2 R2 D'
B R U2 D B2 R2 D2
B R U2 B D R2 B2
B R U2 B D B2 R2
B R U2 B' D R2 B2
B R U2 B' D B2 R2
B R U2 B2 D R2 B2
B R U2 B2 D B2 R2
B R D L U2 R2 B2
B R D L U2 B2 R2
B R D L' U2 R2 B2
B R D L' U2 B2 R2
B R D L2 U2 R2 B2
B R D L2 U2 B2 R2
B R D U2 R B2 R
B R D U2 R2 B2 D
B R D U2 R2 B2 D'
B R D U2 R2 B2 D2
B R D U2 B' R2 B'
B R D U2 B2 R2 D
B R D U2 B2 R2 D'
B R D U2 B2 R2 D2
B R D F U2 R2 B2
B R D F U2 B2 R2
B R D F' U2 R2 B2
B R D F' U2 B2 R2
B R D F2 U2 R2 B2
B R D F2 U2 B2 R2
B R D' L F2 L U2
B R D' L' F2 U2 R
B R D' L2 U2 D2 B2
B R D' L2 D2 U2 B2
B R D' L2 F2 U2 D
B R D' L2 F2 U2 D'
B R D' L2 F2 U2 D2
B R D' L2 F2 D U2
B R D' L2 F2 D' U2
B R D' L2 F2 D2 U2
B R D' F L2 U2 B'
B R D' F' L2 F' U2
B R D' F2 L2 U2 D
B R D' F2 L2 U2 D'
B R D' F2 L2 U2 D2
B R D' F2 L2 D U2
B R D' F2 L2 D' U2
B R D' F2 L2 D2 U2
B R D' F2 U2 D2 R2
B R D' F2 D2 U2 R2
B R D2 U L2 B2 U
B R D2 U B2 L2 U
B R F U' R2 F U'
B R F U' F R2 U'
B R F' U' F' R2 U'
B R F2 U' R2 U' R2
B2 R B' U' R' F2 U'
B2 R B' U' F2 R' U'
