B' L2 U F2 L' R
B' L2 U F2 R L'
B L2 U F2 L' R'
B L2 U F2 R' L'
L2 B U F2 L' R'
L2 B U F2 R' L'
F2 B R' D' L' B2
F2 B R' D' B2 L'
F2 B D' L' R' B2
F2 B D' R' L' B2
F2 B D' R' B2 L'
F2 B' D' B2 L' R'
F2 B' D' B2 R' L'
B F2 R' D' L' B2
B F2 R' D' B2 L'
B' F2 D' B2 L' R'
B' F2 D' B2 R' L'
B' L R U L U F2
B F2 D' L' R' B2
B F2 D' R' L' B2
B F2 D' R' B2 L'
B' L U L U F2 L'
B' L U2 F2 L' D' B2
B' L F2 L' D' B2 R'
B L F2 L' R' D' B2
B L F2 L' D' R' B2
B L F2 R' L' D' B2
F2 L B L2 D' R' B
F2 L' U' L' B U R'
F2 L' U' B L' U R'
B L' F2 L' R' D B2
B L' F2 R' L' D B2
B L' F2 R' D L' B2
B L' F2 R' D B2 L'
F2 L' B R' U' L' U
F2 L' B U' L' U R'
F2 L' B2 U' L' B' U
B L2 U L F2 L' R'
B L2 U L F2 R' L'
B L2 U L' F2 L' R'
B L2 U L' F2 R' L'
B L2 U L2 F2 L' R'
B L2 U L2 F2 R' L'
B L2 U R' F2 D2 L2
B' L2 U F2 L' R D
B' L2 U F2 L' R D'
B' L2 U F2 L' R D2
B' L2 U F2 L' D R
B' L2 U F2 L' D' R
B' L2 U F2 L' D2 R
B' L2 U F2 R L' D
B' L2 U F2 R L' D'
B' L2 U F2 R L' D2
B' L2 U F2 R D L'
B' L2 U F2 R D' L'
B' L2 U F2 R D2 L'
B' L2 U F2 D L' R
B' L2 U F2 D R L'
B' L2 U F2 D' L' R
B' L2 U F2 D' R L'
B' L2 U F2 D2 L' R
B' L2 U F2 D2 R L'
B L2 U F R' F L'
B' L2 U' L' R U2 F2
B' L2 U' L' U2 F2 L'
B L2 U F2 L' R' D
B L2 U F2 L' R' D'
B L2 U F2 L' R' D2
B L2 U F2 L' D R'
B L2 U F2 L' D' R'
B L2 U F2 L' D2 R'
B L2 U F2 R' L' D
B L2 U F2 R' L' D'
B L2 U F2 R' L' D2
B L2 U F2 R' D L'
B L2 U F2 R' D' L'
B L2 U F2 R' D2 L'
B L2 U F2 D L' R'
B L2 U F2 D R' L'
B L2 U F2 D' L' R'
B L2 U F2 D' R' L'
B L2 U F2 D2 L' R'
B L2 U F2 D2 R' L'
B' L2 U' R L' U2 F2
B' L2 U' R U2 F2 R
B L2 U' R U2 R2 F2
B L2 U' R U2 F2 R2
B L2 F U R' F L'
B L2 F U F L' R'
B L2 F U F R' L'
R U L2 B U R' F2
R U L2 B U F2 R'
U' L2 B U F2 L' R'
U' L2 B U F2 R' L'
B' L2 B U F2 L' R
B' L2 B U F2 R L'
U2 L2 B U F2 L' R'
U2 L2 B U F2 R' L'
U L2 B U F2 L' R'
U L2 B U F2 R' L'
B' L2 B' U F2 L' R
B' L2 B' U F2 R L'
B2 L2 B' U F2 L' R'
B2 L2 B' U F2 R' L'
B' L2 B2 U F2 L' R
B' L2 B2 U F2 R L'
B' R L U L U F2
B' R U L2 U F2 R
B R U L2 U R2 F2
B R U L2 U F2 R2
L2 U F' D2 F' L' R
L2 U F' D2 F' R L'
L2 U F2 L' B R' B'
D' R U' L2 F' U' B2
D' R U' F' L2 U' B2
L2 U F2 B R' B' L'
R U B L2 U R' F2
R U B L2 U F2 R'
B' R U2 F2 D' B2 R'
L2 U B F2 R' B' L'
B R U2 R2 F2 D' B2
B R U2 F2 R2 D' B2
R U B' L2 U F2 R
L2 U' R B U2 R' F2
L2 U' R B U2 F2 R'
L2 U' R B' L U2 F2
D R F2 U' L' F U'
F2 R B R' D' L' B2
F2 R B R' D' B2 L'
F2 R B D' L' R' B2
F2 R B D' R' L' B2
F2 R B D' R' B2 L'
F2 R B' D' B2 L' R'
F2 R B' D' B2 R' L'
L2 U' B R U2 R2 F2
L2 U' B R U2 F2 R2
L2 U' B U2 F2 L' R'
L2 U' B U2 F2 R' L'
L2 U' B' L R U2 F2
L2 U' B' L U2 F2 L'
L2 U' B' R L U2 F2
B R' F2 D' B2 D' L2
B R' F2 D2 L2 D B2
F2 R' B R' D' L' B2
F2 R' B R' D' B2 L'
F2 R' B D' L' R' B2
F2 R' B D' R' L' B2
F2 R' B D' R' B2 L'
F2 R' B' D' B2 L' R'
F2 R' B' D' B2 R' L'
R U2 F2 B R' D' B2
L2 U2 B U' F2 L' R'
L2 U2 B U' F2 R' L'
R U2 F2 B D' R' B2
R U2 F2 B' D' B2 R'
R U2 B R' F2 D' B2
R U2 B F2 R' D' B2
R U2 B F2 D' R' B2
R U2 B' F2 D' B2 R'
B' R2 F2 D' B2 L R'
B' R2 F2 D' B2 R' L
F2 R2 B R' D' L' B2
F2 R2 B R' D' B2 L'
F2 R2 B D' L' R' B2
F2 R2 B D' R' L' B2
F2 R2 B D' R' B2 L'
F2 R2 B' D' B2 L' R'
F2 R2 B' D' B2 R' L'
B' U L2 U F2 L' R
B' U L2 U F2 R L'
B U L2 U F2 L' R'
B U L2 U F2 R' L'
B' U F2 D' B2 L' R'
B' U F2 D' B2 R' L'
B U F2 R' D' L' B2
B U F2 R' D' B2 L'
B U F2 D' L' R' B2
B U F2 D' R' L' B2
B U F2 D' R' B2 L'
B' U' L2 U F2 L' R
B' U' L2 U F2 R L'
B U' L2 U F2 L' R'
B U' L2 U F2 R' L'
B' U' F2 D' B2 L' R'
B' U' F2 D' B2 R' L'
B U' F2 R' D' L' B2
B U' F2 R' D' B2 L'
F2 U' B L2 U L R'
F2 U' B L2 U R' L
B U' F2 D' L' R' B2
B U' F2 D' R' L' B2
B U' F2 D' R' B2 L'
B' U2 L2 U F2 L' R
B' U2 L2 U F2 R L'
B U2 L2 U F2 L' R'
B U2 L2 U F2 R' L'
B' U2 F2 D' B2 L' R'
B' U2 F2 D' B2 R' L'
B U2 F2 R' D' L' B2
B U2 F2 R' D' B2 L'
B U2 F2 D' L' R' B2
B U2 F2 D' R' L' B2
B U2 F2 D' R' B2 L'
L2 F B U R' F L'
L2 F B U F L' R'
L2 F B U F R' L'
F2 D' L' B D B R'
L' F2 L' B R' D B2
L2 F2 L' B D' R' B
L F2 L' B R' D' B2
L F2 L' B D' R' B2
L F2 L' B' D' B2 R'
F2 D' B L' D B R'
F2 D' B D L' B R'
F2 D' B D B L' R'
F2 D' B D B R' L'
B' D' B2 D F2 L' R'
B' D' B2 D F2 R' L'
F' D' B2 D' F' L' R
F' D' B2 D' F' R L'
U' F2 B R' D' L' B2
U' F2 B R' D' B2 L'
R' F2 B R' D' B2 L
L' F2 B L' R' D B2
U' F2 B D' L' R' B2
U' F2 B D' R' L' B2
U' F2 B D' R' B2 L'
L' F2 B R' L' D B2
L' F2 B R' D L' B2
L' F2 B R' D B2 L'
U2 F2 B R' D' L' B2
U2 F2 B R' D' B2 L'
U' F2 B' D' B2 L' R'
U' F2 B' D' B2 R' L'
U2 F2 B D' L' R' B2
U2 F2 B D' R' L' B2
U2 F2 B D' R' B2 L'
L F2 B L' D' R' B
U F2 B R' D' L' B2
U F2 B R' D' B2 L'
U2 F2 B' D' B2 L' R'
U2 F2 B' D' B2 R' L'
L F2 B D' L' R' B
U F2 B D' L' R' B2
L F2 B D' R' L' B
U F2 B D' R' L' B2
L F2 B D' R' B L'
U F2 B D' R' B2 L'
U F2 B' D' B2 L' R'
U F2 B' D' B2 R' L'
L' B L' U F2 L' R'
L' B L' U F2 R' L'
U' B L2 U F2 L' R'
U' B L2 U F2 R' L'
F' D2 F' L' D R B2
F' D2 F' L' D B2 R
U2 B L2 U F2 L' R'
U2 B L2 U F2 R' L'
F' D2 F' D L' R B2
F' D2 F' D L' B2 R
F' D2 F' D R L' B2
F' D2 F' D R B2 L'
F' D2 F' D B2 L' R
F' D2 F' D B2 R L'
U B L2 U F2 L' R'
U B L2 U F2 R' L'
R' B R' F2 D' B2 L
L2 B U L F2 L' R'
L2 B U L F2 R' L'
L2 B U L' F2 L' R'
L2 B U L' F2 R' L'
L2 B U L2 F2 L' R'
L2 B U L2 F2 R' L'
L2 B U R' F2 D2 L2
R B R' F2 D' L' B2
R B R' F2 D' B2 L'
L2 B U F R' F L'
L2 B U F2 L' R' D
L2 B U F2 L' R' D'
L2 B U F2 L' R' D2
L2 B U F2 L' D R'
L2 B U F2 L' D' R'
L2 B U F2 L' D2 R'
L2 B U F2 R' L' D
L2 B U F2 R' L' D'
L2 B U F2 R' L' D2
L2 B U F2 R' D L'
L2 B U F2 R' D' L'
L2 B U F2 R' D2 L'
L2 B U F2 D L' R'
L2 B U F2 D R' L'
L2 B U F2 D' L' R'
L2 B U F2 D' R' L'
L2 B U F2 D2 L' R'
L2 B U F2 D2 R' L'
L2 B U' R U2 R2 F2
L2 B U' R U2 F2 R2
R B U L2 U R' F2
R B U L2 U F2 R'
F2 B L' R' U' L' U
F2 B L' U' L' U R'
D' B D F2 L' B R'
D' B D F2 B L' R'
D' B D F2 B R' L'
D' B D B F2 L' R'
D' B D B F2 R' L'
R B U2 R' F2 D' B2
R B U2 F2 R' D' B2
R B U2 F2 D' R' B2
F2 B R' L' U' L' U
F2 B R' U' L2 U L
F2 B R' D L' D2 B2
F2 B R' D' L B2 L2
F2 B R' D' L' B2 D
F2 B R' D' L' B2 D'
F2 B R' D' L' B2 D2
F2 B R' D' B L' B
F2 B R' D' B2 L' D
F2 B R' D' B2 L' D'
F2 B R' D' B2 L' D2
F2 B R' D' B2 D L'
F2 B R' D' B2 D' L'
F2 B R' D' B2 D2 L'
F2 B R' D2 L' D B2
F2 B R' B D' L' B2
F2 B R' B D' B2 L'
F2 B R' B' D' L' B2
F2 B R' B' D' B2 L'
F2 B R' B2 D' L' B2
F2 B R' B2 D' B2 L'
L2 B F U R' F L'
L2 B F U F L' R'
L2 B F U F R' L'
F2 B R2 D' L' R B2
F2 B R2 D' L' B2 R
F2 B R2 D' R L' B2
F2 B R2 D' R B2 L'
B F R' F D' L' B2
B F R' F D' B2 L'
F2 B R2 D' B2 L' R
F2 B R2 D' B2 R L'
U' B F2 R' D' L' B2
U' B F2 R' D' B2 L'
L' B F2 L' R' D B2
R' B F2 R' D' B2 L
U' B F2 D' L' R' B2
F B R' F D' L' B2
F B R' F D' B2 L'
U' B F2 D' R' L' B2
U' B F2 D' R' B2 L'
L' B F2 R' L' D B2
L' B F2 R' D L' B2
L' B F2 R' D B2 L'
U2 B F2 R' D' L' B2
U2 B F2 R' D' B2 L'
U2 B F2 D' L' R' B2
F2 B U' L2 U L R'
F2 B U' L2 U R' L
U2 B F2 D' R' L' B2
U2 B F2 D' R' B2 L'
L B F2 L' D' R' B
U B F2 R' D' L' B2
U B F2 R' D' B2 L'
U' B' L2 U F2 L' R
U' B' L2 U F2 R L'
U B F2 D' L' R' B2
L B F2 D' L' R' B
L B F2 D' R' L' B
U B F2 D' R' L' B2
L B F2 D' R' B L'
U B F2 D' R' B2 L'
F2 B D L' R' D2 B2
F2 B D L' D2 R' B2
R B' L U L U F2
F2 B D R' L' D2 B2
F2 B D R' D2 L' B2
F2 B D R' D2 B2 L'
U2 B' L2 U F2 L' R
U2 B' L2 U F2 R L'
F2 B D' L R' B2 L2
F2 B D' L' R B2 R2
F2 B D' L' R' B2 D
F2 B D' L' R' B2 D'
F2 B D' L' R' B2 D2
F2 B D' L' R2 B2 R
F2 B D' R L' B2 R2
F2 B D' R B2 L' R2
F2 B D' R B2 R2 L'
F2 B D' R' L B2 L2
F2 B D' R' L' B2 D
F2 B D' R' L' B2 D'
F2 B D' R' L' B2 D2
F' B D' F' L' R' B2
F2 B D' R' B L' B
F2 B D' R' B2 L' D
