F2 R2 B L U L2
D' F U' F L' B'
L2 R U R B' U B2
L2 R U B' R U B
F2 L R2 B L U L
F2 L' R2 B L U L'
R L2 U R B' U B2
R L2 U B' R U B
R U L2 R B' U B2
R U L2 B' R U B
R U R L2 B' U B2
R U R U2 F U' B
R2 U' R' U' F R U'
R U' F2 L' F' U' B'
B' R' D F B2 L U'
B' R' D B2 F L U'
B' R' F D B2 L U'
F2 R2 L B L U L
F2 R2 L' B L U L'
R2 U2 F R U R2 U2
R2 U2 F R U' D2 L2
R2 U2 F R D B2 U'
R2 U2 F R D2 U' L2
R2 U2 F B2 R U' L
F2 R2 D B L U L2
R2 U2 B2 F R U' L
F2 R2 D' B L U L2
F2 R2 D2 B L U L2
F2 R2 B L U L2 D
F2 R2 B L U L2 D'
F2 R2 B L U L2 D2
F2 R2 B L D F2 U
F2 R2 B L F U L2
F2 R2 B L F' U L2
F2 R2 B L F2 U L2
F2 R2 B U L' D' B2
F2 R2 B D L U L2
F2 R2 B D' L U L2
F2 R2 B D2 L U L2
U2 D' F R U' F L'
F U' F L' D' F2 B'
F U' F L' D' B' F2
F U' F L' B' D' F2
F U' F D' L' F2 B'
F U' F D' L' B' F2
F U' F' D' F2 L' B'
D' U2 F R U' F L'
F2 U2 R2 B U L' B'
D' F R U' F L' B'
D' F R' U' F L' B'
D' F R2 U' F L' B'
R2 F U R' F' U2 F
D' F U' F L' D B'
D' F U' F L' D' B'
D' F U' F L' D2 B'
D' F U' F L' B' D
D' F U' F L' B' D'
D' F U' F L' B' D2
D' F U' F D L' B'
D' F U' F D' L' B'
D' F U' F D2 L' B'
D' F U' F B L' B'
D' F U' F B' L' B'
D' F U' F B2 L' B'
D' F U' B F L' B'
D' F U' B' F L' B'
D' F U' B2 F L' B'
R2 F U' R' U2 R B
D' F B' R' U' F L'
F D' L B' R' U' F2
B' D' F R' U' F L'
R F2 U' L' F' U' B'
F D2 L2 U' L' B' L
F D2 L2 B' R' U' L
L2 B L R2 B2 U L
L2 B R2 L B2 U L
F D2 B' L2 R' U' L'
F D2 B' R' L2 U' L'
F2 B L R2 B U L2
F2 B R2 L B U L2
D' B' F R' U' F L'
B F2 L R2 B U L2
R2 B2 L2 B' L U L2
B F2 R2 L B U L2
