F2 R' U B2 U2 L'
F2 R' U' L' D2 F2
F2 R' U' D2 L' F2
F2 R' D L2 U' L
F2 R' D2 U' L' F2
R' D L2 B2 U' R2
R' D B2 L2 U' R2
F2 D L2 R' U' L
F2 D R' L2 U' L
R' F2 U R2 B2 U2
R' F2 U B2 R2 U2
R' F2 U' D2 L2 F2
R' F2 U' D2 F2 L2
R' F2 D L2 B2 U'
R' F2 D B2 L2 U'
R' F2 D2 U' L2 F2
R' F2 D2 U' F2 L2
F2 D2 R' U' L' F2
D2 B2 L U F2 L'
R B2 U' R2 F2 U'
R B2 U' F2 R2 U'
R B2 U2 D R2 B2
R B2 U2 D B2 R2
R B2 D U2 R2 B2
R B2 D U2 B2 R2
R B2 D' L2 F2 U2
R B2 D' F2 L2 U2
F2 L R' U B2 U2 L2
F2 L R' U' L2 D2 F2
F2 L R' B' U' L2 F
R' L D L2 B2 U' R2
R' L D B2 L2 U' R2
B2 L U2 F2 U' L' F2
F2 L D' R' B2 L U'
R' L F2 U R2 B2 U2
R' L F2 U B2 R2 U2
R' L F2 U' D2 L2 F2
R' L F2 U' D2 F2 L2
R' L F2 D L2 B2 U'
R' L F2 D B2 L2 U'
R' L F2 D2 U' L2 F2
R' L F2 D2 U' F2 L2
L' R B2 U' R2 F2 U'
L' R B2 U' F2 R2 U'
L' R B2 U2 D R2 B2
L' R B2 U2 D B2 R2
L' R B2 D U2 R2 B2
L' R B2 D U2 B2 R2
L' R B2 D' L2 F2 U2
L R B2 U' R2 F2 U'
L2 R B2 U' R2 F2 U'
L R B2 U' F2 R2 U'
L' R B2 D' F2 L2 U2
L2 R B2 U' F2 R2 U'
L R B2 U2 D R2 B2
L R B2 U2 D B2 R2
R L B2 U' R2 F2 U'
L2 R B2 U2 D R2 B2
L2 R B2 U2 D B2 R2
R L B2 U' F2 R2 U'
L R B2 D U2 R2 B2
L R B2 D U2 B2 R2
R L B2 U2 D R2 B2
R L B2 U2 D B2 R2
L2 R B2 D U2 R2 B2
L2 R B2 D U2 B2 R2
L R B2 D' L2 F2 U2
L2 R B2 D' L2 F2 U2
L R B2 D' F2 L2 U2
R L B2 D U2 R2 B2
R L B2 D U2 B2 R2
L2 R B2 D' F2 L2 U2
R L B2 D' L2 F2 U2
R L B2 D' F2 L2 U2
D2 L B2 L U F2 L'
B2 L' R D F2 U2 R2
B2 L' R D' L2 U2 B2
R' L' D L2 B2 U' R2
L' R' D L2 B2 U' R2
L R' D L2 B2 U' R2
L2 R' D L2 B2 U' R2
F2 L' R' D L2 U' L2
R' L' D B2 L2 U' R2
L' R' D B2 L2 U' R2
L R' D B2 L2 U' R2
L2 R' D B2 L2 U' R2
F2 L' D L2 R' U' L2
R' L' F2 U R2 B2 U2
R' L' F2 U B2 R2 U2
L' R' F2 U R2 B2 U2
R' L' F2 U' D2 L2 F2
R' L' F2 U' D2 F2 L2
L' R' F2 U B2 R2 U2
L' R' F2 U' D2 L2 F2
L' R' F2 U' D2 F2 L2
F2 L' D R' L2 U' L2
B2 L' D R F2 L' U2
R' L' F2 D L2 B2 U'
R' L' F2 D B2 L2 U'
L' R' F2 D L2 B2 U'
L' R' F2 D B2 L2 U'
L2 R' F2 U R2 B2 U2
L R' F2 U R2 B2 U2
L2 R' F2 U B2 R2 U2
R' L' F2 D2 U' L2 F2
R' L' F2 D2 U' F2 L2
L R' F2 U B2 R2 U2
L2 R' F2 U' D2 L2 F2
L2 R' F2 U' D2 F2 L2
L' R' F2 D2 U' L2 F2
L' R' F2 D2 U' F2 L2
L R' F2 U' D2 L2 F2
L R' F2 U' D2 F2 L2
L2 R' F2 D L2 B2 U'
L R' F2 D L2 B2 U'
L2 R' F2 D B2 L2 U'
L R' F2 D B2 L2 U'
L2 R' F2 D2 U' L2 F2
L2 R' F2 D2 U' F2 L2
L R' F2 D2 U' L2 F2
L R' F2 D2 U' F2 L2
B2 L' D F2 U2 L' R2
B2 L' D F2 U2 R2 L'
B2 L' D' L2 R U2 B2
B2 L' D' R L2 U2 B2
R L' B2 U' R2 F2 U'
R L' B2 U' F2 R2 U'
R L' B2 U2 D R2 B2
R L' B2 U2 D B2 R2
R L' B2 D U2 R2 B2
R L' B2 D U2 B2 R2
R L' B2 D' L2 F2 U2
R L' B2 D' F2 L2 U2
R' L2 D L2 B2 U' R2
R' L2 D B2 L2 U' R2
D2 L' B2 L U F2 L'
B2 L2 R U' F2 R U'
F2 L2 R' U B2 R' U2
F2 L2 R' U' L D2 F2
F2 L2 R' U' D2 L F2
F2 L2 R' U' D2 F2 L
D L2 R' U R2 U2 R
F2 L2 R' D L2 U' L'
D L2 R' U' D2 L2 R'
D L2 R' U' D2 R' L2
F2 L2 R' D2 U' L F2
F2 L2 R' D2 U' F2 L
D L2 R' D2 U' L2 R'
D L2 R' D2 U' R' L2
R' L2 F2 U R2 B2 U2
R' L2 F2 U B2 R2 U2
R' L2 F2 U' D2 L2 F2
R' L2 F2 U' D2 F2 L2
R' L2 F2 D L2 B2 U'
R' L2 F2 D B2 L2 U'
R' L2 F2 D2 U' L2 F2
R' L2 F2 D2 U' F2 L2
B2 L2 U' F2 R U' L'
F2 L2 D L2 R' U' L'
F2 L2 D R' L2 U' L'
R L2 B2 U' R2 F2 U'
R L2 B2 U' F2 R2 U'
R L2 B2 U2 D R2 B2
R L2 B2 U2 D B2 R2
R L2 B2 D U2 R2 B2
R L2 B2 D U2 B2 R2
R L2 B2 D' L2 F2 U2
R L2 B2 D' F2 L2 U2
D L2 D' F2 R' U' L'
F2 L2 D2 R' U' L F2
F2 L2 D2 R' U' F2 L
D L2 F2 R' U' L' R'
D L2 F2 R' U' R' L'
R' U R2 B2 U' F2 U'
R' U R2 B2 U2 D R2
R' U R2 B2 D U2 R2
R' U R2 B2 D' L2 U2
D2 L2 B2 L U F2 L'
R U D2 L2 B2 U F2
B2 R L' D F2 U2 R2
B2 R L' D' L2 U2 B2
R U D2 B2 L2 U F2
B2 R L2 U' F2 R U'
B2 R U L U D R2
B2 R U L U2 F2 U'
B2 R U L D U R2
B2 R U L D2 B2 U
B2 R U D L U R2
B2 R U D2 L B2 U
D R U' L2 R2 U' R'
D R U' R2 L2 U' R'
B2 R U' F2 U2 L U
D R U2 D R F2 B2
D R U2 D R B2 F2
D R U2 D B2 R F2
F2 R D L2 U' L B2
B2 R D U L U R2
D R D R F2 B2 L
D R D R B2 L F2
D R D R B2 F2 L
R' U B2 R2 U' F2 U'
R' U B2 R2 U2 D R2
R' U B2 R2 D U2 R2
R' U B2 R2 D' L2 U2
D R D U2 R F2 B2
D R D U2 R B2 F2
D R D U2 B2 R F2
B2 R D' L2 U L' U
D R D' F2 L' B2 U2
D R D' F2 B2 L' U2
D R D' B2 F2 L' U2
B2 R D2 U L B2 U
F2 R B R2 U' L' F'
R' U' D R2 D L2 F2
R' U' D R2 D F2 L2
R U' R2 D L2 U' R2
R U' R2 F2 U B2 U2
R U' R2 F2 U' D2 F2
R U' R2 F2 D L2 U'
R U' R2 F2 D2 U' F2
R U' D L2 U' R2 B2
R U' D L2 U' B2 R2
U' R B2 U' R2 F2 U'
U' R B2 U' F2 R2 U'
U' R B2 U2 D R2 B2
U' R B2 U2 D B2 R2
U' R B2 D U2 R2 B2
U' R B2 D U2 B2 R2
U' R B2 D' L2 F2 U2
U' R B2 D' F2 L2 U2
U2 R B2 U' R2 F2 U'
U2 R B2 U' F2 R2 U'
U2 R B2 U2 D R2 B2
U2 R B2 U2 D B2 R2
U2 R B2 D U2 R2 B2
U2 R B2 D U2 B2 R2
U2 R B2 D' L2 F2 U2
U2 R B2 D' F2 L2 U2
R' U' D2 L2 F2 D' R2
F2 R' L U B2 U2 L2
F2 R' L U' L2 D2 F2
U R B2 U' R2 F2 U'
U R B2 U' F2 R2 U'
U R B2 U2 D R2 B2
U R B2 U2 D B2 R2
R' U' D2 F2 L2 D' R2
U R B2 D U2 R2 B2
U R B2 D U2 B2 R2
U R B2 D' L2 F2 U2
U R B2 D' F2 L2 U2
F2 R' L B' U' L2 F
F2 R' L' D L2 U' L2
F2 R' L2 U B2 R' U2
F2 R' L2 U' L D2 F2
F2 R' L2 U' D2 L F2
F2 R' L2 U' D2 F2 L
F2 R' L2 D L2 U' L'
D R' L2 U R2 U2 R
D R' L2 U' D2 L2 R'
D R' L2 U' D2 R' L2
F2 R' L2 D2 U' L F2
F2 R' L2 D2 U' F2 L
D R' L2 D2 U' L2 R'
D R' L2 D2 U' R' L2
F2 R' U R B2 U2 L'
F2 R' U R' B2 U2 L'
F2 R' U R2 B2 U2 L'
F2 R' U B2 R U2 L'
F2 R' U B2 R' U2 L'
F2 R' U B2 R2 U2 L'
F2 R' U B2 U2 L' D
F2 R' U B2 U2 L' D'
F2 R' U B2 U2 L' D2
F2 R' U B2 U2 D L'
F2 R' U B2 U2 D' L'
F2 R' U B2 U2 D2 L'
F2 R' U B2 D U2 L'
F2 R' U B2 D' U2 L'
F2 R' U B2 D2 U2 L'
F2 R' U' L' U2 B2 U2
F2 R' U' L' D2 F2 D
F2 R' U' L' D2 F2 D'
F2 R' U' L' D2 F2 D2
F2 R' U' L' F D2 F2
F2 R' U' L' F' D2 F2
F2 R' U' L' F2 D2 F2
F2 R' U' L2 D2 L F2
F2 R' U' L2 D2 F2 L
R U' F2 R2 U B2 U2
R U' F2 R2 U' D2 F2
R U' F2 R2 D L2 U'
R U' F2 R2 D2 U' F2
F2 R' U' D' L' D' F2
F2 R' U' D2 L F2 L2
F2 R' U' D2 L' F2 D
F2 R' U' D2 L' F2 D'
F2 R' U' D2 L' F2 D2
F2 R' U' D2 L2 F2 L
R U' F2 D L2 U' B2
F2 R' U' F2 D2 F2 L'
F2 R' U2 D' R2 U L'
U' R' D L2 B2 U' R2
F2 R' D L2 U' L D
F2 R' D L2 U' L D'
F2 R' D L2 U' L D2
F2 R' D L2 U' D L
F2 R' D L2 U' D' L
F2 R' D L2 U' D2 L
F2 R' D L2 D U' L
F2 R' D L2 D' U' L
F2 R' D L2 D2 U' L
U2 R' D L2 B2 U' R2
D' R' D F2 B2 L U'
D' R' D B2 L F2 U'
D' R' D B2 F2 L U'
U' R' D B2 L2 U' R2
F2 R' D B L2 U' L
U R' D L2 B2 U' R2
F2 R' D B' L2 U' L
F2 R' D B2 L2 U' L
U2 R' D B2 L2 U' R2
F2 R' D' U' L' D' F2
U R' D B2 L2 U' R2
F2 R' D' U2 R2 U L'
F2 R' D2 L U' L2 F2
F2 R' D2 L U' F2 L2
F2 R' D2 L2 U' L F2
F2 R' D2 L2 U' F2 L
F2 R' D2 U' L F2 L2
F2 R' D2 U' L' F2 D
F2 R' D2 U' L' F2 D'
F2 R' D2 U' L' F2 D2
F2 R' D2 U' L2 F2 L
F2 R' D2 B U' L' F2
F2 R' D2 B' U' L' F2
F2 R' D2 B2 U' L' F2
F R' F U B2 U2 L'
F R' F U' L' D2 F2
F R' F U' D2 L' F2
F R' F D L2 U' L
F R' F D2 U' L' F2
U' R' F2 U R2 B2 U2
U' R' F2 U B2 R2 U2
U' R' F2 U' D2 L2 F2
U' R' F2 U' D2 F2 L2
U' R' F2 D L2 B2 U'
U' R' F2 D B2 L2 U'
U' R' F2 D2 U' L2 F2
U' R' F2 D2 U' F2 L2
U2 R' F2 U R2 B2 U2
U2 R' F2 U B2 R2 U2
U2 R' F2 U' D2 L2 F2
U2 R' F2 U' D2 F2 L2
U2 R' F2 D L2 B2 U'
U2 R' F2 D B2 L2 U'
U2 R' F2 D2 U' L2 F2
U2 R' F2 D2 U' F2 L2
U R' F2 U R2 B2 U2
U R' F2 U B2 R2 U2
U R' F2 U' D2 L2 F2
U R' F2 U' D2 F2 L2
U R' F2 D L2 B2 U'
U R' F2 D B2 L2 U'
U R' F2 D2 U' L2 F2
U R' F2 D2 U' F2 L2
F2 R' B U B U2 L'
F2 R' B' L2 U' F L
F2 R' B' U B' U2 L'
F2 R' B' U' L2 F L
R U2 D R2 B2 D F2
R U2 D B2 R2 D F2
R' U2 D2 B2 U L2 F2
R' U2 D2 B2 U F2 L2
R U2 D2 F2 D' R2 B2
R U2 D2 F2 D' B2 R2
R U2 B D R2 F' B2
R U2 B D R2 B2 F'
F2 R2 D L2 R U' L
F2 R2 D R L2 U' L
R U2 B' D B2 R2 F'
F2 R2 D2 R U' L' F2
R' D L' B2 L' U' R2
R' D L2 U' R2 D L2
R' D L2 F B2 U' R2
R' D L2 F' B2 U' R2
R' D L2 F2 B2 U' R2
R' D L2 B2 U' R2 D
R' D L2 B2 U' R2 D'
R' D L2 B2 U' R2 D2
R' D L2 B2 D' F2 U'
R' D L2 B2 F U' R2
R' D L2 B2 F' U' R2
R' D L2 B2 F2 U' R2
R' D R2 D L2 F2 B2
R' D R2 D L2 B2 F2
R' D R2 D F2 L2 B2
R' D R2 D F2 B2 L2
R' D R2 D B2 L2 F2
R' D R2 D B2 F2 L2
R' D U' R2 D L2 F2
