R2 U' F' B R' U'
R2 U' B F' R' U'
U' R2 F' B R' U'
U' R2 B F' R' U'
U F' B U2 R' U'
U F' B' L B2 U
U B F' U2 R' U'
U B' L F' B2 U
U B' L B2 F' U
U B' F' L B2 U
R2 L U' F' B R' U'
R2 L U' B F' R' U'
D L U F' B U B2
D L U B F' U B2
B' L D' F' U R2 F'
B' L F' R2 B2 U F'
B' L F' U D' R2 F'
B' L F' D' U R2 F'
B L F' U2 R' U' F'
B' L F' B2 U' B' U2
U L F' B U2 R' U'
U L F' B' L B2 U
U L B F' U2 R' U'
U L B' L F' B2 U
U L B' L B2 F' U
U L B' F' L B2 U
R2 L' U' F' B R' U'
R2 L' U' B F' R' U'
B' L B2 F' U' B' U2
D L' F U F2 B U
D L' F U B F2 U
B' L' F' B2 L2 U F
U L' F' B U2 R' U'
U L' F' B' L B2 U
L' R2 U' F' B R' U'
L' R2 U' B F' R' U'
L2 R2 U' F' B R' U'
R2 L2 U' F' B R' U'
L R2 U' F' B R' U'
L2 R2 U' B F' R' U'
R2 L2 U' B F' R' U'
L R2 U' B F' R' U'
U L' B F' U2 R' U'
U L' B' L F' B2 U
U L' B' L B2 F' U
B' L' B2 L2 F' U F2
U L' B' F' L B2 U
B' L' B2 F' L2 U F
D L2 U F' B L U
D L2 U B L F' U
D L2 U B F' L U
B L2 F' U2 R' U' F2
U L2 F' B U2 R' U'
U L2 F' B' L B2 U
U L2 B F' U2 R' U'
U L2 B' L F' B2 U
U L2 B' L B2 F' U
U L2 B' F' L B2 U
L' U F' B U2 R' U'
L' U F' B' L B2 U
L2 U F' B U2 R' U'
L2 U F' B' L B2 U
L U F' B U2 R' U'
L U F' B' L B2 U
L' U B F' U2 R' U'
L' U B' L F' B2 U
L' U B' L B2 F' U
L2 U B F' U2 R' U'
L2 U B' L F' B2 U
L2 U B' L B2 F' U
L U B F' U2 R' U'
L U B' L F' B2 U
L U B' L B2 F' U
L' U B' F' L B2 U
L2 U B' F' L B2 U
L U B' F' L B2 U
L' U' R2 F' B R' U'
L' U' R2 B F' R' U'
L2 U' R2 F' B R' U'
L2 U' R2 B F' R' U'
L U' R2 F' B R' U'
L U' R2 B F' R' U'
R2 U' D2 F' B R U'
R2 U' D2 B F' R U'
R2 U' F B R' F2 U'
R2 U' F' B R' U' D
R2 U' F' B R' U' D'
R2 U' F' B R' U' D2
R2 U' F' B R' D U'
R2 U' F' B R' D' U'
R2 U' F' B R' D2 U'
R2 U' F' B D R' U'
R2 U' F' B D' R' U'
R2 U' F' B D2 R' U'
R2 U' F2 B R' F U'
R2 U' B D F' R' U'
R2 U' B D' F' R' U'
R2 U' B D2 F' R' U'
R2 U' B F R' F2 U'
R2 U' B F' R' U' D
R2 U' B F' R' U' D'
R2 U' B F' R' U' D2
R2 U' B F' R' D U'
R2 U' B F' R' D' U'
R2 U' B F' R' D2 U'
R2 U' B F' D R' U'
R2 U' B F' D' R' U'
R2 U' B F' D2 R' U'
R2 U' B F2 R' F U'
U' R' B R' F' B U'
U' R' B R' B F' U'
R2 U2 F' B R' U' F
U2 R2 U F' B R' U'
U2 R2 U B F' R' U'
D2 R2 U' F' B R U'
D2 R2 U' B F' R U'
R2 U2 B F' R' U' F
U' R2 D2 F' B R U'
U' R2 D2 B F' R U'
U' R2 F B R' F2 U'
U' R2 F' B R' U' D
U' R2 F' B R' U' D'
U' R2 F' B R' U' D2
U' R2 F' B R' D U'
U' R2 F' B R' D' U'
U' R2 F' B R' D2 U'
U' R2 F' B D R' U'
U' R2 F' B D' R' U'
U' R2 F' B D2 R' U'
U2 R2 F' B R' U' F
U' R2 F2 B R' F U'
U' R2 B D F' R' U'
U' R2 B D' F' R' U'
U' R2 B D2 F' R' U'
U' R2 B F R' F2 U'
U' R2 B F' R' U' D
U' R2 B F' R' U' D'
U' R2 B F' R' U' D2
U' R2 B F' R' D U'
U' R2 B F' R' D' U'
U' R2 B F' R' D2 U'
U' R2 B F' D R' U'
U' R2 B F' D' R' U'
U' R2 B F' D2 R' U'
U' R2 B F2 R' F U'
U2 R2 B F' R' U' F
D U L F' B U B2
D U L B F' U B2
U D L F' B U B2
U D L B F' U B2
D2 U F L' F2 B U
D2 U F L' B F2 U
D2 U F B L' F2 U
D2 U F' B U2 R U'
D U F' L B U B2
U D F' L B U B2
F2 U D2 F L' B U
F2 U D2 F B L' U
F2 U D2 B F L' U
D U F' B L U B'
U D F' B L U B'
F2 U F B U2 R' U'
F2 U F B' L B2 U
D2 U B F L' F2 U
D2 U B F' U2 R U'
D U B L F' U B'
U D B L F' U B'
D U B F' L U B'
U D B F' L U B'
F' U B' L B2 U L'
F U F2 B U2 R' U'
F U F2 B' L B2 U
F2 U B F U2 R' U'
F2 U B' F L B2 U
F U B F2 U2 R' U'
F U B' L F2 B2 U
F U B' L B2 F2 U
F U B' F2 L B2 U
D2 U' R2 F' B R U'
D2 U' R2 B F' R U'
U' D2 R2 F' B R U'
U' D2 R2 B F' R U'
R2 D2 U' F' B R U'
R2 D2 U' B F' R U'
U D2 F L' F2 B U
U D2 F L' B F2 U
U D2 F B L' F2 U
U D2 F' B U2 R U'
U D2 B F L' F2 U
U D2 B F' U2 R U'
D2 F U L' F2 B U
D2 F U L' B F2 U
D2 F U B L' F2 U
R2 F U' F2 B R' U'
R2 F U' B R' F2 U'
R2 F U' B F2 R' U'
U F B' L F2 B2 U
U F B' L B2 F2 U
U F' L B U2 R' U'
U F' L B' L B2 U
U F' L' B U2 R' U'
U F' L' B' L B2 U
U F' L2 B U2 R' U'
U F' L2 B' L B2 U
B' D' L F' U R2 F'
R2 F' U' B R' U' R
U F' D L B U B2
U F' D B L U B'
R2 F' B L2 R' U' F
U2 F' B U2 R' U' F
R2 F' B R' L2 U' F
R2 F' B R' U B' U2
U F' B L U2 R' U'
U F' B L' U2 R' U'
U F' B L2 U2 R' U'
U F' B U2 R' U' D
U F' B U2 R' U' D'
U F' B U2 R' U' D2
U F' B U2 R' D U'
U F' B U2 R' D' U'
U F' B U2 R' D2 U'
U F' B U2 D R' U'
U F' B U2 D' R' U'
U F' B U2 D2 R' U'
U F' B D U2 R' U'
U F' B D' U2 R' U'
U F' B D2 U2 R' U'
U F' B' L U D' R2
U F' B' L D' U R2
U F' B' L B2 U D
U F' B' L B2 U D'
U F' B' L B2 U D2
U F' B' L B2 D U
U F' B' L B2 D' U
U F' B' L B2 D2 U
U F' B' L' B2 L2 U
U F' B' L2 B2 L' U
U F' B' D' L U R2
B' D' F' L U R2 F'
R2 F2 U' F B R' U'
R2 F2 U' B R' F U'
R2 F2 U' B F R' U'
U F2 D2 F L' B U
U F2 D2 F B L' U
U F2 D2 B F L' U
F2 D2 U F L' B U
F2 D2 U F B L' U
F2 D2 U B F L' U
U B L F' U2 R' U'
U B L' F' U2 R' U'
R2 B L2 F' R' U' F2
U B L2 F' U2 R' U'
F' B L U2 R' U' F'
F' B L2 U2 R' U' F
U B U2 R2 B R U'
F' B R D2 L2 U F
U B D F' U2 R' U'
F' B R' U' B' U2 B
U B D' F' U2 R' U'
U B D2 F' U2 R' U'
U2 B F' U2 R' U' F
R2 B F' L2 R' U' F
R2 B F' R' L2 U' F
R2 B F' R' U B' U2
U B F' L U2 R' U'
U B F' L' U2 R' U'
U B F' L2 U2 R' U'
U B F' U2 R' U' D
U B F' U2 R' U' D'
U B F' U2 R' U' D2
U B F' U2 R' D U'
U B F' U2 R' D' U'
U B F' U2 R' D2 U'
U B F' U2 D R' U'
U B F' U2 D' R' U'
U B F' U2 D2 R' U'
U B F' D U2 R' U'
U B F' D' U2 R' U'
U B F' D2 U2 R' U'
F' B U2 L2 R' U' F
F' B U2 R' L2 U' F
F' B U2 R' U B' U2
U2 B' L F' B2 U F
U2 B' L B2 F' U F
U B' L D' F' U R2
U B' L F' U D' R2
U B' L F' D' U R2
U B' L F' B2 U D
U B' L F' B2 U D'
U B' L F' B2 U D2
U B' L F' B2 D U
U B' L F' B2 D' U
U B' L F' B2 D2 U
U B' L B2 D F' U
U B' L B2 D' F' U
U B' L B2 D2 F' U
U B' L B2 F' U D
U B' L B2 F' U D'
U B' L B2 F' U D2
U B' L B2 F' D U
U B' L B2 F' D' U
U B' L B2 F' D2 U
U B' L' F' L2 B2 U
U B' L' F' B2 L2 U
U B' L' B2 L2 F' U
U B' L' B2 F' L2 U
B' F' L R2 B2 U F'
B' F' L U D' R2 F'
U B' L2 B2 L' F' U
B' F' L D' U R2 F'
F' B' L R2 B2 U F'
F' B' L U D' R2 F'
F' B' L D' U R2 F'
B' F' L B2 U' B' U2
F' B' L B2 U' B' U2
B F' L U2 R' U' F'
B' F' L' B2 L2 U F
F' B' L' B2 L2 U F
U' B' U2 L F' B2 U
U' B' U2 L B2 F' U
U2 B' U' L F' B2 U
U2 B' U' L B2 F' U
U' B' U2 F' L B2 U
U2 B' U' F' L B2 U
B F' L2 U2 R' U' F
B' F' R2 L B2 U F'
B F' R D2 L2 U F
F' B' R2 L B2 U F'
B F' R' U' B' U2 B
U B' D' L F' U R2
U B' D' F' L U R2
U B' F L F2 B2 U
U B' F L B2 F2 U
B F' U2 L2 R' U' F
B F' U2 R' L2 U' F
B F' U2 R' U B' U2
B' F' D' L U R2 F'
U B' F' L U D' R2
U B' F' L D' U R2
U B' F' L B2 U D
U B' F' L B2 U D'
U B' F' L B2 U D2
U B' F' L B2 D U
U B' F' L B2 D' U
U B' F' L B2 D2 U
