U' F2 U2 F L' U
R' L D' F L2 U2 L
F L D R2 F L' U2
F L D F L' R2 U2
F L D F R2 L' U2
R2 L F U' F B U'
R2 L F U' B F U'
D' L F L U F2 U
D' L F L U2 D' L2
D' L F L D R2 U2
D' L F L D' U2 L2
D2 L F U F2 B2 U
D2 L F U B2 F2 U
D L F U F2 U R2
D2 L F U2 D' L2 R2
D2 L F U2 D' R2 L2
D' L F D L R2 U2
D2 L F D L2 R2 U2
D2 L F D R2 L2 U2
D' L F D R2 L U2
D L F U2 R2 D' L2
D' L F D' L U2 L
D2 L F D' U2 L2 R2
D2 L F D' U2 R2 L2
R2 L' U' F2 B U' B2
R2 L' U' B F2 U' B2
R' L' U2 D R2 B' L
L' R' U2 D R2 B' L
R' L' U2 D B' L R2
R' L' U2 D B' R2 L
L' R' U2 D B' L R2
L' R' U2 D B' R2 L
R2 L' U2 B' D L2 R2
R2 L' U2 B' D R2 L2
R' L' D U2 R2 B' L
R' L' D U2 B' L R2
R' L' D U2 B' R2 L
L' R' D U2 R2 B' L
L' R' D U2 B' L R2
L' R' D U2 B' R2 L
R' L' D B' L R2 F'
R' L' D B' R2 L F'
L' R' D B' L R2 F'
R' L' D B' R2 F' L
L' R' D B' R2 L F'
L' R' D B' R2 F' L
R' L' D' L2 F U2 L'
L' R' D' L2 F U2 L'
L R' D' F L2 U2 L
D2 L' U F' B2 U B
D L' U F' U R2 B'
D L' U F' U B' R2
D2 L' U B2 F' U B
D L' U2 R2 B' D L2
F' L' U2 F' U' F B'
F' L' U2 F' U' B' F
R2 L' B' D L2 R2 F'
R2 L' B' D R2 L2 F'
R2 L' B' D R2 F' L2
L' R2 U' F2 B U' B2
L' R2 U' B F2 U' B2
L' R2 U2 B' D L2 R2
L' R2 U2 B' D R2 L2
L R2 F U' F B U'
L R2 F U' B F U'
D' L2 U L F' U B'
D' L2 U F' L U B'
L' R2 B' D L2 R2 F'
L' R2 B' D R2 L2 F'
L' R2 B' D R2 F' L2
L' U D F' U R2 B'
L' U D F' U B' R2
L' U D2 F' B2 U B
L' U D2 B2 F' U B
L' U F' U2 F' U' B'
U' R F R F B U'
U' R F R B F U'
U2 R F2 U' F2 B L
U2 R F2 U' B L F2
U2 R F2 U' B F2 L
L' U' R2 F2 B U' B2
L' U' R2 B F2 U' B2
R2 U' F B R F U'
L' U' F2 U2 F U B'
R2 U' F2 D2 B R' U'
R2 U' B F R F U'
U2 R' D R2 B' L B2
U2 R' D B' L R2 B
U2 R' D B' R2 L B
U2 R' D B2 R2 B L
L' U2 R' D R2 B' L
L' U2 R' D B' L R2
L' U2 R' D B' R2 L
L' U2 R2 B' D L2 R2
L' U2 R2 B' D R2 L2
L' U2 D R2 B' D L2
F' R2 U B L U L'
R' D L' U2 R2 B' L
R' D L' U2 B' L R2
R' D L' U2 B' R2 L
R' D L' B' L R2 F'
R' D L' B' R2 L F'
R' D L' B' R2 F' L
U' R2 F B R F U'
U' R2 F2 D2 B R' U'
U' R2 B F R F U'
L' D U F' U R2 B'
L' D U F' U B' R2
L' D U2 R2 B' D L2
L D F U F2 U R2
L D F U2 R2 D' L2
U' D R U' R B L
R' D' L F L U2 L2
D2 U F' B L B U
D U F' U R B R
D U F' B L U R2
U D F' U R B R
D2 U B L F' B U
D2 U B L B F' U
U D F' B L U R2
L' D' L2 F U F2 U
