F' U B' R' B
F' L' D B' L U
D L' F' B' L U
D L' B' L F' U
D L' B' F' L U
L' D F' B' L U
L' D B' L F' U
L' D B' F' L U
F' U R' B' R' B2
F' U B' R' D B
F' U B' R' D' B
F' U B' R' D2 B
F' U B' R' B D
F' U B' R' B D'
F' U B' R' B D2
F' U B2 R' B R'
F' U2 R' F' U' B
D' F L' F2 B' U
D' F L' B' F2 U
F' D L' B' L U
D F' L' B' L U
L' F' D B' L U
F2 D' F L' B' U
F2 D' F L' B' U
F' B U B' R' B
F' B' U B' R' B
B' F' U B' R' B
B2 F' U B' R' B
B F' U B' R' B
F' B2 U B' R' B
F' L U2 R' F U' B
F' L U2 F R' U' B
F' L D L2 B' L U
D2 L F' U D R2 B'
D2 L F' U D B' R2
D2 L F' U B' D R2
D' L F' U2 R F2 U'
D2 L F' U2 F2 U' B'
D2 L F' D U R2 B'
D2 L F' D U B' R2
D2 L F' D2 B2 U B
F' L' R' B' R U B2
F' L' U R' B D' R2
B' L' D F' B' L U
F' L' D B' L U D
F' L' D B' L U D'
F' L' D B' L U D2
F' L' D B' L D U
F' L' D B' L D' U
F' L' D B' L D2 U
B2 L' D F' B' L U
F' L' D B' D L U
F' L' D B' D' L U
F' L' D B' D2 L U
B' L' D B' L F' U
F2 L' D B' L F U
B' L' D B' F' L U
B L' D F' B' L U
B2 L' D B' L F' U
B2 L' D B' F' L U
B L' D B' L F' U
B L' D B' F' L U
F' L' D2 L U B' R'
R' L' B' R F' U B2
L' R' B' R F' U B2
D' L' D2 F' B' L U
D' L' D2 B' L F' U
F' L' D2 B' L U B'
D' L' D2 B' F' L U
D' L' F B' L' F2 U
D L' F B' L F2 U
D2 L' F' D' B' L2 U
B' L' F' D B' L U
D2 L' F' D2 B' U B'
D2 L' F' B' U D2 B2
D' L' F' B' U2 R U'
D2 L' F' B' U' F2 U2
B2 L' F' D B' L U
D2 L' F' B' D' L2 U
D2 L' F' B' D2 U B2
B L' F' D B' L U
D L' F' B' L U D
D L' F' B' L U D'
D L' F' B' L U D2
D L' F' B' L D U
D L' F' B' L D' U
D L' F' B' L D2 U
D L' F' B' D L U
D L' F' B' D' L U
D L' F' B' D2 L U
F L' F2 D B' L U
D2 L' B' L2 F' U B'
D L' B' L D F' U
D L' B' L D' F' U
D L' B' L D2 F' U
D L' B' L F' U D
D L' B' L F' U D'
D L' B' L F' U D2
D L' B' L F' D U
D L' B' L F' D' U
D L' B' L F' D2 U
D L' B' L' F' L2 U
F' L' B' U R' B R
F' L' B' U2 R' U' B
F' L' B' D2 L U B'
D' L' B' F L' F2 U
D2 L' B' F' U D2 B2
D2 L' B' F' U' F2 U2
D2 L' B' F' D' L2 U
D' L' B' F' U2 R U'
D2 L' B' F' D2 U B2
D L' B' D L F' U
D L' B' D F' L U
D L' B' D' L F' U
D L' B' D' F' L U
D L' B' D2 L F' U
D L' B' D2 F' L U
D L' B' F L F2 U
D L' B' F' L U D
D L' B' F' L U D'
D L' B' F' L U D2
D L' B' F' L D U
D L' B' F' L D' U
D L' B' F' L D2 U
D L' B' F' D L U
D L' B' F' D' L U
D L' B' F' D2 L U
F' L2 U R' D' B R'
D L2 F' L B' L U
D L2 F' B' L B' U
D L2 B' L F' B' U
D L2 B' L B' F' U
D L2 B' F' L B' U
F' R' L' B' R U B2
U R' D B' L R' B2
U R' D B' R' L B2
F' R' B2 R U B' R'
L D L2 F' B' L U
L D L2 B' L F' U
L D L2 B' F' L U
U2 R2 B R F' U' B
F' U L B' L' R' B
F' U L B' R' L' B
F' U L B' R' B L'
F' U L' D2 L B' R'
F' U L' B' R' B L
L' D F B' L F2 U
F' U L2 B' L2 R' B
F' U L2 B' R' L2 B
F' U L2 B' R' B L2
L' D F' B' L U D
L' D F' B' L U D'
L' D F' B' L U D2
L' D F' B' L D U
L' D F' B' L D' U
L' D F' B' L D2 U
L' D F' B' D L U
L' D F' B' D' L U
L' D F' B' D2 L U
F' U R U2 F' L' U2
L2 D F' B' L U R
L2 D F' B2 U R B
F' U R B' R2 B R
F' U R B2 R2 B R'
F' U R' D B' R' B2
F' U R' D' B' R' B2
F' U R' D2 B' R' B2
F' U R' B U2 L U2
F' U R' B' R B2 R2
F' U R' B' R' B2 D
F' U R' B' R' B2 D'
F' U R' B' R' B2 D2
F' U R' B' R2 B2 R
L' D B' L D F' U
L' D B' L D' F' U
L' D B' L D2 F' U
L' D B' L F' U D
L' D B' L F' U D'
L' D B' L F' U D2
L' D B' L F' D U
L' D B' L F' D' U
L' D B' L F' D2 U
L' D B' L' F' L2 U
L2 D B' L F' U R
L' D B' D L F' U
L' D B' D F' L U
L' D B' D' L F' U
L' D B' D' F' L U
L' D B' D2 L F' U
L' D B' D2 F' L U
L' D B' F L F2 U
F' U R2 B' R B R2
L' D B' F' L U D
L' D B' F' L U D'
L' D B' F' L U D2
L' D B' F' L D U
L' D B' F' L D' U
L' D B' F' L D2 U
F' U R2 B2 R B R'
L' D B' F' D L U
L' D B' F' D' L U
L' D B' F' D2 L U
L2 D B' F' L U R
L2 D B2 F' U R B
F' U D' B' D R' B
F' U D2 L B' L' R'
F' U D2 L B' R' L'
F' U D2 B' D2 R' B
F' U F' B' R' F B
F' U F' B' R' B F
F' U F2 B' R' F2 B
F' U F2 B' R' B F2
F' U B R' B2 R' B'
F' U B' L R' B L'
F' U B' L2 R' B L2
F' U B' R B R2 B
F' U B' R B' R2 B
F' U B' R B2 R2 B
F' U B' R' L B L'
F' U B' R' L2 B L2
F' U B' R' D B D
F' U B' R' D B D'
F' U B' R' D B D2
F' U B' R' D' B D
F' U B' R' D' B D'
F' U B' R' D' B D2
F' U B' R' D2 B D
F' U B' R' D2 B D'
F' U B' R' D2 B D2
F' U B' R' B2 D B'
F' U B' R' B2 D' B'
F' U B' R' B2 D2 B'
F' U B' R2 D R B
F' U B' R2 D' R B
F' U B' R2 D2 R B
F' U B' R2 B R B
F' U B' R2 B' R B
F' U B' R2 B2 R B
F' U B' F' R' F B
F' U B' F' R' B F
F' U B' F2 R' F2 B
F' U B' F2 R' B F2
F' U B2 R' B R' D
F' U B2 R' B R' D'
F' U B2 R' B R' D2
F' U B2 R' B D R'
F' U B2 R' B D' R'
F' U B2 R' B D2 R'
F U B' R' D' L2 B
F U B' R' D' B L2
F U B' R' B D' L2
F' U' L U2 B' R' B
F' U' L' U2 B' R' B
L' D' F B' L' F2 U
F' U' L2 U2 B' R' B
L' D' F' B' U2 R U'
F' U' R F' L' R' U2
F' U' R F' R' L' U2
L D' F' U2 R F2 U'
L' D' B' F L' F2 U
L' D' B' F' U2 R U'
L' D2 L F' U B' R'
F' U' D2 L U2 B' R'
F' U' D2 L' F U2 R
F' U' D2 F' L' F U2
F' U' F U2 R' B R2
F' U' F' D2 L' F U2
L' D2 F' L U B' R'
L' D2 F' D' B' L U
L' D2 F' B' L U B'
F' U2 R' D F' U' B
F' U2 R' D' F' U' B
F' U2 R' D2 F' U' B
F' U2 R' F' U' D B
F' U2 R' F' U' D' B
F' U2 R' F' U' D2 B
F' U2 R' F' U' B D
F' U2 R' F' U' B D'
F' U2 R' F' U' B D2
F' U2 R' F' D U' B
F' U2 R' F' D' U' B
F' U2 R' F' D2 U' B
L' D2 B' L F' U B'
L' D2 B' F' L U B'
F' U2 D' R' F' R U'
D' F L' D' B' U L2
D' F L' F2 D B' U
D' F L' F2 D' B' U
D' F L' F2 D2 B' U
D' F L' F2 B' U D
D' F L' F2 B' U D'
D' F L' F2 B' U D2
D' F L' F2 B' D U
D' F L' F2 B' D' U
D' F L' F2 B' D2 U
D' F L' B' U D' L2
D' F L' B' D' U L2
D' F L' B' F2 U D
D' F L' B' F2 U D'
D' F L' B' F2 U D2
D' F L' B' F2 D U
D' F L' B' F2 D' U
D' F L' B' F2 D2 U
F' U2 F R' F' U' B
F' U2 F U' B' R' B
D' F L2 F2 L B' U
D F L' F2 B' L U
F' U2 F' R' F' U' B
D F L' B' L F2 U
D F L' B' F2 L U
F' U2 F' U' B' R' B
F' U2 F2 R' F' U' B
F' U2 F2 U' B' R' B
B' D L' F' B' L U
B' D L' B' L F' U
B' D L' B' F' L U
B2 D L' F' B' L U
F' D L' B' L U D
F' D L' B' L U D'
F' D L' B' L U D2
F' D L' B' L D U
F' D L' B' L D' U
F' D L' B' L D2 U
F' D L' B' D L U
F' D L' B' D' L U
F' D L' B' D2 L U
B2 D L' B' L F' U
B2 D L' B' F' L U
F2 D L' B' L F U
D' F D' L' B' U L'
B D L' F' B' L U
F' D L2 B' L B' U
B D L' B' L F' U
B D L' B' F' L U
D' F B L' F2 B' U
D' F B L' B' F2 U
D' F B' L' F2 B' U
D' F B' L' B' F2 U
D' F B2 L' F2 B' U
D' F B2 L' B' F2 U
D' F' L U2 R F U'
D2 F' L U2 F U' B'
L' F' L U B' R' B
L2 F' L D B' L U
D2 F' L' B' L2 U B'
D2 F' L' B' U' F U2
D' F' L' B' U2 R U'
F2 D F L' B' L U
B' D F' L' B' L U
L2 F' L2 U B' R' B
B2 D F' L' B' L U
D F' L' B' L U D
D F' L' B' L U D'
D F' L' B' L U D2
D F' L' B' L D U
D F' L' B' L D' U
D F' L' B' L D2 U
D F' L' B' D L U
D F' L' B' D' L U
D F' L' B' D2 L U
B D F' L' B' L U
D F' L2 B' L B' U
L' F' R' B' R U B2
F' D B U2 R' F' U'
F' D B' L U2 F U'
F' D B' L' B' L2 U
D2 F' U L B' L' R'
D2 F' U L B' R' L'
L' F' U R' B D' R2
D2 F' U D2 B' R' B
D' F' U B' R' D B2
D2 F' U B' D2 R' B
D2 F' U' L U2 B' R'
L2 F' U R' D' B R'
D2 F' U' L' F U2 R
D2 F' U' F' L' F U2
D F' U D' B' R' B
L F' U R D R2 B
D' F' U2 R U2 B U
L F' U R' D B R2
L F' U R' B D R2
D' F' U2 R' F' R2 U'
F' D' L' D2 B' L U
L' F' D B' L U D
L' F' D B' L U D'
L' F' D B' L U D2
L' F' D B' L D U
L' F' D B' L D' U
L' F' D B' L D2 U
L' F' D B' D L U
D2 F' D' L' B' L U
L' F' D B' D' L U
L' F' D B' D2 L U
L F' U2 R' F2 U' B
L F' U2 F2 R' U' B
L' F' D2 L U B' R'
D2 F' D2 U B' R' B
L F' D B' L U R2
D F' D' U B' R' B
L' F' D2 B' L U B'
L F' D2 L B2 U B
L' F' B' U R' B R
L' F' B' U2 R' U' B
L' F' B' D2 L U B'
L F' D2 B2 L U B'
D F' B U2 R' F' U'
D F' B' L U2 F U'
D F' B' L' B' L2 U
F' D' U B' D R' B
U F' B' U R' F B
U F' B' U R' B F
U F' B' U F R' B
F' D' U2 R' F' R U'
B' D' F L' F2 B' U
B' D' F L' B' F2 U
F' D' F L' F' B' U
F' D' F L' B' F' U
B2 D' F L' F2 B' U
B2 D' F L' B' F2 U
F2 D' F L' D B' U
F2 D' F L' D' B' U
F2 D' F L' D2 B' U
F2 D' F L' B' U D
F2 D' F L' B' U D'
F2 D' F L' B' U D2
F2 D' F L' B' D U
F2 D' F L' B' D' U
F2 D' F L' B' D2 U
F2 D' F D L' B' U
F2 D' F D' L' B' U
F2 D' F D2 L' B' U
F2 D' F B L' B' U
F2 D' F B' L' B' U
F2 D' F B2 L' B' U
B D' F L' F2 B' U
B D' F L' B' F2 U
D F2 L' B' L F U
F D' F L' B' U L'
F2 D' B F L' B' U
F2 D' B' F L' B' U
F2 D' B2 F L' B' U
F' D2 L U2 F U' B'
D2 F2 D F L' B' U
F' D2 L' B' L2 U B'
F' D2 L' B' U' F U2
L' F2 D F B' L U
L' F2 D B' F L U
L' F2 D' F B' L' U
L' F2 D' B' F L' U
D F2 D2 F L' B' U
L' F2 B' D' F L' U
F' D2 U L B' L' R'
F' D2 U L B' R' L'
F' D2 U B' D2 R' B
F' D2 U' L U2 B' R'
F' D2 U' L' F U2 R
F' D2 U' F' L' F U2
F' B L' D B' L U
D' B F L' F2 B' U
D' B F L' B' F2 U
F' B U R' B' R' B2
F' B U B' R' D B
F' B U B' R' D' B
F' B U B' R' D2 B
F' B U B' R' B D
F' B U B' R' B D'
F' B U B' R' B D2
F' B U B2 R' B R'
D B F' U2 R' F' U'
F' B U2 R' F' U' B
D B' L F' U D R2
D B' L F' U2 F2 U'
D B' L F' D U R2
D B' L F' D2 B2 U
F' B D L' B' L U
D B' L' F' B' L2 U
D B' L' B' L2 F' U
D B' L' B' F' L2 U
F2 B D' F L' B' U
B' F' L' D B' L U
U B' R' D B' L B2
F' B' L' D B' L U
B2 F' L' D B' L U
U B' R' B2 D B' L
B F' L' D B' L U
U B' U' F' U R' B
L' B' D' F L' F2 U
L' B' D' F' U2 R U'
B' F' U R' B' R' B2
L' B' D2 L F' U B'
F' B' U R' B' R' B2
B' F' U B' R' D B
B' F' U B' R' D' B
B' F' U B' R' D2 B
B' F' U B' R' B D
B' F' U B' R' B D'
B' F' U B' R' B D2
B' F' U B2 R' B R'
B2 F' U R' B' R' B2
L' B' D2 F' L U B'
F' B' U B' R' D B
F' B' U B' R' D' B
F' B' U B' R' D2 B
F' B' U B' R' B D
F' B' U B' R' B D'
F' B' U B' R' B D2
D' B' F L' F2 B' U
D' B' F L' B' F2 U
F' B' U B2 R' B R'
B2 F' U B' R' D B
B2 F' U B' R' D' B
B2 F' U B' R' D2 B
B2 F' U B' R' B D
B2 F' U B' R' B D'
B2 F' U B' R' B D2
B2 F' U B2 R' B R'
B F' U R' B' R' B2
B' F' U2 R' F' U' B
B F' U B' R' D B
B F' U B' R' D' B
B F' U B' R' D2 B
B F' U B' R' B D
B F' U B' R' B D'
B F' U B' R' B D2
B F' U B2 R' B R'
L' B' F' U R' B R
L' B' F' U2 R' U' B
F' B' U2 R' F' U' B
L' B' F' D2 L U B'
B2 F' U2 R' F' U' B
B' F' D L' B' L U
F' B' D L' B' L U
D B' F' L U2 F U'
D B' F' L' B' L2 U
L' B' F2 D' F L' U
B2 F' D L' B' L U
B F' U2 R' F' U' B
U B' F' U R' F B
U B' F' U R' B F
U B' F' U F R' B
B F' D L' B' L U
F2 B' D' F L' B' U
R' B2 R F' U B' R'
F' B2 L' D B' L U
F' B2 U R' B' R' B2
F' B2 U B' R' D B
F' B2 U B' R' D' B
F' B2 U B' R' D2 B
F' B2 U B' R' B D
F' B2 U B' R' B D'
F' B2 U B' R' B D2
F' B2 U B2 R' B R'
F' B2 U2 R' F' U' B
F' B2 D L' B' L U
D' B2 F L' F2 B' U
D' B2 F L' B' F2 U
B' F2 D' F L' B' U
B2 F2 D' F L' B' U
F2 B2 D' F L' B' U
B F2 D' F L' B' U
