R2 U B U' R' F
R2 U B U' F R'
B R' D F B' L
B R' D B' F L
B R' D' F B' L'
B R' D' B' F L'
B R' F D B' L
B R' B' D' F L'
D2 U' F' U R F2
F U' F2 B U R'
F U' B F2 U R'
U' D2 F' U R F2
R2 F U B U' R'
D2 F U' F2 U R
D2 F' R F2 D' L2
U' F' B U R' F2
U' F' B U F2 R'
F2 D2 F' R D' L2
F2 D2 F' D' L2 R
F2 D2 F' D' R L2
R2 B U' R' F B'
R2 B U' R' B' F
R2 B U' F R' B'
U' B F' U R' F2
U' B F' U F2 R'
F' B U R' F2 B'
F' B U R' B' F2
F' B U R' B' F2
F' B U F2 R' B'
B F R' D' B' L2
F B R' D' B' L2
B F R' B' D' L2
F B R' B' D' L2
B F D' R' B' L2
F B D' R' B' L2
B F' U R' F2 B'
B F' U R' B' F2
B F' U F2 R' B'
F L U' F2 B U R'
F L U' B F2 U R'
F' L B U R' F2 B'
F' L B U R' B' F2
F' L B U F2 R' B'
F L B R' D' B' L2
F L B R' B' D' L2
F L B D' R' B' L2
R2 L' U B L U' R'
F L' U' F2 B U R'
F L' U' B F2 U R'
L' R2 U B L U' R'
F' L' B U R' F2 B'
F' L' B U R' B' F2
F' L' B U F2 R' B'
F L' B R' D' B' L2
F L' B R' B' D' L2
F L' B D' R' B' L2
F L2 U' F2 B U R'
F L2 U' B F2 U R'
F' L2 B U R' F2 B'
F' L2 B U R' B' F2
F' L2 B U F2 R' B'
F L2 B R' D' B' L2
F L2 B R' B' D' L2
F L2 B D' R' B' L2
U2 L2 B' L U F' U
D' R U F' U' L' F2
R2 U F' B U' R' F2
R2 U F' B U' F2 R'
R2 U F2 B U' F' R'
F R U' F2 B U R'
R2 U B U' R F R2
R2 U B U' R' D F
R2 U B U' R' D' F
R2 U B U' R' D2 F
R2 U B U' R' F D
R2 U B U' R' F D'
R2 U B U' R' F D2
R2 U B U' D R' F
R2 U B U' D F R'
F R U' B F2 U R'
R2 U B U' D' R' F
R2 U B U' D' F R'
R2 U B U' D2 R' F
R2 U B U' D2 F R'
R2 U B U' F R' D
R2 U B U' F R' D'
R2 U B U' F R' D2
R2 U B U' F D R'
R2 U B U' F D' R'
R2 U B U' F D2 R'
R2 U B U' F' R' F2
R2 U B D U' R' F
R2 U B D U' F R'
R2 U B D' U' R' F
R2 U B D' U' F R'
R2 U B D2 U' R' F
R2 U B D2 U' F R'
R2 U B F' U' R' F2
R2 U B F' U' F2 R'
R2 U B F2 U' F' R'
B R F R2 D B' L
F' R B U R' F2 B'
F' R B U R' B' F2
F' R B U F2 R' B'
F R B R' D' B' L2
F R B R' B' D' L2
F R B D' R' B' L2
B R B' R2 D' F L'
L U' D2 F' U R F'
L2 U' F' U' B' L U2
F R' U' F2 B U R'
F R' U' B F2 U R'
R U' B U R' F L
R U' B U F L R'
R U' B U F R' L
B R' D F B' L D
B R' D F B' L D'
B R' D F B' L D2
B R' D F B' D L
B R' D F B' D' L
B R' D F B' D2 L
B R' D F' B' L F2
B R' D F2 B' L F'
B R' D B' D F L
B R' D B' D' F L
B R' D B' D2 F L
B R' D B' F L D
B R' D B' F L D'
B R' D B' F L D2
B R' D B' F D L
B R' D B' F D' L
B R' D B' F D2 L
B R' D B' F' L F2
B R' D B' F2 L F'
B R' D' F D B' L'
B R' D' F D' B' L'
B R' D' F D2 B' L'
B R' D' F B L' B2
B R' D' F B' L' D
B R' D' F B' L' D'
B R' D' F B' L' D2
B R' D' F B' D L'
B R' D' F B' D' L'
B R' D' F B' D2 L'
B R' D' F B2 L' B
B R' D' B F L' B2
B R' D' B' F L' D
B R' D' B' F L' D'
B R' D' B' F L' D2
B R' D' B' F D L'
B R' D' B' F D' L'
B R' D' B' F D2 L'
B R' D' B2 F L' B
B R' D2 F D' B' L
B R' D2 B' D F L'
B R' F D B' L D
B R' F D B' L D'
B R' F D B' L D2
B R' F D B' D L
B R' F D B' D' L
B R' F D B' D2 L
B R' F2 D F' B' L
B R' F2 D B' L F'
B R' F2 D B' F' L
F' R' B U R' F2 B'
F' R' B U R' B' F2
F' R' B U F2 R' B'
F R' B R' D' B' L2
F R' B R' B' D' L2
F R' B D' R' B' L2
B R' B' D' F L' D
B R' B' D' F L' D'
B R' B' D' F L' D2
B R' B' D' F D L'
B R' B' D' F D' L'
B R' B' D' F D2 L'
B R' B2 D' F L' B
B R' B2 D' F B L'
B R' B2 D' B F L'
U2 R2 U' B U' R' F
U2 R2 U' B U' F R'
F R2 U' F2 B U R'
F R2 U' B F2 U R'
U' R2 U2 B U' R' F
U' R2 U2 B U' F R'
L2 U2 B' L U F' U
D' R2 B U' F B' R'
F' R2 B U R' F2 B'
F' R2 B U R' B' F2
D' R2 B U' B' R' F
D' R2 B U' B' F R'
F' R2 B U F2 R' B'
B R2 B U' R F B2
B R2 B U' R B2 F
B R2 B U' B2 R F
F R2 B R' D' B' L2
F R2 B R' B' D' L2
U R2 B R2 U' R F
F R2 B D' R' B' L2
B R2 B' R D F L2
B R2 B' R F D L2
B R2 B' D R F L2
B U R' D F B' L
B U R' D B' F L
B U R' D' F B' L'
B U R' D' B' F L'
B U R' F D B' L
B U R' B' D' F L'
F U D2 F' B2 U' R
B U F R' D' B' L2
F U D2 B2 F' U' R
B U F R' B' D' L2
B U F D' R' B' L2
R' D' R F L' D R2
R' D' R F D L' R2
R' D' R F D R2 L'
B U F' U R' F2 B'
B U F' U R' B' F2
B U F' U F2 R' B'
F U B U' R' D' L2
F U B U' D' L2 R'
F U B U' D' R' L2
F U B U2 F2 U R'
F U B D' U' L2 R'
F U B D' U' R' L2
F U B' D2 B2 U' R'
R' D' F2 D' F' L' R
R' D' F2 D' F' R L'
U' D' F' R' B U F2
D' U' F' R' B U F2
D2 U' F' R' U R2 F2
D2 U' F' R' U F2 R2
D2 U' F' R2 U R' F2
D2 U' F' R2 U F2 R'
D2 U' F' U R F2 D
D2 U' F' U R F2 D'
D2 U' F' U R F2 D2
D2 U' F' U R' F2 R2
D2 U' F' U R2 F2 R'
D2 U' F' D R2 U R'
D2 U' F' B U R F2
D2 U' F' B' U R F2
D2 U' F' B2 U R F2
B U' R' D F B' L
B U' R' D B' F L
B U' R' D' F B' L'
B U' R' D' B' F L'
B U' R' F D B' L
B U' R' B' D' F L'
D2 U' B F' U R F2
D2 U' B' F' U R F2
F2 U' D2 F U F2 R
D2 U' B2 F' U R F2
F2 U' F B U R' F2
F2 U' F B U F2 R'
B U' F R' D' B' L2
B U' F R' B' D' L2
B U' F D' R' B' L2
B U' F' U R' F2 B'
B U' F' U R' B' F2
B U' F' U F2 R' B'
F U' F' D2 F' U R
F U' F2 U B R' B'
F2 U' B F U R' F2
F2 U' B F U F2 R'
F U' F2 B U R' D
F U' F2 B U R' D'
F U' F2 B U R' D2
F U' F2 B U D R'
F U' F2 B U D' R'
F U' F2 B U D2 R'
F U' F2 B D U R'
F U' F2 B D' U R'
F U' F2 B D2 U R'
F U' F2 B' U' L U2
F U' B U R' D' L2
F U' B U D' L2 R'
F U' B U D' R' L2
F U' B D' U L2 R'
F U' B D' U R' L2
F U' B F2 U R' D
F U' B F2 U R' D'
F U' B F2 U R' D2
F U' B F2 U D R'
F U' B F2 U D' R'
F U' B F2 U D2 R'
F U' B F2 D U R'
F U' B F2 D' U R'
F U' B F2 D2 U R'
F U' B' F2 U' L U2
L D2 U' F' U R F'
U' D2 F' R' U R2 F2
U' D2 F' R' U F2 R2
U' D2 F' R2 U R' F2
U' D2 F' R2 U F2 R'
U' D2 F' U R F2 D
U' D2 F' U R F2 D'
U' D2 F' U R F2 D2
U' D2 F' U R' F2 R2
U' D2 F' U R2 F2 R'
U' D2 F' D R2 U R'
U' D2 F' B U R F2
U' D2 F' B' U R F2
U' D2 F' B2 U R F2
U' D2 B F' U R F2
B U2 R' D F B' L
B U2 R' D B' F L
