F2 R F L' B U
F2 R F B L' U
F2 R B F L' U
F' D' L' U F R
L' R U2 B L F U
F' L' R D2 B R' U
R L' U2 B L F U
F' L' U D F R F'
R2 L' F B R F' U'
F' L' U2 L F L' U'
U2 L' U2 F' B' L' U
U2 L' U2 B' F' L' U
F' L' D R B U F'
F' L' D U F R F'
R2 L' B F R F' U'
F' L' D2 R B R' U
F' L' F' R F B U
F' L' F' R B F U
L' R2 F B R F' U'
L' R2 B F R F' U'
F' R L' D2 B R' U
F' R D' L' B U F
F' R D' B L' U F
F' R D2 L' B R' U
F' R D2 B L' R' U
F' R D2 B R' L' U
F2 R F L B L2 U
F2 R F L' D B U
F2 R F L' D' B U
F2 R F L' D2 B U
F2 R F L' B U D
F2 R F L' B U D'
F2 R F L' B U D2
F2 R F L' B D U
F2 R F L' B D' U
F2 R F L' B D2 U
F2 R F D L' B U
F2 R F D B L' U
F2 R F D' L' B U
F2 R F D' B L' U
F2 R F D2 L' B U
F2 R F D2 B L' U
F2 R F B L' U D
F2 R F B L' U D'
F2 R F B L' U D2
F2 R F B L' D U
F2 R F B L' D' U
F2 R F B L' D2 U
F2 R F B D L' U
F2 R F B D' L' U
F2 R F B D2 L' U
F2 R F B' L' B2 U
F' R B D' L' U F
F2 R B F L' U D
F2 R B F L' U D'
F2 R B F L' U D2
F2 R B F L' D U
F2 R B F L' D' U
F2 R B F L' D2 U
F2 R B F D L' U
F2 R B F D' L' U
F2 R B F D2 L' U
F2 R B' F L' B2 U
F R' F' L' R2 B U'
F R' F' R2 L' B U'
F R' F' R2 B L' U'
F2 R2 F L' R' B U
F2 R2 F R' L' B U
F2 R2 F R' B L' U
F2 U R F L' U R
R2 D2 L' F B R U'
R2 D2 L' B F R U'
F2 U2 R F L' B' U
R2 D2 B L' F R U'
L' F R U2 F2 B U
L' F R U2 B F2 U
L' F R' F' R2 B U'
F U2 F2 L' B' R' U
F' D L' R B U F'
L' F U2 F2 L' B' U
F' D L' U F R F'
F' D R L' B U F'
F' D R B L' U F'
R2 F B R F' L' U'
L' F' L' U2 L F U'
F' D' L' R B U F
F' D' L' U R F R
F' D' L' U R' F R
F' D' L' U R2 F R
F' D' L' U D F R
F' D' L' U D' F R
F' D' L' U D2 F R
F' D' L' U F R D
F' D' L' U F R D'
F' D' L' U F R D2
F' D' L' U F D R
F' D' L' U F D' R
F' D' L' U F D2 R
F' D' L' D U F R
F' D' L' D' U F R
F' D' L' D2 U F R
F' D' L' B U F R
F' D' L' B' U F R
F' D' L' B2 U F R
D2 F' D' L' U F R
D' F' D' L' U F R
F' D' R L' B U F
D F' D' L' U F R
F' D' R B L' U F
D2 F2 R F L' B U
D' F2 R F L' B U
D2 F2 R F B L' U
D' F2 R F B L' U
D2 F2 R B F L' U
D' F2 R B F L' U
F' D' B L' U F R
D F2 R F L' B U
D F2 R F B L' U
D F2 R B F L' U
F' D' B' L' U F R
F' D' B2 L' U F R
L' F2 U2 F L' B' U
F' D2 L' R B R' U
F' D2 R L' B R' U
F' D2 R B L' R' U
F' D2 R B R' L' U
R2 B L' F R F' U'
R B U2 L' B' R' U'
F2 B R F L' B U
F2 B R F B L' U
F2 B R B F L' U
R2 B D2 L' F R U'
R2 B F R F' L' U'
F' B D' L' U F R
F2 B' R F L' B U
F2 B' R F B L' U
F2 B' R B F L' U
B' F' D' L' U F R
F' B' D' L' U F R
B2 F' D' L' U F R
B F' D' L' U F R
B' F2 R F L' B U
B' F2 R F B L' U
B' F2 R B F L' U
B2 F2 R F L' B U
B2 F2 R F B L' U
F2 B2 R F L' B U
F2 B2 R F B L' U
B2 F2 R B F L' U
F2 B2 R B F L' U
B F2 R F L' B U
B F2 R F B L' U
B F2 R B F L' U
F' B2 D' L' U F R
