F' R U R'
F' R U R' D
F' R U R' D'
F' R U R' D2
F' R U D R'
F' R U D' R'
F' R U D2 R'
F' R D U R'
F' R D' U R'
F' R D2 U R'
F' D R U R'
F' D' R U R'
F' D2 R U R'
F' B R U R'
B' F' R U R'
F' B' R U R'
B2 F' R U R'
B F' R U R'
F' B2 R U R'
F' R U R2 D R
F' R U R2 D' R
F' R U R2 D2 R
F' R U D R' D
F' R U D R' D'
F' R U D R' D2
F' R U D' R' D
F' R U D' R' D'
F' R U D' R' D2
F' R U D2 R' D
F' R U D2 R' D'
F' R U D2 R' D2
F' R U F' R' F
F' R U F2 R' F2
F' R U' L U2 R'
F' R U' L' U2 R'
F' R U' L2 U2 R'
D R U F' L' R'
D R U F' R' L'
F' R U2 F U' R'
F' R U2 F' U' R'
F' R U2 F2 U' R'
F' R D U R' D
F' R D U R' D'
F' R D U R' D2
L' U' L F' R U
F' R D' U R' D
F' R D' U R' D'
F' R D' U R' D2
F' R D2 U R' D
F' R D2 U R' D'
F' R D2 U R' D2
F2 R F R U R2
L U' L' F' R U
L2 U' L2 F' R U
F R F2 R U R2
F' R B2 U' L U2
L' U' F' L R U
L' U' F' R L U
L2 U' F' L2 R U
L2 U' F' R L2 U
F' R' U D' R F2
F' R' D' U R F2
F' R' B R2 U R'
F' R' B' R2 U R'
F' R' B2 R2 U R'
F' R2 D R' B2 U
F2 R2 F R U R
F R2 F2 R U R
F' D R U R' D
F' D R U R' D'
F' D R U R' D2
F' D R U D R'
F' D R U D' R'
F' D R U D2 R'
F' D R D U R'
F' D R D' U R'
F' D R D2 U R'
L' F' L R U R'
L' F' R L U R'
U' F' L2 R U B'
F2 D F R U R'
L2 F' L2 R U R'
U' F' R L2 U B'
U' F' R U' F U2
L2 F' R L2 U R'
F' D B R U R'
D F' R U F' R'
F' D B' R U R'
F' D B2 R U R'
F' D' R U R' D
F' D' R U R' D'
F' D' R U R' D2
F' D' R U D R'
F' D' R U D' R'
F' D' R U D2 R'
F' D' R D U R'
F' D' R D' U R'
F' D' R D2 U R'
D2 F' B R' U R
F2 D' F R U R'
F' D' B R U R'
F' D' B' R U R'
F' D' B2 R U R'
F' D2 R U R' D
F' D2 R U R' D'
F' D2 R U R' D2
F' D2 R U D R'
F' D2 R U D' R'
F' D2 R U D2 R'
F' D2 R D U R'
F' D2 R D' U R'
F' D2 R D2 U R'
F2 D2 F R U R'
F' D2 B R U R'
F' D2 B' R U R'
F' D2 B2 R U R'
F' D2 B2 R U R'
F' B R U R' D
F' B R U R' D'
F' B R U R' D2
F' B R U D R'
F' B R U D' R'
F' B R U D2 R'
F' B R D U R'
F' B R D' U R'
F' B R D2 U R'
D2 B F' R' U R
F' B D R U R'
F' B D' R U R'
F' B D2 R U R'
F' B' R U R' D
F' B' R U R' D'
F' B' R U R' D2
F' B' R U D R'
F' B' R U D' R'
F' B' R U D2 R'
F' B' R D U R'
F' B' R D' U R'
F' B' R D2 U R'
B' F' R U R' D
B' F' R U R' D'
B' F' R U R' D2
B' F' R U D R'
B' F' R U D' R'
B' F' R U D2 R'
B' F' R D U R'
B' F' R D' U R'
B' F' R D2 U R'
B2 F' R U R' D
B2 F' R U R' D'
B2 F' R U R' D2
B2 F' R U D R'
B2 F' R U D' R'
B2 F' R U D2 R'
B2 F' R D U R'
B2 F' R D' U R'
B2 F' R D2 U R'
B F' R U R' D
B F' R U R' D'
B F' R U R' D2
B F' R U D R'
B F' R U D' R'
B F' R U D2 R'
B F' R D U R'
B F' R D' U R'
B F' R D2 U R'
F' B' D R U R'
B' F' D R U R'
F' B' D' R U R'
B' F' D' R U R'
B2 F' D R U R'
F' B' D2 R U R'
B' F' D2 R U R'
B2 F' D' R U R'
B F' D R U R'
B2 F' D2 R U R'
B F' D' R U R'
B F' D2 R U R'
F' B2 R U R' D
F' B2 R U R' D'
F' B2 R U R' D2
F' B2 R U D R'
F' B2 R U D' R'
F' B2 R U D2 R'
F' B2 R D U R'
F' B2 R D' U R'
F' B2 R D2 U R'
F' B2 D R U R'
F' B2 D' R U R'
F' B2 D2 R U R'
F' L R D L' U R'
F' L R D' L' U R'
F' L R D2 L' U R'
U' L U F' R U R'
U' L U F' R U R'
B' L U' L' F' R U
B2 L U' L' F' R U
B L U' L' F' R U
F L U' L' F2 R U
U L U' F' R U R'
F' L D L' R U R'
F' L D R L' U R'
F' L D' L' R U R'
F' L D' R L' U R'
F' L D2 L' R U R'
F' L D2 R L' U R'
U' L F' L2 R U B'
U' L F' R L2 U B'
U' L F' R U' F U2
F' L B L' R U R'
F' L B R L' U R'
F' L B' L' R U R'
F' L B' R L' U R'
F' L B2 L' R U R'
F' L B2 R L' U R'
F' L' R D L U R'
F' L' R D' L U R'
F' L' R D2 L U R'
U' L' U F' R U R'
B' L' U' L F' R U
B2 L' U' L F' R U
F L' U' L F2 U F2
B L' U' L F' R U
D' L' U' F' L U F2
B' L' U' F' L R U
B' L' U' F' R L U
B2 L' U' F' L R U
B2 L' U' F' R L U
B L' U' F' L R U
B L' U' F' R L U
F L' U' F2 L U F2
U L' U' F' R U R'
F L' U2 L F2 U R
F' L' D L R U R'
F' L' D R L U R'
F' L' D' L R U R'
F' L' D' R L U R'
F' L' D2 L R U R'
F' L' D2 R L U R'
D' L' F L' D' L2 B2
D' L' F L' D' B2 L2
F L' D2 B2 R' U' R
D' L' F U' L F2 U
D' L' F U' F2 L U
B' L' F' L R U R'
U' L' F' L2 R U B'
B2 L' F' L R U R'
B' L' F' R L U R'
U' L' F' R L2 U B'
U' L' F' R U' F U2
B L' F' L R U R'
B2 L' F' R L U R'
B L' F' R L U R'
F' L2 R U R' D' B2
F' L2 R U D' R' B2
F' L2 R D' U R' B2
U' L2 U F' R U R'
B' L2 U' L2 F' R U
B2 L2 U' L2 F' R U
B L2 U' L2 F' R U
B' L2 U' F' L2 R U
B' L2 U' F' R L2 U
F L2 U' L2 F2 R U
B2 L2 U' F' L2 R U
B2 L2 U' F' R L2 U
B L2 U' F' L2 R U
B L2 U' F' R L2 U
U L2 U' F' R U R'
F' L2 D' R U R' B2
B' L2 F' L2 R U R'
U' L2 F' L2 R U B'
B' L2 F' R L2 U R'
U' L2 F' R L2 U B'
U' L2 F' R U' F U2
B2 L2 F' L2 R U R'
B2 L2 F' R L2 U R'
B L2 F' L2 R U R'
B L2 F' R L2 U R'
R' U R U' F' R U
F' L2 B L2 R U R'
F' L2 B R L2 U R'
R U R' D' F' L' F
F' L2 B' L2 R U R'
F' L2 B' R L2 U R'
R2 U R2 U' F' R U
R U R2 D R F' L'
F' L2 B2 L2 R U R'
F' L2 B2 R L2 U R'
R' U D' L' R F L'
R' U D' R L' F L'
R U D R F' L' R2
R U D R F' R2 L'
R' U D' R F L' F
F' R L D L' U R'
F' R L D' L' U R'
F' R L D2 L' U R'
R U D' R' F' L' F
R U D' F' L' R' F
R U D' F' L' F R'
R U D' F' R' L' F
F' R L' D L U R'
F' R L' D' L U R'
F' R L' D2 L U R'
F' R L2 U R' D' B2
F' R L2 U D' R' B2
F' R L2 D' U R' B2
L2 U F' L2 R B' U
F' R U L R' D L'
F' R U L R' D' L'
F' R U L R' D2 L'
L2 U F' L2 B' R U
F' R U L D L' R'
F' R U L D R' L'
F' R U L D' L' R'
F' R U L D' R' L'
F' R U L D2 L' R'
F' R U L D2 R' L'
L2 U F' R L2 B' U
F' R U L' R' D L
F' R U L' R' D' L
F' R U L' R' D2 L
F' R U L' D L R'
F' R U L' D R' L
F' R U L' D' L R'
F' R U L' D' R' L
F' R U L' D2 L R'
F' R U L' D2 R' L
F' R U R F' R2 F
F' R U R F2 R2 F2
F' R U R B R2 B'
F' R U R B2 R2 B2
F' R U R' L D L'
F' R U R' L D' L'
F' R U R' L D2 L'
F' R U R' L' D L
F' R U R' L' D' L
F' R U R' L' D2 L
D' R U R' F' L' F
F' R U R' F D F'
F' R U R' F D' F'
F' R U R' F D2 F'
F' R U R' F' D F
F' R U R' F' D' F
F' R U R' F' D2 F
F' R U R' B D B'
F' R U R' B D' B'
F' R U R' B D2 B'
R U F' L' R' D' F2
F' R U R' B' D B
F' R U R' B' D' B
F' R U R' B' D2 B
F' R U R2 D R D
F' R U R2 D R D'
F' R U R2 D R D2
F' R U R2 D' R D
F' R U R2 D' R D'
F' R U R2 D' R D2
F' R U R2 D2 R D
F' R U R2 D2 R D'
F' R U R2 D2 R D2
F' R U R2 B R B'
F' R U R2 B2 R B2
F' R U D R2 D R
F' R U D R2 D' R
F' R U D R2 D2 R
F' R U D F' R' F
F' R U D F2 R' F2
D R U L F' L' R'
D R U L F' R' L'
F' R U D' R2 D R
F' R U D' R2 D' R
F' R U D' R2 D2 R
