D2 L' F' R2 B' U
D2 L' F' B' R2 U
D L' F' B' U F'
D2 L' B' F' R2 U
D L' B' F' U F'
L2 U2 L F' B' U
L2 U2 L B' F' U
L2 U2 F' L B' U
L' F2 R F B' U
L' F2 R B' F U
L' F2 B' R F U
L' B' F2 R F U
F2 L R F L B' U'
L2 R U2 L F B' U
L2 R U2 L B' F U
L' R B' U2 L' B' U'
D2 L' R2 B' U D L2
D2 L' R2 B' U2 B2 U'
D2 L' R2 B' D U L2
D2 L' R2 B' D2 F2 U
R' L' F2 R F' B' U
R' L' F2 R B' F' U
L' R' F2 R F' B' U
L' R' F2 R B' F' U
R' L' F2 B' R F' U
L' R' F2 B' R F' U
D L' D F' R2 B' U
D L' D F' B' R2 U
D L' D B' F' R2 U
D' L' D' F' R2 B' U
D2 L' D' F' B' U F'
D' L' D' F' B' R2 U
D2 L' D' B' F' U F'
D' L' D' B' F' R2 U
D' L' D2 F' B' U F'
R2 L' B' U2 L' B2 U'
R2 L' B' U2 B2 L' U'
R' L' B' F2 R F' U
L' R' B' F2 R F' U
R L' B' U2 L' B' U'
D' L' D2 B' F' U F'
R2 L' B' D2 F2 R U
D2 L' F R2 F2 B' U
D2 L' F R2 B' F2 U
D2 L' F B' R2 F2 U
D2 L' F' R B' R U
D2 L' F' R2 D B' U
D2 L' F' R2 D' B' U
D2 L' F' R2 D2 B' U
D2 L' F' R2 B' U D
D2 L' F' R2 B' U D'
D2 L' F' R2 B' U D2
D2 L' F' R2 B' D U
D2 L' F' R2 B' D' U
D2 L' F' R2 B' D2 U
D' L' F' D' R2 B' U
D' L' F' D' B' R2 U
D2 L' F' D' B' U F2
D' L' F' D2 B' U F2
D2 L' F' B R2 B2 U
D2 L' F' B' R2 U D
D2 L' F' B' R2 U D'
D2 L' F' B' R2 U D2
D2 L' F' B' R2 D U
D2 L' F' B' R2 D' U
D2 L' F' B' R2 D2 U
D' L' F' B' U' B' U2
D2 L' F' B' U D' F2
D2 L' F' B' D' U F2
D L' F' D B' U F'
D L' F' D' B' U F'
D L' F' D2 B' U F'
D L' F' B' U D F'
D L' F' B' U D' F'
D L' F' B' U D2 F'
D L' F' B' U F' D
D L' F' B' U F' D'
D L' F' B' U F' D2
D L' F' B' D U F'
D L' F' B' D' U F'
D L' F' B' D2 U F'
B' L' F2 R F B' U
B' L' F2 R B' F U
D2 L' F2 R2 F B' U
D2 L' F2 R2 B' F U
U2 L' F2 R F B U
U2 L' F2 R B F U
B2 L' F2 R F B' U
B2 L' F2 R B' F U
B L' F2 R F B' U
B L' F2 R B' F U
D2 L' F2 B' R2 F U
B' L' F2 B' R F U
B2 L' F2 B' R F U
B L' F2 B' R F U
R L2 U2 L F B' U
R L2 U2 L B' F U
D2 L' B F' R2 B2 U
D2 L' B' R2 U2 B U'
D2 L' B' D' F' U F'
D2 L' B' F R2 F2 U
D2 L' B' F' R2 U D
D2 L' B' F' R2 U D'
D2 L' B' F' R2 U D2
D2 L' B' F' R2 D U
D2 L' B' F' R2 D' U
D2 L' B' F' R2 D2 U
D2 L' B' F' U D' F2
D' L' B' F' U' B' U2
