B' L F' R2 U R2
R2 U2 B R' U' R'
U' R2 U2 B R' U'
F' R2 B' L U R2
B' U' L F' R2 U
B' U' F' L R2 U
B' U' F' R2 L U
F' B' L R2 U R2
B' F' L R2 U R2
F' B' R2 L U R2
B' F' R2 L U R2
B' L R2 U2 B U' R2
U' L R2 U2 B R' U'
F' L R2 B' L U R2
R2 L U2 B R' U' R'
B' L F R2 F2 U R2
D L F B' D' L2 F
B' L F' R2 U R2 D
B' L F' R2 U R2 D'
B' L F' R2 U R2 D2
B' L F' R2 D B2 U
B' L F' R2 B U R2
B' L F' R2 B' U R2
B' L F' R2 B2 U R2
B' L F' B R2 U R2
B' L F' B' R2 U R2
B' L F' B2 R2 U R2
B' L F2 R2 F U R2
F' L B' L R2 U R2
B' L B F' R2 U R2
D L B' L2 F D' L2
F' L B' R2 L U R2
B' L B' F' R2 U R2
D L B' F D' L2 F
B' L B2 F' R2 U R2
R2 L' U2 B R' U' R'
U' L' R2 U2 B R' U'
F' L' R2 B' L U R2
B' L' U' L2 F' R2 U
B' L' U' F' L2 R2 U
B' L' U' F' R2 L2 U
B' L' F D' L2 F2 B2
B' L' F D' L2 B2 F2
B' L' F D' F2 L2 B2
B' L' F D' F2 B2 L2
B' L' F D' B2 L2 F2
B' L' F D' B2 F2 L2
B' L' F' L2 R2 U R2
B' L' F' R2 L2 U R2
L' R2 U2 B R' U' R'
L2 R2 U2 B R' U' R'
F' L' B' L R2 U R2
R2 L2 U2 B R' U' R'
L R2 U2 B R' U' R'
F' L' B' R2 L U R2
U' L2 R2 U2 B R' U'
F' L2 R2 B' L U R2
B' L2 U' L' F' R2 U
F' L2 B' L R2 U R2
F' L2 B' R2 L U R2
F' R D' R U R2 B
L' U' R2 U2 B R' U'
L2 U' R2 U2 B R' U'
L U' R2 U2 B R' U'
F' R' D' R' U B R2
U R' B R' B L U'
B' R2 L U2 B U' R2
U' R2 L U2 B R' U'
F' R2 L B' L U R2
U' R2 L' U2 B R' U'
F' R2 L' B' L U R2
U' R2 L2 U2 B R' U'
F' R2 L2 B' L U R2
R2 U2 F B R' U' R'
F' R2 U R' D' R' B
R2 U2 F' B R' U' R'
R2 U2 F2 B R' U' R'
R2 U2 B R' U' R' D
R2 U2 B R' U' R' D'
R2 U2 B R' U' R' D2
R2 U2 B R' U' D R'
R2 U2 B R' U' D' R'
R2 U2 B R' U' D2 R'
R2 U2 B R' D U' R'
R2 U2 B R' D' U' R'
R2 U2 B R' D2 U' R'
R2 U2 B R' F U' R'
R2 U2 B R' F' U' R'
R2 U2 B R' F2 U' R'
U' R2 U2 B R' U' D
U' R2 U2 B R' U' D'
U' R2 U2 B R' U' D2
U' R2 U2 B R' D U'
U' R2 U2 B R' D' U'
U' R2 U2 B R' D2 U'
R2 U2 B D' R' F2 U'
U' R2 U2 B D R' U'
U' R2 U2 B D' R' U'
U' R2 U2 B D2 R' U'
R2 U2 B D' F2 R' U'
R2 U2 B F R' U' R'
R2 U2 B F' R' U' R'
R2 U2 B F2 R' U' R'
F' R2 D L B2 U B
U2 R2 U2 B R' U' R
B R2 U2 B R U' R
F' R2 D B2 L U B'
U' R2 F U2 B R' U'
F2 R2 F B' L U R2
U' R2 F' U2 B R' U'
U' R2 F2 U2 B R' U'
F' R2 B U2 R' U' R'
F' R2 B D B2 L U
F R2 F2 B' L U R2
F' R2 B' L U R2 D
F' R2 B' L U R2 D'
F' R2 B' L U R2 D2
F' R2 B' L D B2 U
F' R2 B' L B U R2
F' R2 B' L B' U R2
F' R2 B' L B2 U R2
U R2 B R' U2 R U
F' R2 B' D L B2 U
F R2 B' L F2 U R2
F2 R2 B' F L U R2
F' R2 B2 U R B R
F R2 B' F2 L U R2
B' U' L R2 U2 B U'
B' U' L D' F' U F'
B' U' L F R2 F2 U
B' U' L F' R2 U D
B' U' L F' R2 U D'
B' U' L F' R2 U D2
B' U' L F' R2 D U
B' U' L F' R2 D' U
B' U' L F' R2 D2 U
B' U' L F' U D' F2
B' U' L F' D' U F2
B' U' L F2 R2 F U
B' U' L' F' L2 R2 U
B' U' L' F' R2 L2 U
B2 U' L' F' R2 U B'
D2 U' F L' F2 R U
D2 U' F' U2 L2 R U'
D2 U' F' U2 R L2 U'
B' U' R2 L U2 B U'
F2 U' R2 D2 F L' U
B U' R2 U2 B R U'
B' U' D' L F' U F'
B' U' D' F' L U F'
B' U' F L R2 F2 U
B' U' F L F2 R2 U
B' U' F R2 L F2 U
B' U' F R2 F2 L U
B' U' F' L R2 U D
B' U' F' L R2 U D'
B' U' F' L R2 U D2
B' U' F' L R2 D U
B' U' F' L R2 D' U
B' U' F' L R2 D2 U
B' U' F' L U D' F2
B' U' F' L D' U F2
B2 U' F' L' R2 U B'
B' U' F' R2 L U D
B' U' F' R2 L U D'
B' U' F' R2 L U D2
B' U' F' R2 L D U
B' U' F' R2 L D' U
B' U' F' R2 L D2 U
B' U' F' R2 D L U
B' U' F' R2 D' L U
B' U' F' R2 D2 L U
B U' F R2 F2 L' U
B2 U' F' R2 L' U B'
B' U' F' D' L U F2
B' U' F2 R2 F L U
B U' F' R2 U2 R U'
U' D2 F L' F2 R U
U' D2 F' U2 L2 R U'
U' D2 F' U2 R L2 U'
D2 F L' F2 R U R'
D F L B' D' L2 F
D2 F U' L' F2 R U
F D L D2 F2 B' L2
F D L D2 B' L2 F2
F D L D2 B' F2 L2
R2 F U2 B R' U' R'
F D L B' D2 L2 F
F D L' D2 L2 F2 B'
F D L' D2 L2 B' F2
U F' L2 R2 B' L U
U' F' R' D' R' U B
D' F' R' U B R F'
U F' L2 B' L R2 U
U F' L2 B' R2 L U
U' F' R2 D L U B'
U' F' R2 B' L B U
L' F' R2 B' L U R2
D2 F' U L2 R U' L2
D2 F' U R L2 U' L2
L2 F' R2 B' L U R2
U F' R2 L2 B' L U
L F' R2 B' L U R2
R2 F' U2 B R' U' R'
U' F' D' R' U F2 B
U' F' D' R' U B F2
F D' L F2 D2 L B'
F D' L2 R' B R F2
F' D' R' U B R F2
F D' L2 F2 R' B R
U' F' B' L B R2 U
L' F' B' L R2 U R2
F D' R F2 L2 R' B'
F D' R F2 R' L2 B'
L' F' B' R2 L U R2
F D' R' L2 B R F2
L2 F' B' L R2 U R2
L2 F' B' R2 L U R2
F D' R' B L2 R F2
F D' R' B R L2 F2
F D' R' B R F2 L2
B' D' U' L F' U F'
B' D' U' F' L U F'
L F' B' L R2 U R2
L F' B' R2 L U R2
B' D' F2 U' F L U
U' F2 R2 D2 F L' U
F D' F2 L D2 L B'
F D' F2 L2 R' B R
F D' F2 R' L2 B R
F D' F2 R' B L2 R
F D' F2 R' B R L2
D' F2 U' D' F L' U
R2 F2 U2 B R' U' R'
D' F2 D' U' F L' U
D' F2 D2 L D' B' L
R' B R' B L U' R2
R2 B R' U' R' D' F2
R2 B R' U2 R U R2
R2 B R' F' U' R' F'
R2 B R' F2 L' U' R'
B' F L R2 F2 U R2
B' F L F2 R2 U R2
B' F L' D' L2 F2 B2
B' F L' D' L2 B2 F2
B' F L' D' F2 L2 B2
B' F L' D' F2 B2 L2
B' F L' D' B2 L2 F2
B' F L' D' B2 F2 L2
R2 B D' R' F2 L' U'
B' F R2 L F2 U R2
F' B R2 U2 R U' R
B' F R2 F2 L U R2
B' F U' L R2 F2 U
B' F U' L F2 R2 U
B F R2 F2 L' U R2
B' F U' R2 L F2 U
B' F U' R2 F2 L U
U' B' L F' B R2 U
U' B' L B F' R2 U
B' F U' F2 L R2 U
B' F U' F2 R2 L U
F B R2 F2 L' U R2
L' B' L F' R2 U R2
L2 B' L F' R2 U R2
R2 B' L U R2 D L2
R2 B' L U2 B2 U' R2
R2 B' L D B2 U L2
B F U' R2 F2 L' U
F B U' R2 F2 L' U
L B' L F' R2 U R2
B' F' L R2 U R2 D
B' F' L R2 U R2 D'
B' F' L R2 U R2 D2
B' F' L R2 D B2 U
B' F' L R2 B U R2
B' F' L R2 B' U R2
B' F' L R2 B2 U R2
F' B' L R2 U R2 D
F' B' L R2 U R2 D'
F' B' L R2 U R2 D2
F' B' L R2 D B2 U
F' B' L R2 B U R2
F' B' L R2 B' U R2
F' B' L R2 B2 U R2
B' F' L B R2 U R2
B' F' L B' R2 U R2
B' F' L B2 R2 U R2
F' B' L B R2 U R2
F' B' L B' R2 U R2
F' B' L B2 R2 U R2
U2 B' U L F' R2 U
F B' L R2 F2 U R2
L' B' U' L F' R2 U
U2 B' U F' L R2 U
U2 B' U F' R2 L U
F B' L F2 R2 U R2
L' B' U' F' L R2 U
L' B' U' F' R2 L U
L2 B' U' L F' R2 U
F B' L' D' L2 F2 B2
F B' L' D' L2 B2 F2
L2 B' U' F' L R2 U
F B' L' D' F2 L2 B2
F B' L' D' F2 B2 L2
L2 B' U' F' R2 L U
F B' L' D' B2 L2 F2
F B' L' D' B2 F2 L2
L B' U' L F' R2 U
B' F' R2 L U R2 D
B' F' R2 L U R2 D'
B' F' R2 L U R2 D2
B' F' R2 L D B2 U
L B' U' F' L R2 U
B' F' R2 L B U R2
B' F' R2 L B' U R2
L B' U' F' R2 L U
B' F' R2 L B2 U R2
B' F' R2 D L B2 U
U B' U2 L F' R2 U
F' B' R2 L U R2 D
F' B' R2 L U R2 D'
F' B' R2 L U R2 D2
F' B' R2 L D B2 U
R2 B' U2 B2 R' U' R'
F' B' R2 L B U R2
F' B' R2 L B' U R2
F' B' R2 L B2 U R2
F' B' R2 D L B2 U
B2 F' R2 U R B R
U B' U2 F' L R2 U
U B' U2 F' R2 L U
F2 B' R2 F L U R2
B2 F' R2 B L U R2
B F' R2 U2 R U' R
F B' R2 L F2 U R2
U' B' F' L B R2 U
F B' R2 F2 L U R2
F2 B' U' R2 F L U
L' B' F' L R2 U R2
F2 B' U' F L R2 U
F2 B' U' F R2 L U
L' B' F' R2 L U R2
L2 B' F' L R2 U R2
L2 B' F' R2 L U R2
F B' U' L R2 F2 U
F B' U' L F2 R2 U
F B' U' R2 L F2 U
F B' U' R2 F2 L U
F B' U' F2 L R2 U
F B' U' F2 R2 L U
L B' F' L R2 U R2
L B' F' R2 L U R2
B' F2 R2 F L U R2
F' B2 R2 U R B R
F' B2 R2 B L U R2
B' F2 U' R2 F L U
B' F2 U' F L R2 U
B' F2 U' F R2 L U
U B2 U2 F' L' R2 U
U B2 U2 F' R2 L' U
