U' B U' B' R'
F' L' U' B U' B'
B L2 F' U' F2 R
B L2 F2 U' F' R
R U' R' F' B U'
R U' R' B F' U'
L' U' B U' B' R'
L2 U' B U' B' R'
L U' B U' B' R'
U' D B U' B' R'
U' D' B U' B' R'
D2 U' B U' B' R'
D' U' B U' B' R'
D U' B U' B' R'
F U' B U' R B'
F U' B U' B' R
U' D2 B U' B' R'
U' F B U' B' R'
U' F' B U' B' R'
U' F2 B U' B' R'
U' B R' F' U' B'
U' B U' R B' R'
U' B U' R' B' R'
U' B U' R2 B' R'
U' B U' D B' R'
U' B U' D' B' R'
U' B U' D2 B' R'
U' B U' B' R' D
U' B U' B' R' D'
U' B U' B' R' D2
U' B U' B' D R'
U' B U' B' D' R'
U' B U' B' D2 R'
U' B D U' B' R'
U' B D' U' B' R'
U' B D2 U' B' R'
B F L2 U' R F
F B L2 U' R F
U' B F U' B' R'
U' B F' U' B' R'
F' B U B' L' U2
U' B F2 U' B' R'
B F U B' U2 R
F B U B' U2 R
B F' U B' L' U2
L' R U' R' F' B U'
L' R U' R' B F' U'
L2 R U' R' F' B U'
L2 R U' R' B F' U'
L R U' R' F' B U'
L R U' R' B F' U'
R L U' R' F' B U'
R L U' R' B F' U'
D2 L U' B U' B' R'
D' L U' B U' B' R'
D L U' B U' B' R'
F L U' B U' R B'
F L U' B U' B' R
U L U2 F B U' B'
U L U2 B F U' B'
B L F L U' R F
F L B L2 U' R F
F' L B U L2 U2 F
F' L B U B' L2 U2
F L B U B' U2 R
R L' U' R' F' B U'
R L' U' R' B F' U'
F' L' R U' R' B U'
F' L' R2 U' R2 B U'
F' L' U' D B U' B'
F' L' U' D' B U' B'
F' L' U' D2 B U' B'
D2 L' U' B U' B' R'
F' L' U' B R U' B'
F' L' U' B R' U' B'
D' L' U' B U' B' R'
F' L' U' B R2 U' B'
F' L' U' B U' D B'
F' L' U' B U' D' B'
F' L' U' B U' D2 B'
F' L' U' B U' B' D
F' L' U' B U' B' D'
F' L' U' B U' B' D2
F' L' U' B D U' B'
F' L' U' B D' U' B'
F' L' U' B D2 U' B'
D L' U' B U' B' R'
F L' U' B U' R B'
F L' U' B U' B' R
F' L' D U' B U' B'
B L' D F L' U' R
