U2 L' U2 L B U'
B R U2 L' R' U
B R U2 R' L' U
B R' U2 L' R U
B R' U2 R L' U
R2 U2 L' F' R2 U
L' U2 B U2 B' U
B R2 U2 L' R2 U
B R2 U2 R2 L' U
B U2 L' U2 L U'
F2 U2 B R F2 U'
L' F U2 F' B U'
L' F U2 B F' U'
L' F' U2 F B U'
L' F' U2 B F U'
L' F2 U2 F2 B U'
L' F2 U2 B F2 U'
U2 B U2 B' L' U
B L R U2 L2 R' U
B L R U2 R' L2 U
B L R' U2 L2 R U
B L R' U2 R L2 U
B L R2 U' D' F2 B2
B L R2 U' D' B2 F2
B L R2 U2 L2 R2 U
B L R2 U2 R2 L2 U
B L R2 D' U' F2 B2
B L R2 D' U' B2 F2
B L R2 D2 L2 R2 U'
B L R2 D2 R2 L2 U'
R2 L U2 L2 F' R2 U
R2 L U2 F' L2 R2 U
R2 L U2 F' R2 L2 U
B L U D F2 U2 F2
B L U' D' B2 D2 F2
B L U2 L2 U D F2
B L U2 L2 U2 L2 U'
B L U2 L2 D U F2
B L U2 L2 D2 R2 U
R2 L D2 L2 R2 B U'
F2 L U2 B R F2 U'
R2 L D2 R2 L2 B U'
R2 L D2 R2 B L2 U'
B L D U F2 U2 F2
B L D' U' B2 D2 F2
R2 L F' L2 R2 B' U
R2 L F' L2 B' R2 U
R2 L F' R2 L2 B' U
B L D2 R2 U' D' F2
B L D2 R2 U2 R2 U
B L D2 R2 D' U' F2
B L D2 R2 D2 L2 U'
L2 R B2 L R' B U'
L2 R B2 R' L B U'
L2 R' U2 L R F U
L2 R' U2 R L F U
U2 L' R2 F' U2 L U'
B' L' U D L2 D2 R2
R2 L' F R2 F2 B U
R2 L' F R2 B F2 U
B' L' U' D' R2 U2 R2
U2 L' U2 L D B U'
U2 L' U2 L D' B U'
U2 L' U2 L D2 B U'
U2 L' U2 L B U' D
U2 L' U2 L B U' D'
U2 L' U2 L B U' D2
U2 L' U2 L B D U'
U2 L' U2 L B D' U'
U2 L' U2 L B D2 U'
U2 L' U2 L' B L2 U'
U2 L' U2 L2 B L' U'
R2 L' F' R2 U2 F U'
U2 L' U2 D L B U'
U2 L' U2 D' L B U'
U2 L' U2 D2 L B U'
D2 L' U2 B U2 B' U
D' L' U2 B U2 B' U
F2 L' U2 B R F2 U'
D L' U2 B U2 B' U
B' L' U2 B2 U' D' R2
B' L' U2 B2 U2 B2 U
B' L' U2 B2 D' U' R2
B' L' U2 B2 D2 F2 U'
B' L' D U L2 D2 R2
U2 L' D U2 L B U'
B' L' D' U' R2 U2 R2
U2 L' D' U2 L B U'
U2 L' D2 U2 L B U'
B' L' D2 F2 U D R2
B' L' D2 F2 U2 F2 U'
B' L' D2 F2 D U R2
B' L' D2 F2 D2 B2 U
D2 L' F U2 F' B U'
D' L' F U2 F' B U'
D2 L' F U2 B F' U'
D' L' F U2 B F' U'
B' L' F U2 F' B2 U'
B' L' F U2 B2 F' U'
U2 L' F U2 L B U'
D L' F U2 F' B U'
D L' F U2 B F' U'
D' L' F' U2 F B U'
D2 L' F' U2 F B U'
D' L' F' U2 B F U'
D2 L' F' U2 B F U'
B' L' F' U2 F B2 U'
B' L' F' U2 B2 F U'
U2 L' F' U2 L B U'
D L' F' U2 F B U'
D L' F' U2 B F U'
B' L' F2 U D L2 R2
B' L' F2 U D R2 L2
D' L' F2 U2 F2 B U'
D' L' F2 U2 B F2 U'
D2 L' F2 U2 F2 B U'
D2 L' F2 U2 B F2 U'
B' L' F2 U2 F2 B2 U'
B' L' F2 U2 B2 F2 U'
B' L' F2 D U L2 R2
B' L' F2 D U R2 L2
U2 L' F2 U2 L B U'
R' L2 U2 L R F U
B' L' F2 D2 F2 B2 U
B' L' F2 D2 B2 F2 U
D L' F2 U2 F2 B U'
D L' F2 U2 B F2 U'
R' L2 U2 R L F U
L2 R2 U2 L F' R2 U
R2 L2 U2 L F' R2 U
L R2 U2 L2 F' R2 U
L2 R2 U2 F' L R2 U
L2 R2 U2 F' R2 L U
R2 L2 U2 F' L R2 U
R2 L2 U2 F' R2 L U
L R2 U2 F' L2 R2 U
L R2 U2 F' R2 L2 U
L R2 D2 L2 R2 B U'
B L2 R U2 L R' U
B L2 R U2 R' L U
L R2 D2 R2 L2 B U'
L R2 D2 R2 B L2 U'
B' L2 R B2 L R' U'
B' L2 R B2 R' L U'
L' R2 F R2 F2 B U
L' R2 F R2 B F2 U
B L2 R' U2 L R U
B L2 R' U2 R L U
B L2 R2 U2 L R2 U
B L2 R2 U2 R2 L U
L' R2 F' R2 U2 F U'
L R2 F' L2 R2 B' U
L R2 F' L2 B' R2 U
L R2 F' R2 L2 B' U
B L2 U2 L U2 L' U'
F2 L2 U2 B R F2 U'
R L2 B2 L R' B U'
R L2 B2 R' L B U'
U2 L2 D2 L R2 F' U
U2 L2 D2 R2 L F' U
U2 L2 D2 R2 F' L U
B2 L2 F L U2 F' U'
B' L2 B2 R' U2 R U
B R L U2 L2 R' U
B R L U2 R' L2 U
B R L2 U2 L R' U
B R L2 U2 R' L U
B' R L2 B2 L R' U'
B' R L2 B2 R' L U'
B R U2 L' R' U D
B R U2 L' R' U D'
B R U2 L' R' U D2
B R U2 L' R' D U
B R U2 L' R' D' U
B R U2 L' R' D2 U
B R U2 L' D R' U
B R U2 L' D' R' U
B R U2 L' D2 R' U
B R U2 R' L' U D
B R U2 R' L' U D'
B R U2 R' L' U D2
B R U2 R' L' D U
B R U2 R' L' D' U
B R U2 R' L' D2 U
B R U2 R' D L' U
B R U2 R' D' L' U
B R U2 R' D2 L' U
B R U2 D L' R' U
B R U2 D R' L' U
B R U2 D' L' R' U
B R U2 D' R' L' U
B R U2 D2 L' R' U
B R U2 D2 R' L' U
B R D U2 L' R' U
B R D U2 R' L' U
B R D' U2 L' R' U
B R D' U2 R' L' U
B R D2 U2 L' R' U
B R D2 U2 R' L' U
R2 U' L' F' R2 U R2
L' U' R2 U F' U R2
B' R B2 L U' D' B2
B' R B2 L U2 L2 U
B' R B2 L D' U' B2
B' R B2 L D2 R2 U'
B R' L U2 L2 R U
B R' L U2 R L2 U
B R' L2 U2 L R U
B R' L2 U2 R L U
B R' U2 L' R U D
B R' U2 L' R U D'
B R' U2 L' R U D2
B R' U2 L' R D U
B R' U2 L' R D' U
B R' U2 L' R D2 U
B R' U2 L' D R U
B R' U2 L' D' R U
B R' U2 L' D2 R U
B R' U2 R L' U D
B R' U2 R L' U D'
B R' U2 R L' U D2
B R' U2 R L' D U
B R' U2 R L' D' U
B R' U2 R L' D2 U
B R' U2 R D L' U
B R' U2 R D' L' U
B R' U2 R D2 L' U
B R' U2 D L' R U
B R' U2 D R L' U
B R' U2 D' L' R U
B R' U2 D' R L' U
B R' U2 D2 L' R U
B R' U2 D2 R L' U
B R' D U2 L' R U
B R' D U2 R L' U
R' U2 L R F L2 U
B R' D' U2 L' R U
B R' D' U2 R L' U
L2 U2 L U2 L' B U'
L2 U2 L U2 B L' U'
R' U2 L' R U2 B' U'
R2 U2 L F' L2 R2 U
R2 U2 L F' R2 L2 U
B R' D2 U2 L' R U
B R' D2 U2 R L' U
R2 U2 L' R2 U2 B U'
R U2 L' R F' R2 U
R U2 L' R' U2 B U'
R2 U2 L' D' F' U F'
R2 U2 L' F R2 F2 U
R2 U2 L' F' R2 U D
R2 U2 L' F' R2 U D'
R2 U2 L' F' R2 U D2
R2 U2 L' F' R2 D U
R2 U2 L' F' R2 D' U
R2 U2 L' F' R2 D2 U
R2 U2 L' F' U D' F2
R2 U2 L' F' D' U F2
R2 U2 L' F2 R2 F U
L' U2 L2 B L2 F U'
