B2 U B' U' R' B
U B U' B2 R' B
B L R' F U' F' B
B L R' F U' B F'
D2 L U F B U' B2
D L U F B R' U'
D2 L U B F U' B2
D L U B R' F U'
D L U B F R' U'
R' L F U' F' B L
R' L F U' B L F'
R' L F U' B F' L
D2 L F B U' F' B2
D2 L F B U' B2 F'
D L B R' F U' F'
D2 L B F U' F' B2
D2 L B F U' B2 F'
D2 L B' U F B2 U'
D2 L B' U B2 F U'
R' L' U' B' U B2 L
L' R' U' B' U B2 L
L R' F U' F' B L
L R' F U' B L F'
L R' F U' B F' L
L U R' F U' B L
L U D F B R' U'
L U D B R' F U'
L U D B F R' U'
L U F R' U' B L
L U F D B R' U'
L U F B R' U' B
L U B R' F U' B
L U B F R' U' B
B R' L F U' F' B
B R' L F U' B F'
R2 U' F' U' L' U2 B'
B2 R' U B' U' R' B2
F' R' U' F B L R
F' R' U' F B R L
F' R' U' B F L R
F' R' U' B F R L
B' R' D L2 D' B R'
B R' F' U' F B R
B R' F' U' B F R
B R' B U B' U' R'
L D U F B R' U'
L D U B R' F U'
L D U B F R' U'
B2 U R' B' U' R' B2
L D B R' F U' F'
D2 U B U L U2 B'
B2 U F B' U' R' B
D U B R' U L U2
U D B R' U L U2
B2 U F' B' U' R' B
B2 U F2 B' U' R' B
B2 U B' R U' R2 B
B2 U B' U' R' D B
B2 U B' U' R' D' B
B2 U B' U' R' D2 B
B2 U B' U' R' B D
B2 U B' U' R' B D'
B2 U B' U' R' B D2
B2 U B' F U' R' B
B2 U B' F' U' R' B
B2 U B' F2 U' R' B
B' U B2 R' U' B R'
B' U B2 U' R' B R'
B' U B2 U' B R' B
U D2 B U L U2 B'
B' D L2 D' R' B R'
B' D L2 D' B R' B
U F B U' B2 R' B
F' D B R' U' F R
R' F' U' F B L R
R' F' U' F B R L
R' F' U' B F L R
R' F' U' B F R L
D' F' B R U' F R
D F' B R' U' F R
U F' B U' B2 R' B
B D' F' R U' F R
B D2 L F U' F' B'
B D2 L F U' B' F'
U F2 B U' B2 R' B
D2 B L F U' F' B'
D2 B L F U' B' F'
D B L R' F U' F'
U B R U L F' U2
U B R U F' L U2
D B R' L F U' F'
D B R' F' U' F R
U B R' U L U2 B
U B R' U' B2 R' B'
L B R' F U' F' B
L B R' F U' B F'
U B U D2 L U2 B'
U B U' R' B2 R' B'
U B U' B R' B R'
U B U' B2 R' D B
U B U' B2 R' D' B
U B U' B2 R' D2 B
U B U' B2 R' B D
U B U' B2 R' B D'
U B U' B2 R' B D2
U B U2 B2 U R' B
F' B R' U' F B R
F' B R' U' B F R
D' B F' R U' F R
U B D2 U L U2 B'
D B F' R' U' F R
U B F U' B2 R' B
F' B U' R' F B R
F' B U' R' B F R
F' B U' R2 F R B
F' B U' F R' B R2
U B F' U' B2 R' B
U B F2 U' B2 R' B
U B' R B2 U' R2 B
U B' U' R' D L2 B
U B' U' R' D B L2
B F' R' U' F B R
B F' R' U' B F R
B F' U' R' F B R
B F' U' R' B F R
B F' U' R2 F R B
B F' U' F R' B R2
U B2 R' B' U' B2 R'
U' B2 U2 B' U' R' B
