D' B R U' R2 F'
D' L B R U' R2 F'
B L' R F U B U2
B L' R' F R2 U' F2
D' L' B R U' R2 F'
U' L' B R F L U'
B L2 R U B L U2
U' L2 B L R F U'
D' L2 B R U' R2 F'
U' L2 B R L F U'
R' U D F' L' R B2
R' U D F' L' B2 R
R' U D F' R L' B2
R' U D F' R B2 L'
R' U D F' B2 L' R
R' U D F' B2 R L'
R' U D B2 F' L' R
R' U D B2 F' R L'
B R L' F U B U2
B R L2 U B L U2
B R U D' B U2 R'
B R U' R2 D F' R
B R U' D R2 F' R
B R D U' R2 F' R
B R D' U B U2 R'
B' R B2 L2 U' F R
B R' L' F R2 U' F2
L' U' B R F L U'
B R' U' D F' R B2
B R' U' D F' B2 R
B R' U' D B2 F' R
B' R' D L2 F' R B2
B' R' D L2 F' B2 R
B' R' D L2 B2 F' R
B' R' D F' L2 R B2
B' R' D F' L2 B2 R
B' R' D F' R L2 B2
B' R' D F' R B2 L2
B' R' D F' B2 L2 R
B' R' D F' B2 R L2
B' R' D B2 L2 F' R
B' R' D B2 F' L2 R
B' R' D B2 F' R L2
B R' D U' F' R B2
B R' D U' F' B2 R
B R' D U' B2 F' R
R' D U F' L' R B2
R' D U F' L' B2 R
R' D U F' R L' B2
R' D U F' R B2 L'
R' D U F' B2 L' R
R' D U F' B2 R L'
R' D U B2 F' L' R
R' D U B2 F' R L'
D2 U B R F' L' U'
D' U' B L R U' R2
U' D' B L R U' R2
D2 U' B L R F' U'
U' D' B R L U' R2
D' U' B R L U' R2
D2 U' B R L F' U'
D2 U' B R F' L U'
U' D2 B L R F' U'
U' D2 B R L F' U'
U' D2 B R F' L U'
U D2 B R F' L' U'
L' F D2 B R' U' F'
B D R U' R2 F' R
U F' L' F B R U'
U F' L' B F R U'
B D' R U B U2 R'
U F' B L' F R U'
B D2 R F' U B U2
U' B L R U2 B' U
D' B L R U' R2 F'
U' B L' R F L2 U'
D' B L' R U' R2 F'
D' B L2 R U' R2 F'
U' B R L U2 B' U
U' B R L' F L2 U'
D' B R L U' R2 F'
D' B R L' U' R2 F'
D' B R L2 U' R2 F'
D' B R U B U2 R2
D' B R U' R2 D F'
D' B R U' R2 D' F'
D' B R U' R2 D2 F'
D' B R U' R2 F' D
D' B R U' R2 F' D'
D' B R U' R2 F' D2
D' B R U' F R2 F'
D' B R U' F' R2 F'
D' B R U' F2 R2 F'
D2 B R F' U B U2
D' B R F U' R2 F'
D' B R F' U' R2 F'
L' B R F U B U2
D' B R F2 U' R2 F'
L2 B R U B L U2
D B R U' R2 F' R
L' B R' F R2 U' F2
L B R U' D' R2 F'
L B R D' U' R2 F'
U B R F' L' F U'
D' B D R U' R2 F'
D' B D' R U' R2 F'
U' B D2 L R F' U'
U' B D2 R L F' U'
U' B D2 R F' L U'
D' B D2 R U' R2 F'
U B D2 R F' L' U'
U B F' L' F R U'
