R D' L2 F L' B'
R D' L2 F L' B'
D' L R D B' L F
L R D' L F B' L'
L R D' L B' F L'
R L D' L F B' L'
R L D' L B' F L'
L2 R D' F L B' L2
R L2 D' F L B' L2
D' L2 R D' F L' B'
D2 L2 B R' U' R2 F
D2 L2 B R' U' F R2
D' R L D B' L F
D' R L2 D' F L' B'
D2 R D L B' L F
U' R D' L2 F L' B'
U2 R D' L2 F L' B'
U R D' L2 F L' B'
B' R2 U2 D L2 R' B
B' R2 U2 D R' L2 B
B' R2 U2 D R' B L2
B' R2 D R' B L2 F
B' R2 D U2 L2 R' B
B' R2 D U2 R' L2 B
B' R2 D U2 R' B L2
B R2 D L2 U' R' B
R D' L D2 B' L F
R D' L B' L F L'
R D' L2 F L' D B'
R D' L2 F L' D' B'
R D' L2 F L' D2 B'
R D' L2 F L' B' D
R D' L2 F L' B' D'
R D' L2 F L' B' D2
R D' L2 F D L' B'
R D' L2 F D' L' B'
R D' L2 F D2 L' B'
R D' L2 F B L' B'
R D' L2 F B' L' B'
R D' L2 F B2 L' B'
R D' L2 B F L' B'
R D' L2 B' F L' B'
R D' L2 B2 F L' B'
L' D2 B R' U' R2 F'
L2 D2 B R' U' R2 F
L2 D2 B R' U' F R2
B' U2 R2 D L2 R' B
B' U2 R2 D R' L2 B
B' U2 R2 D R' B L2
B' U2 D L2 R' B R2
B' U2 D R' L2 B R2
B' U2 D R' B L2 R2
B' U2 D R' B R2 L2
B D L2 R' U' B R2
B D L2 U' R' B R2
B' D R' U2 L2 B R2
B' D R' U2 B L2 R2
B' D R' U2 B R2 L2
B' D R' B L2 R2 F
B' D R' B L2 F R2
B' D R' B R2 L2 F
B D R' L2 U' B R2
B' D U2 L2 R' B R2
B' D U2 R' L2 B R2
B' D U2 R' B L2 R2
B' D U2 R' B R2 L2
B' D' L R2 U2 R' B'
B' D' L' R2 F U2 R'
B' D' R2 L U2 R' B'
B' D' R2 L' F U2 R'
B' D' R2 U2 D2 R' B
B' D' R2 D2 U2 R' B
B' D' F2 L' R2 F U2
B' D' F2 L' F R2 U2
B' D' F2 R2 L' F U2
D2 B R' U B2 U2 R2
D2 B R' U' R2 D2 F2
D B R' U' B R2 F'
D B U' R' B R2 F'
D2 B D L2 R' U' R2
D2 B D R' L2 U' R2
D2 B D2 R' U' R2 F2
D2 B D2 R' U' F2 R2
F2 B U L' B2 U2 B
F2 B U B2 L' U2 B'
F2 B U' D2 F2 R B
F2 B D2 U' F2 R B
D2 B' U' B2 R' U' R2
B F2 U L' B2 U2 B
B F2 U B2 L' U2 B'
B F2 U' D2 F2 R B
B F2 D2 U' F2 R B
