B L2 U B' U2 R' B
R' U' D' F B L R'
R' U' D' F B R' L
R' U' D' B R' F L
R' U' D' B F L R'
R' U' D' B F R' L
R' U' F D' B L R'
R' U' F D' B R' L
B R' U' D' F B R'
B R' U' D' B R' F
B R' U' D' B F R'
B R' U' F D' B R'
B R' D' U' F B R'
B R' D' U' B R' F
B R' D' U' B F R'
R' D' U' F B L R'
R' D' U' F B R' L
R D' R2 F L' B R'
R D' R2 F B L' R'
R D' R2 F B R' L'
R' D' U' B R' F L
R' D' U' B F L R'
R' D' U' B F R' L
R D' R2 B R' F L'
R D' R2 B F L' R'
R D' R2 B F R' L'
R' D' B R' F D' L2
B U' R' D' F B R'
B U' R' D' B R' F
B U' R' D' B F R'
B U' R' F D' B R'
B U' F R' D' B R'
R2 F R D' L2 B R'
R2 F R D' B L2 R'
R2 F R D' B R' L2
R2 F D' L2 R B R'
R2 F D' R L2 B R'
R2 F D' R B L2 R'
R2 F D' R B R' L2
D' F' B R U' R2 F2
D' F' B R U' F2 R2
D F' B R' U' R2 F2
D F' B R' U' F2 R2
D B R' U' F' R F2
D B R' F' U' R F2
D' B U' D R' F B
D' B U' D R' B F
D' B U' D F R' B
D' B D U' R' F B
D' B D U' R' B F
D' B D U' F R' B
D' B F' R U' R2 F2
D' B F' R U' F2 R2
D B F' R' U' R2 F2
D B F' R' U' F2 R2
