U R2 F' R' B U
U' B U2 R B U
B L U R U' R' U2
U' L F2 L' F' B U'
U' L F2 L' B F' U'
U' L F2 B L' F' U'
U' L B F2 L' F' U'
F2 L' B U L F2 U2
F2 L' B U F2 L U2
U' L' B U2 R B2 U
F2 L' B U' D2 B2 R'
U' L' B U2 B2 R U
U' L' B D2 F2 L' U'
F2 L' B D2 U' B2 R'
U' L2 F2 L' F B U'
U' L2 F2 L' B F U'
U' L2 F2 B L' F U'
R U R F' B U F
R U R B F' U F
F' L2 B U' B2 R' F'
U' L2 B F2 L' F U'
L' U R2 F' R' B U
L2 U R2 F' R' B U
L U R2 F' R' B U
R2 U F' R B R2 U
R2 U F' R' U2 F' U'
U' R U2 R' F' B U'
U' R U2 R' B F' U'
B' R U2 B2 U' R2 B2
B' R U2 B2 U' B2 R2
U R D B U' R' U2
U R D' F B U L'
U R D' B F U L'
U R B R F' R' U
U R B D' F U L'
U R B2 D B' U L
L' U' B U2 R B U
L2 U' B U2 R B U
L U' B U2 R B U
B' R' D' R2 U2 R2 F2
B' R' D' R2 U2 F2 R2
B' R' D' F2 D2 L2 B2
B' R' D' F2 D2 B2 L2
R2 U2 F R D' L2 F2
R2 U2 F R D' F2 L2
B' R2 U' B2 L U' R
U R2 D' F' R' U R2
U2 R2 F R D' L2 F2
U2 R2 F R D' F2 L2
U R2 F R' F2 B U
U R2 F R' B F2 U
U R2 F' R' D B U
U R2 F' R' D' B U
U R2 F' R' D2 B U
U R2 F' R' B U D
U R2 F' R' B U D'
U R2 F' R' B U D2
U R2 F' R' B D U
U R2 F' R' B D' U
U R2 F' R' B D2 U
U R2 F2 R' F B U
U R2 F2 R' B F U
B U L U L' R U
B U L U R L' U
B' U R U R2 D L2
B' U R U2 B2 U' R2
B' U R D B2 U L2
B U R U' L R' U2
B U R U' R' L U2
B U R B2 U L R'
B U R B2 U R' L
D' U R2 F' R' B U
D2 U R2 F' R' B U
B' U D R U L2 R2
B' U D R U R2 L2
D U R2 F' R' B U
U D R2 F' R' B U
B' U D2 R F2 U R2
U' D B U2 R B U
U D' R2 F' R' B U
D' U' B U2 R B U
U' D' B U2 R B U
D2 U' B U2 R B U
D U' B U2 R B U
U D2 R2 F' R' B U
U' D2 B U2 R B U
B' U2 R' D L2 D2 F2
B' U2 R' D' F2 D2 L2
B U2 R B2 U R' B2
B' U2 D L2 R' D' F2
B' U2 D R' L2 D' F2
U' F L F L' B U'
U' F L F B L' U'
U' F L B F L' U'
B' U2 D2 R' D' L2 F2
B' U2 D2 R' D' F2 L2
U2 F R D' L' F L'
U2 F R D' F L' F
B U2 B2 R U R2 B2
B U2 B2 R U B2 R2
U' F B L F L' U'
B' D U R U L2 R2
B' D U R U R2 L2
B' D U2 L2 R' D' F2
B' D U2 R' L2 D' F2
U F' U2 B L F U'
B' D' R2 U R' U R2
B' D' R2 U2 R D' F2
U' F2 L F L2 B U'
U' F2 L F B L2 U'
U' F2 L B F L2 U'
U' F2 L' B U' D' R2
U' F2 L' B U2 B2 U
U' F2 L' B D' U' R2
U' F2 L' B D2 F2 U'
U' F2 B L F L2 U'
U' F2 B L' U2 B' U
B' D2 U R F2 U R2
U' B L F2 L' F' U'
B' D2 U2 R' D' L2 F2
B' D2 U2 R' D' F2 L2
U' B L' U2 R B' U
U' B L' U2 B' R U
U' B L2 F2 L' F U'
U B R B U2 B' U'
U' B U' F D R F'
U' B U2 R D B U
U' B U2 R D' B U
U' B U2 R D2 B U
U' B U2 R B U D
U' B U2 R B U D'
U' B U2 R B U D2
U' B U2 R B D U
U' B U2 R B D' U
U' B U2 R B D2 U
U' B U2 D R B U
U' B U2 D' R B U
U' B U2 D2 R B U
U' B U2 B R B U
U' B U2 B' R B U
U' B U2 B2 R B U
U' B D U2 R B U
F2 B L' U L2 F2 U2
F2 B L' U F2 L2 U2
F2 B L' U' D2 R2 B2
F2 B L' U' D2 B2 R2
F2 B L' D R2 F2 U'
F2 B L' D F2 R2 U'
F2 B L' D2 U' R2 B2
F2 B L' D2 U' B2 R2
U' B D' U2 R B U
U' B D2 U2 R B U
U' B F L F L' U'
U' B F2 L F L2 U'
U' B F2 L' U2 B' U
F' B U F L U2 F
U B' R D B U L2
U B' R D2 F2 B U
U B' R D2 B F2 U
U B' R B U2 B U'
U B' D R B U L2
B F' U F L U2 F
U B' D2 R F2 B U
U B' D2 R B F2 U
B F2 L' U L2 F2 U2
B F2 L' U F2 L2 U2
B F2 L' U' D2 R2 B2
B F2 L' U' D2 B2 R2
B F2 L' D R2 F2 U'
B F2 L' D F2 R2 U'
B F2 L' D2 U' R2 B2
B F2 L' D2 U' B2 R2
U B2 R B U D L2
U B2 R B U2 B2 U'
U B2 R B D U L2
U B2 R B D2 F2 U
