F2 U' B R' U' F
F U' B R' U' F2
U2 F' U B R' U'
U2 B R' U' R F'
B L R' U' F2 R F'
B L R' F2 U' R F'
B' L D2 F2 U R F
U2 L F' U B R' U'
B L F2 R' U' R2 F
B L F2 R' U' F R2
U2 L B R' U' R F'
F L B R' U' F2 R
U2 L' F' U B R' U'
U2 L' B R' U' R F'
B L2 D F2 R' U' F
U2 L2 F' U B R' U'
U2 L2 B R' U' R F'
D' R D' F' R B U2
U' R B R' B U' F'
R U' R' B L R' U'
R U' R' B R' L U'
B R' L U' F2 R F'
B R' L F2 U' R F'
R U' B L R' B U'
R U' B R' L B U'
B R' U2 R U F' R'
R U2 D L F B' L
R U2 D L B' F L
R U2 D B' L F B'
R U2 D B' L B' F
D' R2 B U F' L' U
B' R2 B U' B R' U'
B2 R2 B U' B2 R' U'
B R2 B U' R B' U'
B R2 B U' B' R U'
B' U L U D L2 F'
B' U L U D F' L2
B' U L U F' D L2
B' U L U2 B2 U' F'
B' U L D U L2 F'
B' U L D U F' L2
B' U L D2 F2 U F
U' D L B U' F' B2
U' D L B U' B2 F'
U2 D L F' B' D L2
U2 D L B' D L2 F'
U2 D L B' D F' L2
U2 D L B' F' D L2
R D U2 L F B' L
R D U2 L B' F L
R D U2 B' L F B'
R D U2 B' L B' F
B' U D L U L F'
B' U D L U F' L
R D B' U2 L F B'
R D B' U2 L B' F
U2 D F' L B' D L2
B' U D2 L F2 U F
U' D B L U' F' B'
U' D B L U' B' F'
F' U B R' U2 B' U
R D' R F' B R U2
R D' R B F' R U2
D U' L B U' F' B2
D U' L B U' B2 F'
F U' L B R' U' F2
F U' L' B R' U' F2
R D' F' R F' B U2
R D' F' R B F' U2
B' U' R B2 R' U' F'
F U' L2 B R' U' F2
D U' B L U' F' B'
D U' B L U' B' F'
B U' F' U R' F U'
B U' F' U F R' U'
D U2 L F' B' D L2
D U2 L B' D L2 F'
D U2 L B' D F' L2
D U2 L B' F' D L2
F' U' B R' U2 R U
F2 U' B R' U' D F
F2 U' B R' U' D' F
F2 U' B R' U' D2 F
F2 U' B R' U' F D
F2 U' B R' U' F D'
F2 U' B R' U' F D2
F2 U' B R' D U' F
F2 U' B R' D' U' F
F2 U' B R' D2 U' F
F2 U' B D R' U' F
F2 U' B D' R' U' F
F2 U' B D2 R' U' F
B2 U' B' L' U' F' B'
B2 U' B' L' U' B' F'
F U' B L R' U' F2
F U' B L' R' U' F2
F U' B L2 R' U' F2
F U' B R' L U' F2
F U' B R' L' U' F2
F U' B R' L2 U' F2
F U' B R' U' F2 D
F U' B R' U' F2 D'
F U' B R' U' F2 D2
F U' B R' D' L2 U'
F U' B D' L2 R' U'
F U' B D' R' L2 U'
D2 U2 F' U B R U'
U2 D2 F' U B R U'
D U2 F' L B' D L2
F2 U2 F U B R' U'
B' U2 F' U B2 R' U'
F2 U2 B R' U' R F
F U2 F2 U B R' U'
F U2 B R' U' R F2
B' U2 B2 R' U' R F'
U2 F U B R' U' F2
U F U2 B R' U' F2
U2 F B R' U' R F2
B' D U L U L F'
B' D U L U F' L
U2 F' L U B R' U'
U2 F' L' U B R' U'
U2 F' L2 U B R' U'
U' F' U F B R' U'
U' F' U B R' F U'
U' F' U B F R' U'
U2 F' U B R' U' D
U2 F' U B R' U' D'
U2 F' U B R' U' D2
U2 F' U B R' D U'
U2 F' U B R' D' U'
U2 F' U B R' D2 U'
U2 F' U B D R' U'
U2 F' U B D' R' U'
U2 F' U B D2 R' U'
U F' U B R' U' R
U2 F' D L B' D L2
U' F' B R' F U' F'
U2 F' B' U B2 R' U'
U2 F2 U B R' U' F
B' D2 L F2 U R F
U F2 U2 B R' U' F
U' F2 B R' F2 U' F'
U2 F2 B R' U' R F
B' D2 U L F2 U F
L F2 B R' U' R2 F
L F2 B R' U' F R2
U2 B L R' U' R F'
U2 B L' R' U' R F'
U2 B L2 R' U' R F'
U' B R' U' R F' R'
U' B R' U2 R U F'
U' B R' D2 L' U' F
U B L2 F R' U' F2
U2 B R' L U' R F'
U2 B R' L' U' R F'
U2 B R' L2 U' R F'
U2 B R' U' R D F'
U2 B R' U' R D' F'
U2 B R' U' R D2 F'
U2 B R' U' R F' D
U2 B R' U' R F' D'
U2 B R' U' R F' D2
L B R' U' F2 R F'
R2 B R2 U' B R U'
L B R' F2 U' R F'
U' B U' F' U R' U'
R2 B U F' U2 R' U'
R2 B U' R2 B R U'
B F L R' U' F2 R
F B L R' U' F2 R
R B U' R' B L U'
U2 B D R' U' R F'
L2 B D F2 R' U' F
U2 B D' R' U' R F'
U2 B D2 R' U' R F'
U' B F' R' F U' F'
B F R' L U' F2 R
U2 B F R' U' R F2
B F R' U' F2 D R2
F B R' L U' F2 R
U' B F2 R' F2 U' F'
F B R' U' F2 D R2
U2 B F2 R' U' R F
B' F U' B2 R' U' F2
L B F2 R' U' R2 F
L B F2 R' U' F R2
U' B' R B2 R' U' F'
F2 B' U' B2 R' U' F
U2 B' F' U B2 R' U'
U' B2 L U' F' L' B'
F B' U' B2 R' U' F2
U' B2 R B' R' U' F'
B' F2 U' B2 R' U' F
