R2 F' L' B' U F
D L F L' B R U'
B L F L2 R U' F
B L F R L2 U' F
B L F R U B' U2
D2 L F B R U' F'
D L F B L' R U'
D L F B R L' U'
D2 L B F R U' F'
D L B F L' R U'
D L B F R L' U'
F' L' R2 F' B' U F2
F' L' R2 B' F' U F2
R2 L' F' B' L' U F2
R2 L' B' F' L' U F2
U L' F B' R' D L2
U L' F B' D L2 R'
U L' F B' D R' L2
U L' B U' F B2 R'
U L' B U' B2 R' F
U L' B U' B2 F R'
F' L' B' U D F L2
F' L' B' U F D L2
F' L' B' U2 B2 U' F
F' L' B' D U F L2
F' L' B' D2 F2 U F'
U L' B' R' D F L2
U L' B' R' F D L2
U L' B' D R' F L2
U L' B' D F L2 R'
U L' B' D F R' L2
U L' B' F R' D L2
U L' B' F D L2 R'
U L' B' F D R' L2
L' R2 F' B' L' U F2
L' R2 B' F' L' U F2
R' U F' L' F B' R'
R' U F' L' B' R' F
R' U F' L' B' F R'
R' U' L' F R B L
F' R2 L' F' B' U F2
F' R2 L' B' F' U F2
D R2 F' L' R B' U
D R2 F' L' B' R U
D R2 F' R L' B' U
B U L F B' U2 R'
B U L B' F U2 R'
B U L' U2 F R B'
B U L' U2 F B' R
B U L' U2 B' F R
R2 D F' L' R B' U
R2 D F' L' B' R U
R2 D F' R L' B' U
B U B L F B' U2
B U B L B' F U2
B U' L' F L R B
B U' L' F R L B
B U' D2 F R F' B
B U' D2 F R B F'
B U' F D2 R F' B
B U' F D2 R B F'
B U2 L' U F R B
L F L2 B R U' F
B D L F L' R U'
B D L F R L' U'
L F B R U B2 U2
L F B R U' D2 F2
L F B R D L2 U'
L F B R D2 U' F2
L F B D L2 R U'
L F B D R L2 U'
L F B D2 R U' F2
R2 F' L' R B' U F
R2 F' L' R' B' U F
R2 F' L' R2 B' U F
R2 F' L' D B' U F
R2 F' L' D' B' U F
R2 F' L' D2 B' U F
R2 F' L' B' R U F
R2 F' L' B' R' U F
R2 F' L' B' R2 U F
R2 F' L' B' U D F
R2 F' L' B' U D' F
R2 F' L' B' U D2 F
R2 F' L' B' U F D
R2 F' L' B' U F D'
R2 F' L' B' U F D2
R2 F' L' B' D U F
R2 F' L' B' D' U F
R2 F' L' B' D2 U F
R2 F' R L' B' U F
R2 F' R' L' B' U F
R2 F' R2 L' B' U F
R2 F' B L' B' U F
R2 F' B' L' B' U F
R2 F' B2 L' B' U F
B2 D' B' L F R U'
B D2 L F R U' F'
D2 B L F R U' F'
B D2 U' F R F' B
B D2 U' F R B F'
D B L F L' R U'
D B L F R L' U'
D2 B U' F R F' B
D2 B U' F R B F'
L B D F L2 R U'
L B D F R L2 U'
L B D2 F R U' F
R2 B F' L' B' U F
L B F R U B2 U2
L B F R U' D2 F2
L B F R D L2 U'
L B F R D2 U' F2
L B F D L2 R U'
L B F D R L2 U'
L B F D2 R U' F2
D' B' L F R B2 U'
D' B' L F B2 R U'
D' B' L B2 F R U'
F' B U2 L' U F R
R2 B' F' L' B' U F
B F' U2 L' U F R
R2 B2 F' L' B' U F
