F L B U B2 U2 B2
F L' D' B U' F B
F L' D' B U' B F
F L' D2 B R2 U' F
F L' B U' D' F B2
F L' B U' D' B2 F
F L' B U' F D' B2
F L' B D' U' F B2
F L' B D' U' B2 F
F L' B D2 R2 U' F
B2 R' D F B' L' U'
B2 R' D B' F L' U'
B2 R' D' F B' L U'
B2 R' D' B' F L U'
B2 R' F D' B' L U'
B2 R' F B' L' U' F
L U2 L2 B U' F R
B2 R' B' L' U' F R
B2 R' B' D F L' U'
B2 R' B' F L' U' F
L' D' B U' F B R
L' D' B U' B F R
B U2 L2 B' L U F
L' D2 B R2 U' F R
D F L' D' B U' B
D F L' D2 B R2 U'
D F L' B U' D' B2
D F L' B U2 L2 U
D F L' B D' U' B2
D F L' B D2 R2 U'
B2 D R' F B' L' U'
B2 D R' B' F L' U'
D F B2 R' B' L' U'
B' D F L' U' L' B'
B2 D F R' B' L' U'
B D F L' U F U2
B2 D' R' F B' L U'
B2 D' R' B' F L U'
B2 D' F R' B' L U'
B D2 F' R F2 U' F
L' B U' D' F R B2
L' B U' D' F B2 R
L' B U' D' B2 F R
L' B U' F R D' B2
L' B U' F D' R B2
L' B U' F D' B2 R
L' B D' U' F R B2
L' B D' U' F B2 R
L' B D' U' B2 F R
L' B D2 R2 U' F R
B2 F R' D' B' L U'
B2 F R' B' L' U' F
L2 B' L' U D L2 F
L2 B' L' D U L2 F
B2 F D' R' B' L U'
F2 B D2 F' R U' F'
D B2 R' F B' L' U'
D B2 R' B' F L' U'
F B2 R' D' B' L U'
F B2 R' B' L' U' F
D B2 F R' B' L' U'
F B2 D' R' B' L U'
B F2 D2 F' R U' F'
