B U' F2 B R F'
B U' B F2 R F'
F2 B U' B R F'
B F2 U' B R F'
F2 L B U' B R F'
D2 L' F2 U' B U' F'
F2 L' B U' B R F'
R' U L' B U2 B L
F2 L2 B U' B R F'
R' U B L' U2 B L
R' U' L' B U2 L B
F2 R F' B' D B' L
F2 R F2 B2 D' F L'
F2 R B' D F' B' L
F2 R B' D B' L F'
F2 R B' D B' F' L
F2 R B' F' D B' L
F2 R B2 D' F L' F2
F2 R B2 F2 D' F L'
F2 R' U R2 F' L' B2
F2 R' U R2 F' B2 L'
F2 R' U R2 B2 F' L'
R' U' B L' U2 L2 B
R' U' B L' U2 B L2
B U D2 L' U2 F B
B U D2 L' U2 B F
B2 U F2 B' U' R F'
B U F2 U2 B R F'
F2 U B U' B R F'
B2 U B' U' F2 R F'
B2 U B' F2 U' R F'
B U' F' B R F' R
F2 U' B U' B R F'
B U' F2 B R D F'
B U' F2 B R D' F'
B U' F2 B R D2 F'
B U' F2 B R F' D
B U' F2 B R F' D'
B U' F2 B R F' D2
B U' F2 B' R F' B2
B U' F2 B' R B2 F'
B U' F2 B2 R F' B'
B U' F2 B2 R B' F'
B U' B R F2 R F
B U' B F' R F' R
B U' B F2 R D F'
B U' B F2 R D' F'
B U' B F2 R D2 F'
B U' B F2 R F' D
B U' B F2 R F' D'
B U' B F2 R F' D2
B U' B' F2 R F' B2
B U' B' F2 R B2 F'
B U' B2 F2 R F' B'
B U' B2 F2 R B' F'
F2 U2 B U' B R F'
R2 F' R' U F' R B2
R2 F' R' U F' B2 R
R2 F' R' U B2 F' R
R F2 R F B2 D' L2
R F2 R B2 F D' L2
U' F2 B U' B R F'
D' F2 B R2 U' R' F'
U2 F2 B U' B R F'
U F2 B U' B R F'
B D2 U L' U2 F B
B D2 U L' U2 B F
R F2 B2 R F D' L2
R F2 B2 D' R F L'
D2 B U L' F2 U2 F'
U' B U' F2 B R F'
U' B U' B F2 R F'
F2 B L U' B R F'
U2 B U' F2 B R F'
L2 B U' B R F' R2
U2 B U' B F2 R F'
F2 B L' U' B R F'
U B U' F2 B R F'
U B U' B F2 R F'
F2 B L2 U' B R F'
U' B F2 U' B R F'
D' B F2 R2 U' R' F'
U2 B F2 U' B R F'
F' B U' F' B R F'
F' B U' B R F' R
F' B U' B F' R F'
F2 B U' B R D F'
F2 B U' B R D' F'
F2 B U' B R D2 F'
F2 B U' B R F' D
F2 B U' B R F' D'
F2 B U' B R F' D2
F2 B U' B' R F' B2
F2 B U' B' R B2 F'
F2 B U' B2 R F' B'
F2 B U' B2 R B' F'
U B F2 U' B R F'
F2 B' R D F' B' L2
F2 B' R D B' L2 F'
F2 B' R D B' F' L2
F2 B' R F' D B' L2
B F' U' F' B R F'
B F' U' B R F' R
B F' U' B F' R F'
B F2 L U' B R F'
B2 F2 L2 R F' D' L2
F2 B2 L2 R F' D' L2
B F2 L' U' B R F'
B' F2 R D F' B' L2
B' F2 R D B' L2 F'
B' F2 R D B' F' L2
B' F2 R F' D B' L2
B2 F2 R L2 F' D' L2
B2 F2 R U B' U' F'
F2 B2 R L2 F' D' L2
B F2 L2 U' B R F'
F2 B2 R U B' U' F'
B2 F2 R F' U B' U'
F2 B2 R F' U B' U'
B2 F2 U B' U' R F'
F2 B2 U B' U' R F'
B F2 U' B R D F'
B F2 U' B R D' F'
B F2 U' B R D2 F'
B F2 U' B R F' D
B F2 U' B R F' D'
B F2 U' B R F' D2
B F2 U' B' R F' B2
B F2 U' B' R B2 F'
B F2 U' B2 R F' B'
B F2 U' B2 R B' F'
R B2 F2 R F D' L2
R B2 F2 D' R F L'
