B' R' U2 B' U L
U R' U2 D' R2 B
U R' D L2 F' U2
U R' D F' L2 U2
U R' D' U2 R2 B
U R' D' F' U2 R2
U R' F' U B2 U
U R' F' U2 D' R2
U R' F' D L2 U2
U R' F' D' U2 R2
D2 R2 F2 U' L' B'
U D L2 R' F' U2
D U L2 R' F' U2
D' U R' F' U2 R'
U D R' L2 F' U2
D U R' L2 F' U2
U D R' F' L2 U2
D U R' F' L2 U2
U D' R' F' U2 R'
R2 D2 F2 U' L' B'
U2 F' L' B2 U L
U2 F' B2 L' U L2
D2 F2 U R' F' U2
U2 B2 L2 U L' B'
U2 B2 U L' B' L2
U2 B2 F' L' U L2
U L R' U2 D' R2 B
U L R' D L2 F' U2
U L R' D F' L2 U2
U L R' D' U2 R2 B
U L R' D' F' U2 R2
U L R' F' U B2 U
U L R' F' U2 D' R2
U L R' F' D L2 U2
U L R' F' D' U2 R2
U L D L2 R' F' U2
U L D R' L2 F' U2
U L D R' F' L2 U2
U L D' R' F' U2 R'
B L F B U L F
U2 L F' L' B2 U L
U2 L F' B2 L' U L2
B L F2 B R U L
B L B U L D F2
B L B U2 L' U' L2
B L B F U L F
B L B F2 R U L
U2 L B2 L2 U L' B'
U2 L B2 U L' B' L2
U2 L B2 F' L' U L2
U L' R' U2 D' R2 B
U L' R' D L2 F' U2
U L' R' D F' L2 U2
U L' R' D' U2 R2 B
U L' R' D' F' U2 R2
U L' R' F' U B2 U
U L' R' F' U2 D' R2
U L' R' F' D L2 U2
U L' R' F' D' U2 R2
U' L' U' B2 U L B
U L' D L2 R' F' U2
U L' D R' L2 F' U2
U L' D R' F' L2 U2
U L' D' R' F' U2 R'
U' L' D' B2 L B R2
U2 L' F' L' B2 U L
U2 L' F' B2 L' U L2
U' L' B' U' B' U L
U2 L' B2 L2 U L' B'
U2 L' B2 U L' B' L2
U2 L' B2 F' L' U L2
U L2 R' U2 D' R2 B
U L2 R' D L2 F' U2
U L2 R' D F' L2 U2
U L2 R' D' U2 R2 B
U L2 R' D' F' U2 R2
U L2 R' F' U B2 U
U L2 R' F' U2 D' R2
U L2 R' F' D L2 U2
U L2 R' F' D' U2 R2
U' L2 U' B2 U L B'
U L2 D L2 R' F' U2
U L2 D R' L2 F' U2
U L2 D R' F' L2 U2
U L2 D' R' F' U2 R'
U2 L2 F' L' B2 U L
R2 U R U B2 U B'
U2 L2 F' B2 L' U L2
R2 U R U2 D' B R2
R2 U R D L2 U2 B
R2 U R D' U2 B R2
R2 U D L2 R U2 B
R2 U D R L2 U2 B
U2 L2 B2 L2 U L' B'
U2 L2 B2 U L' B' L2
R2 U D' R U2 B R
U2 L2 B2 F' L' U L2
D' R U R2 U2 R' B
U R' L U2 D' R2 B
U R' L D L2 F' U2
U R' L D F' L2 U2
U R' L D' U2 R2 B
U R' L D' F' U2 R2
U R' L F' U B2 U
U R' L F' U2 D' R2
U R' L F' D L2 U2
U R' L F' D' U2 R2
U R' L' U2 D' R2 B
U R' L' D L2 F' U2
U R' L' D F' L2 U2
U R' L' D' U2 R2 B
U R' L' D' F' U2 R2
U R' L' F' U B2 U
U R' L' F' U2 D' R2
U R' L' F' D L2 U2
U R' L' F' D' U2 R2
U R' L2 U2 D' R2 B
U R' L2 D L2 F' U2
U R' L2 D F' L2 U2
U R' L2 D' U2 R2 B
U R' L2 D' F' U2 R2
U R' L2 F' U B2 U
U R' L2 F' U2 D' R2
